Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Tampa Bay Buccaneers,27.0,19.0,70.4,32.0,32.0,100.0,74.0,3212.0,0.0,43.4
Detroit Lions,25.0,20.0,80.0,41.0,40.0,97.6,71.0,2925.0,0.0,41.2
New York Jets,28.0,23.0,82.1,52.0,51.0,98.1,75.0,3157.0,0.0,42.1
Baltimore Ravens,31.0,28.0,90.3,41.0,41.0,100.0,68.0,2883.0,0.0,42.4
New Orleans Saints,42.0,33.0,78.6,32.0,32.0,100.0,74.0,3182.0,0.0,43.0
Jacksonville Jaguars,34.0,26.0,76.5,35.0,33.0,94.3,71.0,2982.0,0.0,42.0
Chicago Bears,23.0,16.0,69.6,36.0,35.0,97.2,76.0,3048.0,0.0,40.1
St. Louis Rams,27.0,19.0,70.4,47.0,46.0,97.9,69.0,2801.0,0.0,40.6
Atlanta Falcons,44.0,42.0,95.5,43.0,43.0,100.0,64.0,2694.0,0.0,42.1
Dallas Cowboys,32.0,28.0,87.5,20.0,20.0,100.0,75.0,3457.0,0.0,46.1
Indianapolis Colts,28.0,23.0,82.1,34.0,33.0,97.1,81.0,3524.0,0.0,43.5
Denver Broncos,23.0,20.0,87.0,25.0,25.0,100.0,83.0,3826.0,0.0,46.1
Pittsburgh Steelers,26.0,21.0,80.8,26.0,26.0,100.0,86.0,3767.0,0.0,43.8
Arizona Cardinals,37.0,30.0,81.1,43.0,41.0,95.3,69.0,3022.0,0.0,43.8
Houston Oilers,33.0,25.0,75.8,32.0,32.0,100.0,75.0,3075.0,0.0,41.0
New England Patriots,29.0,23.0,79.3,28.0,28.0,100.0,82.0,3485.0,0.0,42.5
Miami Dolphins,17.0,13.0,76.5,39.0,38.0,97.4,75.0,3285.0,0.0,43.8
Philadelphia Eagles,36.0,31.0,86.1,32.0,30.0,93.8,74.0,3286.0,0.0,44.4
Kansas City Chiefs,36.0,25.0,69.4,29.0,29.0,100.0,71.0,2968.0,0.0,41.8
Oakland Raiders,34.0,25.0,73.5,26.0,26.0,100.0,85.0,3562.0,0.0,41.9
Seattle Seahawks,34.0,31.0,91.2,35.0,35.0,100.0,76.0,3215.0,0.0,42.3
Green Bay Packers,27.0,25.0,92.6,17.0,17.0,100.0,90.0,3879.0,0.0,43.1
Minnesota Vikings,30.0,20.0,66.7,33.0,33.0,100.0,84.0,3595.0,0.0,42.8
San Francisco 49ers,29.0,26.0,89.7,21.0,21.0,100.0,88.0,3696.0,0.0,42.0
Washington Redskins,38.0,27.0,71.1,31.0,31.0,100.0,68.0,2992.0,0.0,44.0
New York Giants,26.0,22.0,84.6,31.0,31.0,100.0,92.0,3800.0,0.0,41.3
Cincinnati Bengals,30.0,25.0,83.3,40.0,40.0,100.0,61.0,2708.0,0.0,44.4
San Diego Chargers,33.0,26.0,78.8,40.0,40.0,100.0,71.0,3145.0,0.0,44.3
Carolina Panthers,20.0,17.0,85.0,24.0,23.0,95.8,95.0,4161.0,0.0,43.8
Buffalo Bills,36.0,23.0,63.9,26.0,25.0,96.2,102.0,4406.0,0.0,43.2
Avg Team,30.5,24.4,80.0,33.0,32.6,98.6,77.5,3341.7,0.4,43.1
