Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Minnesota Vikings,38.0,33.0,86.8,39.0,39.0,100.0,72.0,2902.0,0.0,40.3
Detroit Lions,27.0,19.0,70.4,50.0,49.0,98.0,72.0,3067.0,0.0,42.6
St. Louis Rams,26.0,20.0,76.9,27.0,27.0,100.0,79.0,3318.0,0.0,42.0
Buffalo Bills,37.0,28.0,75.7,48.0,48.0,100.0,66.0,2845.0,0.0,43.1
Atlanta Falcons,24.0,19.0,79.2,44.0,44.0,100.0,71.0,3074.0,0.0,43.3
Kansas City Chiefs,34.0,27.0,79.4,35.0,35.0,100.0,79.0,3239.0,0.0,41.0
Dallas Cowboys,36.0,27.0,75.0,34.0,33.0,97.1,79.0,3294.0,0.0,41.7
Cincinnati Bengals,30.0,22.0,73.3,31.0,29.0,93.5,86.0,3543.0,0.0,41.2
New Orleans Saints,31.0,27.0,87.1,42.0,42.0,100.0,67.0,2914.0,0.0,43.5
New York Jets,27.0,22.0,81.5,30.0,27.0,90.0,75.0,3053.0,0.0,40.7
San Francisco 49ers,27.0,23.0,85.2,23.0,23.0,100.0,72.0,2981.0,0.0,41.4
Jacksonville Jaguars,35.0,26.0,74.3,28.0,28.0,100.0,83.0,3362.0,0.0,40.5
Miami Dolphins,22.0,16.0,72.7,34.0,32.0,94.1,86.0,3793.0,0.0,44.1
Indianapolis Colts,36.0,30.0,83.3,53.0,52.0,98.1,67.0,2861.0,0.0,42.7
Pittsburgh Steelers,20.0,9.0,45.0,24.0,23.0,95.8,87.0,3680.0,0.0,42.3
Carolina Panthers,30.0,25.0,83.3,44.0,43.0,97.7,85.0,3460.0,0.0,40.7
Arizona Cardinals,32.0,23.0,71.9,36.0,36.0,100.0,75.0,3247.0,0.0,43.3
New England Patriots,41.0,30.0,73.2,22.0,22.0,100.0,73.0,2884.0,0.0,39.5
Washington Redskins,29.0,24.0,82.8,33.0,33.0,100.0,77.0,3257.0,0.0,42.3
Baltimore Ravens,33.0,19.0,57.6,28.0,28.0,100.0,98.0,4077.0,0.0,41.6
Tennessee Titans,29.0,22.0,75.9,44.0,44.0,100.0,82.0,3387.0,0.0,41.3
Tampa Bay Buccaneers,29.0,25.0,86.2,25.0,25.0,100.0,78.0,3237.0,0.0,41.5
Denver Broncos,29.0,25.0,86.2,37.0,36.0,97.3,77.0,3619.0,0.0,47.0
Oakland Raiders,33.0,25.0,75.8,29.0,28.0,96.6,83.0,3395.0,0.0,40.9
Seattle Seahawks,36.0,29.0,80.6,31.0,31.0,100.0,76.0,3215.0,0.0,42.3
Chicago Bears,28.0,18.0,64.3,20.0,19.0,95.0,90.0,3663.0,0.0,40.7
San Diego Chargers,35.0,26.0,74.3,33.0,31.0,93.9,90.0,3789.0,0.0,42.1
Cleveland Browns,34.0,25.0,73.5,32.0,30.0,93.8,74.0,3197.0,0.0,43.2
New York Giants,31.0,23.0,74.2,34.0,34.0,100.0,90.0,3762.0,0.0,41.8
Green Bay Packers,28.0,22.0,78.6,20.0,20.0,100.0,86.0,3646.0,0.0,42.4
Philadelphia Eagles,32.0,23.0,71.9,17.0,17.0,100.0,104.0,4222.0,0.0,40.6
Avg Team,30.9,23.6,76.3,33.1,32.5,98.1,80.0,3368.7,0.4,42.1
