Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
New Orleans Saints,25.0,19.0,76.0,46.0,45.0,97.8,69.0,3043.0,0.0,44.1
Baltimore Colts,31.0,20.0,64.5,68.0,65.0,95.6,48.0,1819.0,0.0,37.9
Seattle Seahawks,29.0,23.0,79.3,46.0,41.0,89.1,55.0,2338.0,0.0,42.5
Houston Oilers,42.0,27.0,64.3,39.0,38.0,97.4,70.0,2933.0,0.0,41.9
Cleveland Browns,34.0,21.0,61.8,45.0,40.0,88.9,78.0,3175.0,0.0,40.7
New England Patriots,39.0,25.0,64.1,41.0,39.0,95.1,74.0,2871.0,0.0,38.8
St. Louis Cardinals,26.0,20.0,76.9,50.0,48.0,96.0,69.0,2850.0,0.0,41.3
Philadelphia Eagles,28.0,14.0,50.0,26.0,23.0,88.5,76.0,3093.0,0.0,40.7
Buffalo Bills,26.0,22.0,84.6,30.0,30.0,100.0,77.0,3234.0,0.0,42.0
Green Bay Packers,24.0,16.0,66.7,45.0,43.0,95.6,69.0,2739.0,0.0,39.7
Kansas City Chiefs,27.0,19.0,70.4,34.0,29.0,85.3,80.0,3112.0,0.0,38.9
Washington Redskins,24.0,17.0,70.8,43.0,38.0,88.4,80.0,3336.0,0.0,41.7
Detroit Lions,22.0,19.0,86.4,38.0,37.0,97.4,81.0,3475.0,0.0,42.9
Pittsburgh Steelers,33.0,18.0,54.5,35.0,33.0,94.3,78.0,3284.0,0.0,42.1
Tampa Bay Buccaneers,33.0,25.0,75.8,27.0,27.0,100.0,73.0,3008.0,0.0,41.2
Minnesota Vikings,27.0,17.0,63.0,46.0,42.0,91.3,84.0,3419.0,0.0,40.7
San Diego Chargers,26.0,19.0,73.1,48.0,45.0,93.8,72.0,2902.0,0.0,40.3
Los Angeles Rams,33.0,26.0,78.8,39.0,37.0,94.9,94.0,3854.0,0.0,41.0
Miami Dolphins,21.0,14.0,66.7,33.0,33.0,100.0,87.0,3567.0,0.0,41.0
Denver Broncos,27.0,15.0,55.6,35.0,34.0,97.1,88.0,3793.0,0.0,43.1
Oakland Raiders,30.0,17.0,56.7,42.0,38.0,90.5,101.0,3929.0,0.0,38.9
Cincinnati Bengals,21.0,12.0,57.1,38.0,38.0,100.0,81.0,3264.0,0.0,40.3
Dallas Cowboys,29.0,14.0,48.3,34.0,31.0,91.2,80.0,3296.0,0.0,41.2
New York Jets,20.0,12.0,60.0,36.0,33.0,91.7,94.0,3798.0,0.0,40.4
San Francisco 49ers,23.0,13.0,56.5,30.0,29.0,96.7,83.0,3436.0,0.0,41.4
New York Giants,33.0,22.0,66.7,27.0,27.0,100.0,105.0,4158.0,0.0,39.6
Chicago Bears,29.0,17.0,58.6,39.0,37.0,94.9,98.0,3989.0,0.0,40.7
Atlanta Falcons,29.0,18.0,62.1,43.0,41.0,95.3,96.0,4051.0,0.0,42.2
Avg Team,28.3,18.6,65.9,39.0,37.2,95.3,80.0,3290.4,0.3,41.1
