Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Miami Dolphins,27.0,17.0,63.0,42.0,40.0,95.2,76.0,3139.0,0.0,41.3
Los Angeles Rams,37.0,29.0,78.4,40.0,38.0,95.0,58.0,2453.0,0.0,42.3
San Francisco 49ers,30.0,27.0,90.0,30.0,30.0,100.0,68.0,2985.0,0.0,43.9
Indianapolis Colts,30.0,21.0,70.0,45.0,43.0,95.6,71.0,2854.0,0.0,40.2
New York Jets,26.0,21.0,80.8,26.0,26.0,100.0,66.0,2858.0,0.0,43.3
Houston Oilers,28.0,19.0,67.9,26.0,25.0,96.2,79.0,3452.0,0.0,43.7
New England Patriots,24.0,20.0,83.3,32.0,32.0,100.0,90.0,3708.0,0.0,41.2
Atlanta Falcons,31.0,20.0,64.5,46.0,45.0,97.8,74.0,3027.0,0.0,40.9
Dallas Cowboys,27.0,22.0,81.5,23.0,23.0,100.0,78.0,3221.0,0.0,41.3
Washington Redskins,22.0,17.0,77.3,42.0,40.0,95.2,73.0,3000.0,0.0,41.1
Cincinnati Bengals,28.0,20.0,71.4,37.0,37.0,100.0,74.0,3123.0,0.0,42.2
Phoenix Cardinals,35.0,26.0,74.3,27.0,27.0,100.0,78.0,3331.0,0.0,42.7
Chicago Bears,34.0,26.0,76.5,22.0,20.0,90.9,78.0,3229.0,0.0,41.4
New York Giants,23.0,17.0,73.9,22.0,22.0,100.0,80.0,3224.0,0.0,40.3
Philadelphia Eagles,34.0,23.0,67.6,35.0,34.0,97.1,75.0,3135.0,0.0,41.8
Cleveland Browns,38.0,31.0,81.6,30.0,30.0,100.0,85.0,3604.0,0.0,42.4
Buffalo Bills,35.0,23.0,65.7,25.0,23.0,92.0,65.0,2717.0,0.0,41.8
Tampa Bay Buccaneers,35.0,32.0,91.4,40.0,38.0,95.0,76.0,3291.0,0.0,43.3
Detroit Lions,30.0,23.0,76.7,32.0,31.0,96.9,81.0,3491.0,0.0,43.1
Kansas City Chiefs,32.0,28.0,87.5,30.0,27.0,90.0,68.0,3033.0,0.0,44.6
Los Angeles Raiders,33.0,21.0,63.6,37.0,37.0,100.0,80.0,3368.0,0.0,42.1
New Orleans Saints,30.0,24.0,80.0,39.0,35.0,89.7,80.0,3384.0,0.0,42.3
Denver Broncos,36.0,31.0,86.1,27.0,27.0,100.0,81.0,3540.0,0.0,43.7
Green Bay Packers,40.0,31.0,77.5,27.0,27.0,100.0,79.0,3176.0,0.0,40.2
San Diego Chargers,33.0,26.0,78.8,30.0,30.0,100.0,72.0,3031.0,0.0,42.1
Seattle Seahawks,39.0,29.0,74.4,32.0,31.0,96.9,73.0,3095.0,0.0,42.4
Pittsburgh Steelers,29.0,24.0,82.8,30.0,29.0,96.7,82.0,3600.0,0.0,43.9
Minnesota Vikings,33.0,25.0,75.8,31.0,29.0,93.5,78.0,3307.0,0.0,42.4
Avg Team,31.4,24.0,76.6,32.2,31.3,97.2,75.6,3207.6,0.4,42.4
