Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Atlanta Falcons,30.0,19.0,63.3,54.0,51.0,94.4,60.0,2382.0,0.0,39.7
Kansas City Chiefs,35.0,24.0,68.6,45.0,44.0,97.8,56.0,2262.0,0.0,40.4
Miami Dolphins,22.0,14.0,63.6,41.0,41.0,100.0,71.0,2755.0,0.0,38.8
Seattle Seahawks,26.0,21.0,80.8,36.0,35.0,97.2,63.0,2463.0,0.0,39.1
Cleveland Browns,25.0,17.0,68.0,26.0,26.0,100.0,81.0,3038.0,0.0,37.5
Chicago Bears,31.0,18.0,58.1,33.0,30.0,90.9,86.0,3406.0,0.0,39.6
Cincinnati Bengals,26.0,23.0,88.5,43.0,43.0,100.0,75.0,3015.0,0.0,40.2
Los Angeles Rams,24.0,21.0,87.5,43.0,40.0,93.0,83.0,3096.0,0.0,37.3
Los Angeles Raiders,29.0,20.0,69.0,33.0,31.0,93.9,78.0,3323.0,0.0,42.6
Detroit Lions,34.0,28.0,82.4,43.0,42.0,97.7,65.0,2464.0,0.0,37.9
Buffalo Bills,20.0,15.0,75.0,37.0,36.0,97.3,88.0,3230.0,0.0,36.7
Denver Broncos,21.0,14.0,66.7,35.0,32.0,91.4,75.0,3157.0,0.0,42.1
San Diego Chargers,29.0,19.0,65.5,37.0,36.0,97.3,89.0,3694.0,0.0,41.5
Indianapolis Colts,26.0,15.0,57.7,28.0,25.0,89.3,82.0,3050.0,0.0,37.2
Pittsburgh Steelers,26.0,20.0,76.9,34.0,31.0,91.2,70.0,2744.0,0.0,39.2
St. Louis Cardinals,18.0,11.0,61.1,48.0,45.0,93.8,74.0,3049.0,0.0,41.2
Houston Oilers,36.0,30.0,83.3,37.0,35.0,94.6,77.0,3034.0,0.0,39.4
Tampa Bay Buccaneers,30.0,18.0,60.0,44.0,42.0,95.5,64.0,2637.0,0.0,41.2
New York Jets,29.0,20.0,69.0,43.0,42.0,97.7,80.0,3072.0,0.0,38.4
Green Bay Packers,36.0,27.0,75.0,31.0,29.0,93.5,77.0,3088.0,0.0,40.1
Minnesota Vikings,31.0,24.0,77.4,38.0,35.0,92.1,74.0,2953.0,0.0,39.9
Dallas Cowboys,29.0,19.0,65.5,41.0,39.0,95.1,75.0,3045.0,0.0,40.6
San Francisco 49ers,35.0,24.0,68.6,26.0,25.0,96.2,72.0,2851.0,0.0,39.6
New Orleans Saints,18.0,12.0,66.7,35.0,35.0,100.0,73.0,2738.0,0.0,37.5
New York Giants,34.0,23.0,67.6,35.0,33.0,94.3,96.0,3658.0,0.0,38.1
Washington Redskins,28.0,19.0,67.9,33.0,30.0,90.9,91.0,3567.0,0.0,39.2
New England Patriots,27.0,18.0,66.7,33.0,33.0,100.0,77.0,2934.0,0.0,38.1
Philadelphia Eagles,29.0,18.0,62.1,46.0,44.0,95.7,88.0,3265.0,0.0,37.1
Avg Team,28.0,19.7,70.3,37.2,36.1,97.0,76.4,3039.4,1.0,39.8
