Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Oakland Raiders,37.0,31.0,83.8,34.0,33.0,97.1,68.0,2822.0,0.0,41.5
Indianapolis Colts,35.0,24.0,68.6,40.0,40.0,100.0,47.0,2035.0,0.0,43.3
Houston Texans,29.0,25.0,86.2,40.0,39.0,97.5,65.0,2951.0,0.0,45.4
Detroit Lions,33.0,30.0,90.9,41.0,40.0,97.6,68.0,2992.0,0.0,44.0
Dallas Cowboys,25.0,22.0,88.0,38.0,38.0,100.0,72.0,3103.0,0.0,43.1
Pittsburgh Steelers,27.0,21.0,77.8,36.0,36.0,100.0,86.0,3767.0,0.0,43.8
New York Jets,24.0,18.0,75.0,29.0,29.0,100.0,74.0,3263.0,0.0,44.1
Cleveland Browns,31.0,26.0,83.9,38.0,36.0,94.7,77.0,3311.0,0.0,43.0
Arizona Cardinals,34.0,31.0,91.2,42.0,42.0,100.0,58.0,2598.0,0.0,44.8
Tampa Bay Buccaneers,30.0,22.0,73.3,41.0,41.0,100.0,81.0,3370.0,0.0,41.6
New England Patriots,30.0,22.0,73.3,23.0,23.0,100.0,79.0,3286.0,0.0,41.6
Kansas City Chiefs,32.0,26.0,81.3,33.0,33.0,100.0,75.0,3060.0,0.0,40.8
Atlanta Falcons,29.0,23.0,79.3,37.0,37.0,100.0,77.0,3380.0,0.0,43.9
New York Giants,29.0,22.0,75.9,40.0,40.0,100.0,69.0,2891.0,0.0,41.9
Washington Redskins,34.0,30.0,88.2,36.0,36.0,100.0,79.0,3318.0,0.0,42.0
Denver Broncos,42.0,34.0,81.0,27.0,27.0,100.0,74.0,3241.0,0.0,43.8
Miami Dolphins,25.0,22.0,88.0,31.0,31.0,100.0,91.0,3786.0,0.0,41.6
San Francisco 49ers,32.0,30.0,93.8,46.0,46.0,100.0,66.0,2792.0,0.0,42.3
Jacksonville Jaguars,24.0,17.0,70.8,31.0,31.0,100.0,90.0,3726.0,0.0,41.4
Minnesota Vikings,40.0,34.0,85.0,31.0,31.0,100.0,79.0,3587.0,0.0,45.4
Tennessee Titans,33.0,27.0,81.8,44.0,41.0,93.2,68.0,2890.0,0.0,42.5
St. Louis Rams,24.0,19.0,79.2,46.0,46.0,100.0,67.0,3028.0,0.0,45.2
Cincinnati Bengals,25.0,18.0,72.0,38.0,37.0,97.4,72.0,3132.0,0.0,43.5
Philadelphia Eagles,28.0,26.0,92.9,34.0,34.0,100.0,82.0,3567.0,0.0,43.5
Buffalo Bills,26.0,22.0,84.6,33.0,33.0,100.0,86.0,3578.0,0.0,41.6
New Orleans Saints,18.0,14.0,77.8,40.0,40.0,100.0,96.0,4186.0,0.0,43.6
Green Bay Packers,27.0,26.0,96.3,38.0,38.0,100.0,83.0,3702.0,0.0,44.6
Seattle Seahawks,33.0,23.0,69.7,36.0,36.0,100.0,88.0,3775.0,0.0,42.9
Baltimore Ravens,23.0,17.0,73.9,20.0,20.0,100.0,86.0,3861.0,0.0,44.9
Carolina Panthers,30.0,24.0,80.0,31.0,31.0,100.0,98.0,4292.0,0.0,43.8
San Diego Chargers,26.0,23.0,88.5,33.0,32.0,97.0,88.0,3925.0,0.0,44.6
Chicago Bears,27.0,18.0,66.7,28.0,27.0,96.4,100.0,4370.0,0.0,43.7
Avg Team,29.4,24.0,81.4,35.5,35.1,99.0,77.8,3377.7,0.4,43.4
