Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Chicago Bears,39.0,33.0,84.6,49.0,49.0,100.0,49.0,2109.0,0.0,43.0
New Orleans Saints,32.0,31.0,96.9,43.0,43.0,100.0,63.0,2783.0,0.0,44.2
Tampa Bay Buccaneers,39.0,29.0,74.4,41.0,41.0,100.0,64.0,2826.0,0.0,44.2
Baltimore Ravens,36.0,30.0,83.3,28.0,28.0,100.0,76.0,3489.0,0.0,45.9
Washington Redskins,26.0,22.0,84.6,51.0,50.0,98.0,80.0,3522.0,0.0,44.0
San Francisco 49ers,20.0,20.0,100.0,40.0,40.0,100.0,74.0,3362.0,0.0,45.4
Miami Dolphins,34.0,26.0,76.5,39.0,39.0,100.0,61.0,2593.0,0.0,42.5
Detroit Lions,23.0,18.0,78.3,30.0,30.0,100.0,82.0,3583.0,0.0,43.7
Tennessee Titans,39.0,33.0,84.6,47.0,47.0,100.0,73.0,3356.0,0.0,46.0
Atlanta Falcons,38.0,31.0,81.6,42.0,40.0,95.2,56.0,2413.0,0.0,43.1
Pittsburgh Steelers,32.0,30.0,93.8,38.0,38.0,100.0,68.0,3078.0,0.0,45.3
Kansas City Chiefs,37.0,32.0,86.5,25.0,25.0,100.0,78.0,3700.0,0.0,47.4
Green Bay Packers,24.0,21.0,87.5,37.0,37.0,100.0,62.0,2691.0,0.0,43.4
Minnesota Vikings,31.0,25.0,80.6,37.0,36.0,97.3,76.0,3292.0,0.0,43.3
Seattle Seahawks,24.0,21.0,87.5,25.0,25.0,100.0,83.0,3630.0,0.0,43.7
New York Jets,32.0,26.0,81.3,44.0,43.0,97.7,81.0,3757.0,0.0,46.4
San Diego Chargers,34.0,28.0,82.4,36.0,36.0,100.0,69.0,3210.0,0.0,46.5
Carolina Panthers,28.0,22.0,78.6,44.0,44.0,100.0,72.0,3297.0,0.0,45.8
Dallas Cowboys,18.0,16.0,88.9,41.0,40.0,97.6,67.0,3007.0,0.0,44.9
Cincinnati Bengals,32.0,26.0,81.3,34.0,34.0,100.0,75.0,3274.0,0.0,43.7
Jacksonville Jaguars,35.0,31.0,88.6,45.0,45.0,100.0,75.0,3559.0,0.0,47.5
St. Louis Rams,29.0,25.0,86.2,39.0,39.0,100.0,76.0,3268.0,0.0,43.0
Indianapolis Colts,19.0,15.0,78.9,46.0,46.0,100.0,90.0,4271.0,0.0,47.5
New York Giants,31.0,29.0,93.5,41.0,41.0,100.0,75.0,3416.0,0.0,45.5
Arizona Cardinals,32.0,25.0,78.1,32.0,32.0,100.0,78.0,3544.0,0.0,45.4
Denver Broncos,28.0,23.0,82.1,37.0,37.0,100.0,88.0,4035.0,0.0,45.9
Cleveland Browns,34.0,29.0,85.3,34.0,34.0,100.0,86.0,3790.0,0.0,44.1
New England Patriots,37.0,29.0,78.4,28.0,28.0,100.0,65.0,2847.0,0.0,43.8
Buffalo Bills,37.0,30.0,81.1,27.0,27.0,100.0,88.0,3834.0,0.0,43.6
Oakland Raiders,38.0,32.0,84.2,50.0,50.0,100.0,83.0,3634.0,0.0,43.8
Houston Texans,22.0,19.0,86.4,33.0,32.0,97.0,83.0,3742.0,0.0,45.1
Philadelphia Eagles,27.0,22.0,81.5,47.0,46.0,97.9,91.0,3984.0,0.0,43.8
Avg Team,30.8,25.9,84.0,38.4,38.2,99.3,74.6,3340.5,0.7,44.8
