Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
San Diego Chargers,29.0,22.0,75.9,56.0,54.0,96.4,70.0,2779.0,0.0,39.7
Cincinnati Bengals,22.0,17.0,77.3,36.0,35.0,97.2,76.0,3215.0,0.0,42.3
Cleveland Browns,22.0,16.0,72.7,42.0,40.0,95.2,73.0,2956.0,0.0,40.5
Houston Oilers,36.0,29.0,80.6,53.0,49.0,92.5,65.0,2568.0,0.0,39.5
Atlanta Falcons,26.0,17.0,65.4,49.0,44.0,89.8,67.0,2814.0,0.0,42.0
Philadelphia Eagles,37.0,28.0,75.7,34.0,34.0,100.0,80.0,3024.0,0.0,37.8
New England Patriots,31.0,24.0,77.4,30.0,29.0,96.7,78.0,3276.0,0.0,42.0
New Orleans Saints,34.0,20.0,58.8,39.0,37.0,94.9,83.0,3469.0,0.0,41.8
Detroit Lions,26.0,18.0,69.2,33.0,32.0,97.0,79.0,3168.0,0.0,40.1
New York Jets,28.0,20.0,71.4,39.0,35.0,89.7,85.0,3493.0,0.0,41.1
Denver Broncos,33.0,25.0,75.8,36.0,34.0,94.4,77.0,3403.0,0.0,44.2
San Francisco 49ers,27.0,17.0,63.0,35.0,32.0,91.4,74.0,2990.0,0.0,40.4
Green Bay Packers,29.0,19.0,65.5,54.0,50.0,92.6,78.0,3050.0,0.0,39.1
Tampa Bay Buccaneers,34.0,28.0,82.4,42.0,40.0,95.2,79.0,3215.0,0.0,40.7
Los Angeles Rams,28.0,17.0,60.7,42.0,39.0,92.9,83.0,3461.0,0.0,41.7
Pittsburgh Steelers,20.0,15.0,75.0,37.0,36.0,97.3,88.0,3617.0,0.0,41.1
Baltimore Colts,23.0,14.0,60.9,45.0,42.0,93.3,80.0,3328.0,0.0,41.6
New York Giants,32.0,22.0,68.8,40.0,39.0,97.5,99.0,3881.0,0.0,39.2
Miami Dolphins,15.0,9.0,60.0,32.0,31.0,96.9,90.0,3672.0,0.0,40.8
Buffalo Bills,39.0,26.0,66.7,39.0,39.0,100.0,78.0,3346.0,0.0,42.9
Seattle Seahawks,26.0,20.0,76.9,48.0,43.0,89.6,68.0,2754.0,0.0,40.5
Chicago Bears,23.0,17.0,73.9,36.0,34.0,94.4,99.0,3821.0,0.0,38.6
Minnesota Vikings,27.0,18.0,66.7,42.0,40.0,95.2,77.0,3026.0,0.0,39.3
Los Angeles Raiders,25.0,19.0,76.0,40.0,39.0,97.5,100.0,4060.0,0.0,40.6
St. Louis Cardinals,15.0,12.0,80.0,56.0,54.0,96.4,88.0,3546.0,0.0,40.3
Kansas City Chiefs,26.0,20.0,76.9,44.0,43.0,97.7,85.0,3502.0,0.0,41.2
Dallas Cowboys,30.0,22.0,73.3,42.0,42.0,100.0,84.0,3511.0,0.0,41.8
Washington Redskins,28.0,20.0,71.4,39.0,38.0,97.4,66.0,2746.0,0.0,41.6
Avg Team,27.5,19.7,71.5,41.2,39.4,95.8,80.3,3296.5,0.5,41.0
