Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
San Francisco 49ers,32.0,27.0,84.4,50.0,50.0,100.0,69.0,2712.0,0.0,39.3
New Orleans Saints,23.0,16.0,69.6,54.0,54.0,100.0,77.0,3180.0,0.0,41.3
Atlanta Falcons,35.0,26.0,74.3,40.0,40.0,100.0,72.0,2873.0,0.0,39.9
Minnesota Vikings,42.0,29.0,69.0,32.0,32.0,100.0,69.0,2857.0,0.0,41.4
Cincinnati Bengals,32.0,29.0,90.6,50.0,49.0,98.0,71.0,3138.0,0.0,44.2
Carolina Panthers,25.0,19.0,76.0,43.0,42.0,97.7,74.0,2923.0,0.0,39.5
Buffalo Bills,31.0,23.0,74.2,22.0,22.0,100.0,93.0,3878.0,0.0,41.7
Indianapolis Colts,29.0,26.0,89.7,31.0,31.0,100.0,83.0,3436.0,0.0,41.4
Cleveland Browns,39.0,33.0,84.6,41.0,40.0,97.6,66.0,2699.0,0.0,40.9
New York Jets,31.0,26.0,83.9,33.0,33.0,100.0,78.0,3190.0,0.0,40.9
Pittsburgh Steelers,26.0,20.0,76.9,35.0,34.0,97.1,92.0,3735.0,0.0,40.6
New York Giants,37.0,24.0,64.9,39.0,38.0,97.4,78.0,3424.0,0.0,43.9
Chicago Bears,36.0,25.0,69.4,38.0,38.0,100.0,80.0,3112.0,0.0,38.9
Arizona Cardinals,24.0,16.0,66.7,45.0,44.0,97.8,89.0,3774.0,0.0,42.4
Detroit Lions,29.0,22.0,75.9,31.0,31.0,100.0,82.0,3444.0,0.0,42.0
Tampa Bay Buccaneers,31.0,24.0,77.4,23.0,23.0,100.0,101.0,4151.0,0.0,41.1
Green Bay Packers,31.0,24.0,77.4,35.0,35.0,100.0,69.0,2953.0,0.0,42.8
San Diego Chargers,38.0,26.0,68.4,34.0,34.0,100.0,85.0,3442.0,0.0,40.5
Denver Broncos,29.0,25.0,86.2,32.0,31.0,96.9,92.0,4011.0,0.0,43.6
St. Louis Rams,26.0,20.0,76.9,23.0,22.0,95.7,86.0,3672.0,0.0,42.7
Washington Redskins,30.0,25.0,83.3,38.0,38.0,100.0,74.0,3160.0,0.0,42.7
Dallas Cowboys,33.0,26.0,78.8,24.0,24.0,100.0,93.0,3832.0,0.0,41.2
New England Patriots,30.0,25.0,83.3,27.0,27.0,100.0,95.0,3914.0,0.0,41.2
Jacksonville Jaguars,18.0,17.0,94.4,22.0,22.0,100.0,96.0,3974.0,0.0,41.4
Miami Dolphins,40.0,31.0,77.5,35.0,33.0,94.3,85.0,3493.0,0.0,41.1
Seattle Seahawks,38.0,30.0,78.9,27.0,26.0,96.3,81.0,3402.0,0.0,42.0
Tennessee Titans,22.0,15.0,68.2,33.0,33.0,100.0,80.0,3432.0,0.0,42.9
Oakland Raiders,32.0,26.0,81.3,33.0,33.0,100.0,82.0,3542.0,0.0,43.2
Philadelphia Eagles,45.0,36.0,80.0,33.0,33.0,100.0,73.0,3008.0,0.0,41.2
Baltimore Ravens,25.0,19.0,76.0,27.0,26.0,96.3,115.0,4853.0,0.0,42.2
Kansas City Chiefs,25.0,19.0,76.0,33.0,33.0,100.0,98.0,4263.0,0.0,43.5
Avg Team,31.1,24.2,77.7,34.3,33.9,98.9,83.2,3482.1,0.4,41.9
