Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Cincinnati Bengals,31.0,27.0,87.1,51.0,51.0,100.0,64.0,2848.0,0.0,44.5
Indianapolis Colts,37.0,28.0,75.7,45.0,44.0,97.8,68.0,3033.0,0.0,44.6
Chicago Bears,31.0,26.0,83.9,38.0,36.0,94.7,72.0,3082.0,0.0,42.8
Pittsburgh Steelers,41.0,32.0,78.0,24.0,23.0,95.8,76.0,3481.0,0.0,45.8
Tennessee Oilers,30.0,25.0,83.3,29.0,29.0,100.0,74.0,3189.0,0.0,43.1
Tampa Bay Buccaneers,30.0,26.0,86.7,29.0,29.0,100.0,87.0,3654.0,0.0,42.0
Carolina Panthers,31.0,30.0,96.8,43.0,41.0,95.3,71.0,3124.0,0.0,44.0
Green Bay Packers,27.0,23.0,85.2,30.0,28.0,93.3,90.0,3924.0,0.0,43.6
Philadelphia Eagles,32.0,24.0,75.0,37.0,36.0,97.3,85.0,3612.0,0.0,42.5
Kansas City Chiefs,30.0,18.0,60.0,43.0,43.0,100.0,77.0,3249.0,0.0,42.2
New Orleans Saints,33.0,26.0,78.8,39.0,39.0,100.0,75.0,3262.0,0.0,43.5
Detroit Lions,30.0,25.0,83.3,41.0,41.0,100.0,81.0,3459.0,0.0,42.7
Baltimore Ravens,30.0,26.0,86.7,35.0,35.0,100.0,86.0,3655.0,0.0,42.5
San Diego Chargers,34.0,25.0,73.5,37.0,37.0,100.0,103.0,4542.0,0.0,44.1
New England Patriots,32.0,27.0,84.4,30.0,30.0,100.0,73.0,3102.0,0.0,42.5
Seattle Seahawks,30.0,23.0,76.7,31.0,31.0,100.0,78.0,3401.0,0.0,43.6
New York Jets,25.0,20.0,80.0,27.0,26.0,96.3,85.0,3587.0,0.0,42.2
St. Louis Rams,27.0,24.0,88.9,40.0,40.0,100.0,92.0,3827.0,0.0,41.6
San Francisco 49ers,32.0,19.0,59.4,38.0,35.0,92.1,83.0,3494.0,0.0,42.1
Minnesota Vikings,19.0,17.0,89.5,31.0,31.0,100.0,74.0,3152.0,0.0,42.6
Arizona Cardinals,30.0,24.0,80.0,41.0,40.0,97.6,75.0,3293.0,0.0,43.9
Buffalo Bills,26.0,21.0,80.8,28.0,28.0,100.0,77.0,3457.0,0.0,44.9
Denver Broncos,20.0,14.0,70.0,31.0,31.0,100.0,88.0,3731.0,0.0,42.4
Dallas Cowboys,19.0,16.0,84.2,30.0,29.0,96.7,85.0,3604.0,0.0,42.4
Atlanta Falcons,20.0,15.0,75.0,31.0,28.0,90.3,80.0,3424.0,0.0,42.8
Oakland Raiders,37.0,28.0,75.7,36.0,36.0,100.0,96.0,4301.0,0.0,44.8
Jacksonville Jaguars,35.0,30.0,85.7,30.0,30.0,100.0,78.0,3393.0,0.0,43.5
Washington Redskins,28.0,23.0,82.1,46.0,46.0,100.0,92.0,3965.0,0.0,43.1
Miami Dolphins,32.0,23.0,71.9,24.0,24.0,100.0,88.0,3986.0,0.0,45.3
New York Giants,30.0,23.0,76.7,34.0,34.0,100.0,88.0,3705.0,0.0,42.1
Avg Team,29.6,23.6,79.6,35.0,34.4,98.3,81.4,3532.9,0.3,43.4
