Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Chicago Bears,35.0,33.0,94.3,42.0,38.0,90.5,67.0,3049.0,0.0,45.5
Washington Redskins,30.0,24.0,80.0,43.0,41.0,95.3,61.0,2797.0,0.0,45.9
Detroit Lions,26.0,22.0,84.6,39.0,36.0,92.3,61.0,2685.0,0.0,44.0
Indianapolis Colts,40.0,34.0,85.0,39.0,34.0,87.2,63.0,2995.0,0.0,47.5
New York Jets,31.0,27.0,87.1,45.0,44.0,97.8,72.0,3184.0,0.0,44.2
Green Bay Packers,29.0,27.0,93.1,40.0,37.0,92.5,59.0,2525.0,0.0,42.8
Pittsburgh Steelers,31.0,26.0,83.9,32.0,29.0,90.6,70.0,3038.0,0.0,43.4
Cleveland Browns,27.0,19.0,70.4,52.0,49.0,94.2,74.0,3473.0,0.0,46.9
Philadelphia Eagles,33.0,28.0,84.8,34.0,31.0,91.2,62.0,2874.0,1.0,46.4
Tampa Bay Buccaneers,36.0,27.0,75.0,35.0,34.0,97.1,70.0,3108.0,0.0,44.4
San Diego Chargers,38.0,33.0,86.8,42.0,42.0,100.0,62.0,2874.0,0.0,46.4
Dallas Cowboys,32.0,25.0,78.1,28.0,27.0,96.4,70.0,3049.0,0.0,43.6
Minnesota Vikings,32.0,28.0,87.5,29.0,29.0,100.0,72.0,3290.0,0.0,45.7
Houston Texans,29.0,25.0,86.2,35.0,35.0,100.0,84.0,3862.0,0.0,46.0
New Orleans Saints,35.0,32.0,91.4,46.0,44.0,95.7,56.0,2620.0,0.0,46.8
Atlanta Falcons,27.0,23.0,85.2,38.0,35.0,92.1,66.0,3176.0,0.0,48.1
Tennessee Titans,32.0,27.0,84.4,40.0,35.0,87.5,72.0,3361.0,0.0,46.7
Los Angeles Rams,18.0,16.0,88.9,47.0,44.0,93.6,96.0,4313.0,1.0,44.9
Jacksonville Jaguars,41.0,38.0,92.7,40.0,36.0,90.0,82.0,3774.0,1.0,46.0
Seattle Seahawks,27.0,19.0,70.4,29.0,29.0,100.0,79.0,3400.0,1.0,43.0
Buffalo Bills,32.0,30.0,93.8,38.0,36.0,94.7,70.0,3024.0,1.0,43.2
Baltimore Ravens,22.0,16.0,72.7,36.0,33.0,91.7,91.0,4090.0,1.0,44.9
Carolina Panthers,42.0,33.0,78.6,37.0,35.0,94.6,71.0,3323.0,0.0,46.8
Cincinnati Bengals,31.0,27.0,87.1,32.0,28.0,87.5,74.0,3333.0,0.0,45.0
New York Giants,40.0,34.0,85.0,25.0,24.0,96.0,89.0,4113.0,0.0,46.2
Kansas City Chiefs,30.0,25.0,83.3,30.0,30.0,100.0,69.0,3076.0,0.0,44.6
Miami Dolphins,35.0,26.0,74.3,38.0,34.0,89.5,74.0,3096.0,1.0,41.8
New England Patriots,29.0,21.0,72.4,24.0,23.0,95.8,80.0,3640.0,0.0,45.5
Oakland Raiders,26.0,22.0,84.6,39.0,35.0,89.7,72.0,3309.0,0.0,46.0
San Francisco 49ers,32.0,29.0,90.6,54.0,51.0,94.4,78.0,3252.0,0.0,41.7
Arizona Cardinals,28.0,25.0,89.3,40.0,37.0,92.5,80.0,3634.0,0.0,45.4
Denver Broncos,33.0,29.0,87.9,27.0,24.0,88.9,89.0,4353.0,0.0,48.9
Avg Team,31.5,26.6,84.2,37.3,35.0,93.6,73.0,3302.8,0.2,45.3
