Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Pittsburgh Steelers,35.0,29.0,82.9,28.0,28.0,100.0,66.0,2805.0,0.0,42.5
Indianapolis Colts,31.0,27.0,87.1,44.0,42.0,95.5,64.0,2950.0,0.0,46.1
Carolina Panthers,25.0,21.0,84.0,35.0,35.0,100.0,88.0,3758.0,0.0,42.7
Tampa Bay Buccaneers,29.0,18.0,62.1,25.0,25.0,100.0,88.0,3661.0,0.0,41.6
New Orleans Saints,36.0,28.0,77.8,33.0,33.0,100.0,92.0,3671.0,0.0,39.9
Miami Dolphins,35.0,25.0,71.4,32.0,30.0,93.8,63.0,2678.0,0.0,42.5
Cincinnati Bengals,29.0,24.0,82.8,45.0,45.0,100.0,69.0,3084.0,0.0,44.7
Tennessee Oilers,30.0,22.0,73.3,34.0,34.0,100.0,69.0,3008.0,0.0,43.6
Chicago Bears,32.0,24.0,75.0,45.0,45.0,100.0,81.0,3524.0,0.0,43.5
Minnesota Vikings,30.0,23.0,76.7,37.0,36.0,97.3,70.0,2933.0,0.0,41.9
Buffalo Bills,46.0,37.0,80.4,35.0,34.0,97.1,86.0,3612.0,0.0,42.0
Jacksonville Jaguars,25.0,17.0,68.0,32.0,31.0,96.9,73.0,3059.0,0.0,41.9
Seattle Seahawks,34.0,31.0,91.2,35.0,35.0,100.0,74.0,3108.0,0.0,42.0
Kansas City Chiefs,33.0,24.0,72.7,22.0,22.0,100.0,84.0,3469.0,0.0,41.3
San Diego Chargers,26.0,25.0,96.2,46.0,46.0,100.0,85.0,3706.0,0.0,43.6
New England Patriots,29.0,20.0,69.0,29.0,29.0,100.0,74.0,3286.0,0.0,44.4
Washington Redskins,25.0,21.0,84.0,28.0,28.0,100.0,95.0,4038.0,0.0,42.5
Dallas Cowboys,27.0,20.0,74.1,34.0,34.0,100.0,95.0,4142.0,0.0,43.6
Denver Broncos,19.0,14.0,73.7,35.0,35.0,100.0,94.0,4089.0,0.0,43.5
Baltimore Ravens,34.0,24.0,70.6,35.0,33.0,94.3,82.0,3608.0,0.0,44.0
Arizona Cardinals,35.0,30.0,85.7,37.0,35.0,94.6,94.0,4127.0,0.0,43.9
Oakland Raiders,43.0,38.0,88.4,37.0,37.0,100.0,77.0,3034.0,0.0,39.4
Atlanta Falcons,20.0,14.0,70.0,39.0,39.0,100.0,90.0,3834.0,0.0,42.6
Philadelphia Eagles,33.0,24.0,72.7,42.0,42.0,100.0,87.0,3602.0,0.0,41.4
New York Jets,27.0,18.0,66.7,28.0,27.0,96.4,92.0,3864.0,0.0,42.0
Green Bay Packers,30.0,24.0,80.0,18.0,18.0,100.0,90.0,3825.0,0.0,42.5
San Francisco 49ers,20.0,16.0,80.0,29.0,29.0,100.0,83.0,3469.0,0.0,41.8
Detroit Lions,32.0,25.0,78.1,30.0,29.0,96.7,97.0,4297.0,0.0,44.3
St. Louis Rams,31.0,26.0,83.9,31.0,31.0,100.0,82.0,3649.0,0.0,44.5
New York Giants,25.0,19.0,76.0,27.0,26.0,96.3,89.0,3747.0,0.0,42.1
Avg Team,30.2,23.6,78.1,33.6,33.1,98.6,82.4,3542.7,0.5,43.0
