Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Jacksonville Jaguars,25.0,23.0,92.0,48.0,48.0,100.0,64.0,2714.0,0.0,42.4
Buffalo Bills,39.0,29.0,74.4,46.0,46.0,100.0,71.0,2989.0,0.0,42.1
New Orleans Saints,34.0,28.0,82.4,29.0,27.0,93.1,67.0,2995.0,0.0,44.7
Minnesota Vikings,23.0,18.0,78.3,42.0,42.0,100.0,85.0,3748.0,0.0,44.1
Cleveland Browns,36.0,27.0,75.0,35.0,35.0,100.0,64.0,2816.0,0.0,44.0
Cincinnati Bengals,33.0,28.0,84.8,43.0,43.0,100.0,76.0,3139.0,0.0,41.3
Houston Texans,27.0,21.0,77.8,50.0,50.0,100.0,67.0,2928.0,0.0,43.7
San Diego Chargers,16.0,16.0,100.0,37.0,36.0,97.3,81.0,3410.0,0.0,42.1
Seattle Seahawks,30.0,25.0,83.3,44.0,44.0,100.0,81.0,3524.0,0.0,43.5
Tampa Bay Buccaneers,21.0,17.0,81.0,35.0,35.0,100.0,72.0,2916.0,0.0,40.5
Tennessee Titans,48.0,39.0,81.3,30.0,30.0,100.0,61.0,2617.0,0.0,42.9
Carolina Panthers,32.0,29.0,90.6,45.0,45.0,100.0,76.0,3306.0,0.0,43.5
Miami Dolphins,31.0,27.0,87.1,36.0,36.0,100.0,77.0,3257.0,0.0,42.3
Dallas Cowboys,27.0,25.0,92.6,49.0,49.0,100.0,70.0,3017.0,0.0,43.1
New York Giants,27.0,23.0,85.2,37.0,36.0,97.3,86.0,3741.0,0.0,43.5
Green Bay Packers,29.0,24.0,82.8,24.0,24.0,100.0,78.0,3494.0,0.0,44.8
New England Patriots,26.0,19.0,73.1,32.0,32.0,100.0,58.0,2424.0,0.0,41.8
Chicago Bears,27.0,21.0,77.8,31.0,29.0,93.5,88.0,3573.0,0.0,40.6
Indianapolis Colts,36.0,31.0,86.1,41.0,41.0,100.0,67.0,2975.0,0.0,44.4
Pittsburgh Steelers,30.0,26.0,86.7,19.0,18.0,94.7,81.0,3272.0,0.0,40.4
Baltimore Ravens,32.0,27.0,84.4,25.0,25.0,100.0,89.0,3872.0,0.0,43.5
Arizona Cardinals,51.0,40.0,78.4,45.0,44.0,97.8,64.0,3066.0,0.0,47.9
Atlanta Falcons,23.0,15.0,65.2,31.0,31.0,100.0,73.0,3322.0,0.0,45.5
Denver Broncos,36.0,29.0,80.6,53.0,52.0,98.1,73.0,3168.0,0.0,43.4
San Francisco 49ers,33.0,28.0,84.8,37.0,36.0,97.3,84.0,3570.0,0.0,42.5
Detroit Lions,20.0,19.0,95.0,42.0,42.0,100.0,83.0,3635.0,0.0,43.8
Washington Redskins,38.0,28.0,73.7,37.0,37.0,100.0,86.0,3707.0,0.0,43.1
Kansas City Chiefs,24.0,20.0,83.3,38.0,38.0,100.0,89.0,4023.0,0.0,45.2
Philadelphia Eagles,21.0,18.0,85.7,45.0,45.0,100.0,82.0,3600.0,0.0,43.9
St. Louis Rams,38.0,35.0,92.1,29.0,29.0,100.0,82.0,3674.0,0.0,44.8
New York Jets,23.0,18.0,78.3,35.0,34.0,97.1,97.0,4384.0,0.0,45.2
Oakland Raiders,28.0,21.0,75.0,44.0,44.0,100.0,94.0,4117.0,0.0,43.8
Avg Team,30.1,24.8,82.4,37.9,37.6,99.1,77.1,3344.0,0.4,43.4
