Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Buffalo Bills,15.0,12.0,80.0,50.0,45.0,90.0,81.0,3280.0,0.0,40.5
Cleveland Browns,29.0,19.0,65.5,34.0,33.0,97.1,91.0,3840.0,0.0,42.2
Minnesota Vikings,37.0,29.0,78.4,39.0,38.0,97.4,65.0,2691.0,0.0,41.4
Detroit Lions,36.0,28.0,77.8,40.0,40.0,100.0,64.0,2573.0,0.0,40.2
Miami Dolphins,28.0,19.0,67.9,38.0,35.0,92.1,73.0,2971.0,0.0,40.7
Washington Redskins,28.0,22.0,78.6,35.0,34.0,97.1,85.0,3723.0,0.0,43.8
Houston Oilers,34.0,19.0,55.9,51.0,49.0,96.1,68.0,2679.0,0.0,39.4
Tampa Bay Buccaneers,43.0,32.0,74.4,50.0,50.0,100.0,59.0,2620.0,0.0,44.4
Indianapolis Colts,31.0,25.0,80.6,45.0,41.0,91.1,72.0,2981.0,0.0,41.4
Cincinnati Bengals,34.0,26.0,76.5,51.0,51.0,100.0,60.0,2478.0,0.0,41.3
Green Bay Packers,31.0,16.0,51.6,43.0,41.0,95.3,77.0,3288.0,0.0,42.7
Atlanta Falcons,23.0,17.0,73.9,56.0,55.0,98.2,69.0,2898.0,0.0,42.0
St. Louis Cardinals,38.0,28.0,73.7,47.0,46.0,97.9,75.0,3068.0,0.0,40.9
Philadelphia Eagles,29.0,13.0,44.8,38.0,37.0,97.4,92.0,3919.0,0.0,42.6
New Orleans Saints,28.0,21.0,75.0,48.0,48.0,100.0,81.0,3418.0,0.0,42.2
San Diego Chargers,30.0,18.0,60.0,54.0,51.0,94.4,70.0,2716.0,0.0,38.8
New York Jets,25.0,18.0,72.0,30.0,30.0,100.0,88.0,3678.0,0.0,41.8
Dallas Cowboys,27.0,18.0,66.7,40.0,37.0,92.5,78.0,3221.0,0.0,41.3
Los Angeles Rams,29.0,23.0,79.3,30.0,28.0,93.3,89.0,3738.0,0.0,42.0
Chicago Bears,19.0,12.0,63.2,23.0,22.0,95.7,90.0,3636.0,0.0,40.4
Seattle Seahawks,28.0,20.0,71.4,35.0,31.0,88.6,97.0,4084.0,0.0,42.1
Kansas City Chiefs,30.0,25.0,83.3,41.0,39.0,95.1,75.0,3090.0,0.0,41.2
New York Giants,21.0,18.0,85.7,33.0,31.0,93.9,107.0,4366.0,0.0,40.8
San Francisco 49ers,35.0,27.0,77.1,26.0,24.0,92.3,92.0,3643.0,0.0,39.6
Pittsburgh Steelers,25.0,19.0,76.0,43.0,40.0,93.0,86.0,3517.0,0.0,40.9
Los Angeles Raiders,35.0,24.0,68.6,33.0,32.0,97.0,104.0,4358.0,0.0,41.9
New England Patriots,25.0,22.0,88.0,32.0,30.0,93.8,97.0,3928.0,0.0,40.5
Denver Broncos,33.0,26.0,78.8,36.0,35.0,97.2,94.0,3863.0,0.0,41.1
Avg Team,29.5,21.3,72.2,39.6,38.3,96.7,81.4,3390.8,0.6,41.7
