Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Los Angeles Rams,28.0,20.0,71.4,47.0,46.0,97.9,68.0,2829.0,0.0,41.6
Kansas City Chiefs,28.0,21.0,75.0,27.0,25.0,92.6,60.0,2550.0,0.0,42.5
Indianapolis Colts,23.0,17.0,73.9,46.0,46.0,100.0,59.0,2443.0,0.0,41.4
Cincinnati Bengals,31.0,22.0,71.0,52.0,49.0,94.2,57.0,2394.0,0.0,42.0
New York Giants,30.0,29.0,96.7,30.0,30.0,100.0,74.0,2997.0,0.0,40.5
Tampa Bay Buccaneers,35.0,25.0,71.4,41.0,40.0,97.6,71.0,3046.0,0.0,42.9
Phoenix Cardinals,23.0,15.0,65.2,43.0,41.0,95.3,71.0,3209.0,0.0,45.2
Minnesota Vikings,29.0,20.0,69.0,35.0,34.0,97.1,67.0,2861.0,0.0,42.7
Houston Oilers,29.0,23.0,79.3,26.0,26.0,100.0,74.0,3115.0,0.0,42.1
Los Angeles Raiders,28.0,16.0,57.1,36.0,33.0,91.7,61.0,2361.0,0.0,38.7
Miami Dolphins,33.0,23.0,69.7,40.0,40.0,100.0,65.0,2587.0,0.0,39.8
New England Patriots,42.0,29.0,69.0,31.0,30.0,96.8,69.0,2912.0,0.0,42.2
Chicago Bears,30.0,22.0,73.3,29.0,29.0,100.0,81.0,3345.0,0.0,41.3
Dallas Cowboys,39.0,29.0,74.4,32.0,31.0,96.9,61.0,2367.0,0.0,38.8
San Francisco 49ers,25.0,22.0,88.0,25.0,23.0,92.0,82.0,3362.0,0.0,41.0
Seattle Seahawks,32.0,28.0,87.5,25.0,25.0,100.0,79.0,3089.0,0.0,39.1
Cleveland Browns,30.0,22.0,73.3,33.0,32.0,97.0,61.0,2519.0,0.0,41.3
San Diego Chargers,29.0,23.0,79.3,38.0,37.0,97.4,76.0,3063.0,0.0,40.3
Pittsburgh Steelers,41.0,26.0,63.4,38.0,38.0,100.0,65.0,2704.0,0.0,41.6
New York Jets,38.0,26.0,68.4,30.0,29.0,96.7,56.0,2274.0,0.0,40.6
Buffalo Bills,35.0,27.0,77.1,34.0,33.0,97.1,70.0,2737.0,0.0,39.1
Green Bay Packers,31.0,23.0,74.2,35.0,34.0,97.1,76.0,3200.0,0.0,42.1
Denver Broncos,33.0,27.0,81.8,22.0,22.0,100.0,79.0,3516.0,0.0,44.5
Detroit Lions,28.0,19.0,67.9,34.0,34.0,100.0,67.0,2626.0,0.0,39.2
Atlanta Falcons,26.0,13.0,50.0,43.0,41.0,95.3,79.0,3184.0,0.0,40.3
Philadelphia Eagles,33.0,25.0,75.8,24.0,23.0,95.8,86.0,3672.0,0.0,42.7
Washington Redskins,18.0,14.0,77.8,26.0,26.0,100.0,85.0,3545.0,0.0,41.7
New Orleans Saints,21.0,17.0,81.0,23.0,22.0,95.7,88.0,3722.0,0.0,42.3
Avg Team,30.3,22.3,73.5,33.6,32.8,97.7,71.0,2960.8,0.6,41.7
