Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Houston Oilers,21.0,17.0,81.0,37.0,34.0,91.9,62.0,2399.0,0.0,38.7
New York Jets,32.0,24.0,75.0,39.0,35.0,89.7,56.0,2318.0,0.0,41.4
Pittsburgh Steelers,28.0,18.0,64.3,26.0,26.0,100.0,64.0,2618.0,0.0,40.9
Los Angeles Raiders,33.0,29.0,87.9,26.0,25.0,96.2,64.0,2445.0,0.0,38.2
Green Bay Packers,34.0,22.0,64.7,40.0,39.0,97.5,69.0,2698.0,0.0,39.1
Cleveland Browns,27.0,16.0,59.3,59.0,56.0,94.9,68.0,2591.0,0.0,38.1
Phoenix Cardinals,20.0,16.0,80.0,50.0,48.0,96.0,63.0,2747.0,0.0,43.6
Tampa Bay Buccaneers,27.0,18.0,66.7,45.0,43.0,95.6,55.0,2228.0,0.0,40.5
San Diego Chargers,21.0,16.0,76.2,33.0,33.0,100.0,70.0,2884.0,0.0,41.2
New Orleans Saints,35.0,21.0,60.0,30.0,30.0,100.0,74.0,3027.0,0.0,40.9
Indianapolis Colts,43.0,32.0,74.4,36.0,35.0,97.2,58.0,2436.0,0.0,42.0
Denver Broncos,33.0,26.0,78.8,43.0,38.0,88.4,62.0,2567.0,0.0,41.4
Dallas Cowboys,26.0,18.0,69.2,36.0,36.0,100.0,70.0,2863.0,0.0,40.9
Cincinnati Bengals,29.0,22.0,75.9,41.0,40.0,97.6,63.0,2633.0,0.0,41.8
New England Patriots,31.0,27.0,87.1,52.0,51.0,98.1,56.0,2285.0,0.0,40.8
Seattle Seahawks,27.0,20.0,74.1,32.0,32.0,100.0,77.0,3226.0,0.0,41.9
Miami Dolphins,29.0,20.0,69.0,26.0,26.0,100.0,75.0,3000.0,0.0,40.0
Detroit Lions,30.0,23.0,76.7,48.0,48.0,100.0,62.0,2530.0,0.0,40.8
Los Angeles Rams,31.0,24.0,77.4,49.0,46.0,93.9,66.0,2732.0,0.0,41.4
Washington Redskins,23.0,18.0,78.3,35.0,35.0,100.0,76.0,3291.0,0.0,43.3
Buffalo Bills,24.0,18.0,75.0,30.0,29.0,96.7,66.0,2521.0,0.0,38.2
New York Giants,22.0,16.0,72.7,23.0,23.0,100.0,76.0,3139.0,0.0,41.3
Atlanta Falcons,28.0,19.0,67.9,44.0,42.0,95.5,74.0,2975.0,0.0,40.2
Minnesota Vikings,36.0,30.0,83.3,34.0,32.0,94.1,77.0,3034.0,0.0,39.4
San Francisco 49ers,23.0,19.0,82.6,26.0,26.0,100.0,82.0,3280.0,0.0,40.0
Philadelphia Eagles,32.0,23.0,71.9,33.0,32.0,97.0,86.0,3466.0,0.0,40.3
Chicago Bears,28.0,22.0,78.6,31.0,28.0,90.3,74.0,2805.0,0.0,37.9
Kansas City Chiefs,20.0,16.0,80.0,30.0,29.0,96.7,72.0,2664.0,0.0,37.0
Avg Team,28.3,21.1,74.4,36.6,35.6,97.4,68.5,2796.0,0.8,40.8
