Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Miami Dolphins,33.0,25.0,75.8,43.0,42.0,97.7,62.0,2418.0,0.0,39.0
Dallas Cowboys,35.0,28.0,80.0,44.0,43.0,97.7,73.0,2913.0,0.0,39.9
Seattle Seahawks,32.0,22.0,68.8,37.0,35.0,94.6,74.0,2901.0,0.0,39.2
New England Patriots,26.0,19.0,73.1,48.0,46.0,95.8,81.0,3410.0,0.0,42.1
Kansas City Chiefs,26.0,21.0,80.8,32.0,31.0,96.9,82.0,3206.0,0.0,39.1
Los Angeles Raiders,21.0,15.0,71.4,36.0,36.0,100.0,72.0,2902.0,0.0,40.3
Houston Oilers,21.0,17.0,81.0,51.0,49.0,96.1,56.0,2106.0,0.0,37.6
Green Bay Packers,30.0,23.0,76.7,41.0,39.0,95.1,65.0,2646.0,0.0,40.7
Chicago Bears,36.0,26.0,72.2,43.0,41.0,95.3,67.0,2653.0,0.0,39.6
Phoenix Cardinals,40.0,29.0,72.5,41.0,40.0,97.6,76.0,3154.0,0.0,41.5
Cincinnati Bengals,27.0,20.0,74.1,32.0,31.0,96.9,75.0,2932.0,0.0,39.1
New York Jets,31.0,21.0,67.7,50.0,46.0,92.0,69.0,2746.0,0.0,39.8
Indianapolis Colts,43.0,32.0,74.4,29.0,29.0,100.0,65.0,2704.0,0.0,41.6
San Diego Chargers,41.0,29.0,70.7,29.0,27.0,93.1,79.0,3049.0,0.0,38.6
Detroit Lions,33.0,23.0,69.7,42.0,41.0,97.6,80.0,3296.0,0.0,41.2
Pittsburgh Steelers,27.0,19.0,70.4,38.0,37.0,97.4,69.0,2794.0,0.0,40.5
San Francisco 49ers,31.0,23.0,74.2,26.0,26.0,100.0,74.0,2879.0,0.0,38.9
Buffalo Bills,37.0,26.0,70.3,34.0,33.0,97.1,75.0,2872.0,0.0,38.3
Washington Redskins,23.0,14.0,60.9,38.0,38.0,100.0,76.0,3048.0,0.0,40.1
New York Giants,21.0,14.0,66.7,30.0,30.0,100.0,74.0,2967.0,0.0,40.1
New Orleans Saints,24.0,19.0,79.2,35.0,34.0,97.1,75.0,2955.0,0.0,39.4
Atlanta Falcons,36.0,31.0,86.1,49.0,48.0,98.0,56.0,2341.0,0.0,41.8
Tampa Bay Buccaneers,24.0,20.0,83.3,51.0,51.0,100.0,69.0,2781.0,0.0,40.3
Minnesota Vikings,21.0,13.0,61.9,33.0,32.0,97.0,95.0,3857.0,0.0,40.6
Denver Broncos,27.0,17.0,63.0,25.0,25.0,100.0,84.0,3444.0,0.0,41.0
Los Angeles Rams,29.0,26.0,89.7,38.0,36.0,94.7,81.0,3362.0,0.0,41.5
Philadelphia Eagles,26.0,14.0,53.8,33.0,30.0,90.9,85.0,3570.0,0.0,42.0
Cleveland Browns,28.0,15.0,53.6,29.0,29.0,100.0,94.0,3798.0,0.0,40.4
Avg Team,29.6,21.5,72.5,37.4,36.6,97.9,74.4,3018.2,0.7,40.6
