Tm,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense
Tampa Bay Buccaneers,30.0,21.0,70.0,58.0,56.0,96.6,59.0,2437.0,0.0,41.3
Green Bay Packers,25.0,18.0,72.0,52.0,48.0,92.3,70.0,2772.0,0.0,39.6
Miami Dolphins,31.0,26.0,83.9,46.0,45.0,97.8,64.0,2650.0,0.0,41.4
Indianapolis Colts,35.0,24.0,68.6,47.0,46.0,97.9,67.0,2727.0,0.0,40.7
Buffalo Bills,33.0,22.0,66.7,40.0,38.0,95.0,83.0,3162.0,0.0,38.1
Detroit Lions,35.0,24.0,68.6,36.0,36.0,100.0,68.0,2836.0,0.0,41.7
St. Louis Cardinals,32.0,24.0,75.0,40.0,37.0,92.5,83.0,3511.0,0.0,42.3
Cincinnati Bengals,30.0,22.0,73.3,47.0,44.0,93.6,77.0,3065.0,0.0,39.8
New Orleans Saints,27.0,17.0,63.0,34.0,32.0,94.1,78.0,3315.0,0.0,42.5
Houston Oilers,29.0,19.0,65.5,38.0,38.0,100.0,94.0,3713.0,0.0,39.5
Atlanta Falcons,26.0,15.0,57.7,34.0,31.0,91.2,83.0,3436.0,0.0,41.4
San Diego Chargers,31.0,23.0,74.2,46.0,45.0,97.8,81.0,3305.0,0.0,40.8
Minnesota Vikings,33.0,27.0,81.8,27.0,24.0,88.9,75.0,3022.0,0.0,40.3
Chicago Bears,22.0,16.0,72.7,20.0,19.0,95.0,100.0,4090.0,0.0,40.9
New York Jets,27.0,16.0,59.3,48.0,48.0,100.0,75.0,2978.0,0.0,39.7
Dallas Cowboys,30.0,16.0,53.3,41.0,39.0,95.1,87.0,3619.0,0.0,41.6
Washington Redskins,24.0,17.0,70.8,35.0,35.0,100.0,95.0,3923.0,0.0,41.3
Pittsburgh Steelers,39.0,22.0,56.4,38.0,36.0,94.7,82.0,3198.0,0.0,39.0
Los Angeles Raiders,21.0,16.0,76.2,42.0,40.0,95.2,97.0,4084.0,0.0,42.1
Seattle Seahawks,28.0,19.0,67.9,34.0,32.0,94.1,81.0,3272.0,0.0,40.4
New York Giants,25.0,18.0,72.0,26.0,26.0,100.0,89.0,3498.0,0.0,39.3
Los Angeles Rams,31.0,24.0,77.4,27.0,27.0,100.0,96.0,3974.0,0.0,41.4
Denver Broncos,32.0,24.0,75.0,36.0,35.0,97.2,86.0,3689.0,0.0,42.9
Cleveland Browns,29.0,20.0,69.0,36.0,34.0,94.4,80.0,3032.0,0.0,37.9
San Francisco 49ers,25.0,15.0,60.0,29.0,28.0,96.6,91.0,3767.0,0.0,41.4
Kansas City Chiefs,31.0,20.0,64.5,38.0,36.0,94.7,83.0,3071.0,0.0,37.0
Philadelphia Eagles,26.0,13.0,50.0,39.0,37.0,94.9,97.0,3754.0,0.0,38.7
New England Patriots,28.0,21.0,75.0,35.0,34.0,97.1,90.0,3582.0,0.0,39.8
Avg Team,29.1,20.0,68.6,37.8,36.6,96.9,82.5,3378.8,1.0,40.9
