Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Houston Texans,204.0,5.7,27.3,25.5,145.0,1.57
Philadelphia Eagles,203.0,5.6,28.4,26.4,123.0,1.62
New York Jets,199.0,5.6,29.6,29.2,151.0,1.95
Denver Broncos,199.0,5.5,28.6,25.9,147.0,1.58
Carolina Panthers,198.0,5.5,29.9,30.7,155.0,2.4
St. Louis Rams,196.0,4.9,24.3,27.9,138.0,1.29
Oakland Raiders,195.0,5.3,27.3,29.4,145.0,1.79
Indianapolis Colts,194.0,5.6,26.5,26.8,149.0,1.54
Jacksonville Jaguars,193.0,5.4,28.6,27.2,139.0,1.85
New England Patriots,192.0,5.7,31.2,30.1,151.0,2.34
Green Bay Packers,192.0,5.7,27.8,28.1,151.0,1.83
Tennessee Titans,191.0,5.2,26.1,27.0,149.0,1.5
Pittsburgh Steelers,190.0,5.5,33.3,28.2,150.0,2.1
Miami Dolphins,187.0,5.3,28.3,26.0,141.0,1.52
Arizona Cardinals,186.0,5.8,35.1,27.8,165.0,2.37
Buffalo Bills,186.0,5.6,31.0,26.7,162.0,1.95
New York Giants,186.0,5.8,32.0,28.0,147.0,2.03
Baltimore Ravens,186.0,6.0,30.8,27.1,158.0,1.62
New Orleans Saints,182.0,6.2,35.5,26.4,165.0,2.14
San Francisco 49ers,182.0,5.5,26.6,23.7,141.0,1.28
Cincinnati Bengals,182.0,5.7,31.2,30.1,165.0,2.26
Kansas City Chiefs,182.0,5.5,29.1,31.3,163.0,1.99
Washington Redskins,180.0,5.8,31.5,27.0,169.0,1.95
Detroit Lions,179.0,5.9,31.0,25.6,169.0,1.93
Chicago Bears,179.0,5.9,30.7,29.4,169.0,1.88
Cleveland Browns,178.0,6.0,29.8,27.4,167.0,1.46
San Diego Chargers,178.0,6.4,33.4,23.3,172.0,1.78
Tampa Bay Buccaneers,176.0,6.0,34.1,26.2,158.0,1.85
Seattle Seahawks,174.0,6.1,34.6,29.2,178.0,2.27
Atlanta Falcons,174.0,6.3,34.2,27.0,178.0,1.84
Dallas Cowboys,172.0,5.8,31.1,24.5,174.0,1.5
Minnesota Vikings,172.0,5.9,29.9,30.2,170.0,1.9
Avg Team,186.46875,5.709375000000001,30.27500000000001,27.478125000000006,156.375,1.8400000000000005
