Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Chicago Bears,205.0,5.2,22.8,34.5,133.0,1.34
San Francisco 49ers,203.0,4.7,18.6,32.3,128.0,1.04
Seattle Seahawks,202.0,5.4,27.5,31.7,142.0,1.77
Arizona Cardinals,197.0,5.3,27.6,32.5,149.0,1.81
Atlanta Falcons,194.0,5.3,24.7,31.0,142.0,1.3
Kansas City Chiefs,194.0,5.3,22.8,28.1,149.0,1.12
St. Louis Rams,193.0,5.5,24.6,28.4,150.0,1.24
Washington Redskins,193.0,5.6,27.4,32.0,155.0,1.65
Cleveland Browns,192.0,5.4,29.2,33.2,147.0,1.94
Oakland Raiders,191.0,5.4,24.6,29.6,158.0,1.39
San Diego Chargers,191.0,5.3,26.4,31.8,151.0,1.88
Minnesota Vikings,190.0,5.2,28.2,27.7,149.0,1.57
Green Bay Packers,190.0,5.4,31.0,31.5,153.0,2.07
Tennessee Titans,189.0,5.7,26.3,32.5,162.0,1.52
New York Giants,189.0,5.7,28.1,31.5,159.0,1.77
Carolina Panthers,189.0,5.4,23.9,28.7,146.0,1.34
Detroit Lions,189.0,5.3,27.3,29.7,141.0,1.65
Baltimore Ravens,186.0,5.8,25.9,29.5,161.0,1.34
Tampa Bay Buccaneers,185.0,5.4,28.2,33.1,158.0,1.7
Philadelphia Eagles,182.0,5.9,31.5,29.2,163.0,1.86
Dallas Cowboys,182.0,5.5,32.1,31.9,161.0,2.35
New Orleans Saints,180.0,6.0,32.1,28.5,166.0,1.88
Cincinnati Bengals,177.0,5.9,31.4,31.1,159.0,1.95
Denver Broncos,177.0,5.7,31.1,28.0,160.0,1.68
Buffalo Bills,177.0,5.3,24.8,30.4,156.0,1.2
Pittsburgh Steelers,175.0,5.9,29.8,32.4,184.0,2.11
Miami Dolphins,175.0,5.8,26.0,27.7,162.0,1.4
Houston Texans,172.0,5.8,30.8,29.6,165.0,1.9
New York Jets,171.0,6.1,27.5,30.3,163.0,1.37
Jacksonville Jaguars,169.0,6.2,33.8,30.2,182.0,2.28
New England Patriots,167.0,6.5,39.3,32.3,187.0,3.19
Indianapolis Colts,166.0,6.3,34.6,31.8,172.0,2.57
Avg Team,185.375,5.600000000000001,28.121874999999992,30.709375,156.65625,1.724375
