Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Buffalo Bills,214.0,5.4,25.2,26.8,129.0,1.48
Baltimore Ravens,207.0,5.5,23.7,29.1,141.0,1.43
New York Giants,204.0,5.0,23.9,27.1,138.0,1.33
Denver Broncos,202.0,5.9,36.2,28.3,145.0,2.83
Philadelphia Eagles,201.0,5.4,33.1,27.9,126.0,2.12
Cincinnati Bengals,201.0,5.6,29.2,26.9,157.0,1.91
Houston Texans,201.0,5.6,27.6,25.8,150.0,1.29
New England Patriots,201.0,5.9,30.6,30.0,145.0,2.1
Arizona Cardinals,200.0,5.4,27.7,28.9,149.0,1.71
Washington Redskins,199.0,5.7,29.5,25.3,149.0,1.51
Kansas City Chiefs,197.0,5.4,27.3,33.4,151.0,1.79
Detroit Lions,196.0,5.7,31.8,27.1,158.0,1.86
New York Jets,196.0,5.4,25.8,26.0,148.0,1.4
Minnesota Vikings,195.0,5.3,28.3,28.1,140.0,1.87
Jacksonville Jaguars,195.0,5.4,24.0,28.2,135.0,1.18
Cleveland Browns,195.0,5.7,27.8,26.4,141.0,1.4
Miami Dolphins,194.0,5.3,25.6,27.9,142.0,1.56
Oakland Raiders,194.0,5.3,27.4,26.5,148.0,1.52
Pittsburgh Steelers,189.0,5.6,28.6,29.8,157.0,1.85
Indianapolis Colts,188.0,5.7,29.1,28.0,152.0,1.97
Tampa Bay Buccaneers,188.0,5.4,23.4,26.8,151.0,1.41
San Francisco 49ers,188.0,5.3,27.5,31.6,156.0,1.96
Green Bay Packers,186.0,6.0,34.5,28.2,159.0,2.15
St. Louis Rams,184.0,5.4,26.5,26.3,152.0,1.64
Tennessee Titans,184.0,5.8,29.1,27.9,158.0,1.85
Dallas Cowboys,183.0,5.4,29.7,29.7,152.0,2.18
Chicago Bears,182.0,5.7,33.5,28.5,164.0,2.16
Seattle Seahawks,182.0,5.5,29.7,31.0,161.0,2.12
New Orleans Saints,181.0,6.1,35.3,27.8,173.0,2.29
Atlanta Falcons,179.0,5.9,30.7,26.2,163.0,1.85
Carolina Panthers,170.0,6.0,29.8,29.4,180.0,1.99
San Diego Chargers,167.0,6.6,37.7,27.3,193.0,2.33
Avg Team,191.96875,5.603125,29.056250000000006,28.068749999999998,151.96875,1.8137499999999998
