Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Baltimore Ravens,217.0,4.8,22.7,35.0,136.0,1.6
New England Patriots,204.0,5.3,24.6,33.3,149.0,1.47
Dallas Cowboys,203.0,5.4,25.2,30.4,155.0,1.31
Atlanta Falcons,201.0,4.8,21.6,29.7,133.0,1.36
St. Louis Rams,197.0,5.6,27.6,34.1,156.0,2.09
New York Giants,196.0,5.5,25.1,30.8,141.0,1.09
Carolina Panthers,195.0,5.4,26.3,31.7,153.0,1.5
San Francisco 49ers,194.0,5.5,29.3,34.0,154.0,1.92
Green Bay Packers,192.0,5.3,30.2,32.3,155.0,2.18
Pittsburgh Steelers,192.0,5.5,24.9,32.9,154.0,1.42
Miami Dolphins,192.0,5.2,23.9,32.1,151.0,1.51
Washington Redskins,191.0,5.4,24.5,31.8,145.0,1.46
San Diego Chargers,191.0,5.2,27.0,30.9,141.0,1.59
Detroit Lions,190.0,5.3,22.4,32.4,143.0,1.16
Oakland Raiders,189.0,5.4,24.1,31.0,143.0,1.24
Kansas City Chiefs,188.0,5.4,31.3,32.3,151.0,2.34
Houston Texans,188.0,4.9,22.9,30.4,143.0,1.33
Tennessee Titans,188.0,5.6,29.4,34.1,168.0,2.07
Tampa Bay Buccaneers,188.0,5.6,29.0,29.8,165.0,1.45
Buffalo Bills,187.0,5.4,23.0,30.3,153.0,1.17
Philadelphia Eagles,187.0,5.2,26.9,32.5,145.0,1.88
New Orleans Saints,186.0,5.6,29.1,30.7,158.0,1.71
Chicago Bears,186.0,5.6,23.4,33.0,153.0,1.36
Seattle Seahawks,185.0,5.7,30.4,32.2,149.0,2.06
Arizona Cardinals,185.0,5.4,24.1,30.3,155.0,1.16
Jacksonville Jaguars,183.0,5.8,29.2,29.5,158.0,1.48
Denver Broncos,183.0,5.9,30.6,30.5,179.0,1.95
Minnesota Vikings,183.0,5.9,34.3,29.9,172.0,2.09
Cleveland Browns,180.0,5.5,24.9,30.2,157.0,1.36
Cincinnati Bengals,180.0,5.9,29.6,29.0,165.0,1.84
Indianapolis Colts,177.0,6.1,33.2,31.8,171.0,2.41
New York Jets,170.0,5.7,29.0,30.4,161.0,1.63
Avg Team,189.625,5.4625,26.865625,31.540624999999995,153.5,1.6309375000000002
