Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
San Diego Chargers,206.0,4.9,20.8,29.3,132.0,1.15
New York Jets,205.0,5.4,26.3,33.2,143.0,1.5
Detroit Lions,204.0,5.1,21.6,35.9,142.0,1.38
Buffalo Bills,200.0,5.6,27.4,29.4,155.0,1.51
Jacksonville Jaguars,198.0,5.6,28.7,34.1,153.0,1.85
Green Bay Packers,196.0,5.5,27.1,31.3,152.0,1.72
Tampa Bay Buccaneers,196.0,5.1,23.7,31.8,147.0,1.71
Denver Broncos,196.0,5.9,33.5,30.9,163.0,2.15
New England Patriots,195.0,5.5,23.2,32.3,145.0,1.38
Baltimore Ravens,195.0,5.6,25.5,36.8,164.0,1.58
Tennessee Titans,194.0,5.5,27.4,33.7,168.0,1.57
Chicago Bears,194.0,5.3,23.3,29.0,141.0,0.97
Miami Dolphins,193.0,5.1,23.1,32.0,154.0,1.56
New York Giants,192.0,5.7,28.0,33.0,158.0,1.68
Washington Redskins,192.0,5.6,27.5,31.7,158.0,1.48
Kansas City Chiefs,190.0,5.4,29.5,31.0,140.0,1.78
Cleveland Browns,190.0,4.6,18.6,28.5,131.0,0.81
Pittsburgh Steelers,190.0,5.5,24.9,32.9,159.0,1.54
Oakland Raiders,189.0,5.6,30.6,33.9,163.0,2.25
Cincinnati Bengals,189.0,5.4,22.3,28.3,138.0,0.89
Philadelphia Eagles,189.0,5.6,26.5,30.5,150.0,1.72
St. Louis Rams,186.0,5.6,38.0,30.6,159.0,2.76
Dallas Cowboys,186.0,5.2,24.0,31.3,150.0,1.49
Atlanta Falcons,183.0,5.2,21.7,32.2,154.0,1.17
New Orleans Saints,182.0,5.9,29.5,31.0,166.0,1.76
San Francisco 49ers,181.0,5.8,33.3,30.6,159.0,2.07
Seattle Seahawks,180.0,5.5,26.0,30.8,147.0,1.56
Indianapolis Colts,178.0,5.9,34.5,29.3,159.0,2.27
Arizona Cardinals,176.0,5.4,25.7,30.9,145.0,1.15
Carolina Panthers,176.0,5.9,26.4,32.0,164.0,1.56
Minnesota Vikings,174.0,5.6,34.1,30.9,163.0,2.27
Avg Team,190.16129032258064,5.467741935483871,26.861290322580647,31.583870967741934,152.32258064516128,1.6206451612903228
