Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Carolina Panthers,211.0,4.7,20.1,32.1,133.0,1.08
Dallas Cowboys,203.0,4.8,21.5,28.0,134.0,0.9
Houston Texans,201.0,4.8,17.6,30.6,134.0,0.85
Philadelphia Eagles,200.0,5.5,28.0,35.2,150.0,1.92
Chicago Bears,199.0,5.0,21.9,30.9,135.0,1.39
Green Bay Packers,198.0,5.5,28.0,30.8,156.0,1.87
Washington Redskins,197.0,5.4,26.0,30.7,144.0,1.45
Pittsburgh Steelers,196.0,5.8,30.2,33.7,164.0,1.91
Detroit Lions,196.0,5.0,22.8,31.7,128.0,1.35
New Orleans Saints,192.0,5.4,27.0,35.6,145.0,2.05
Minnesota Vikings,191.0,5.8,32.3,31.3,160.0,2.01
Miami Dolphins,191.0,5.5,28.2,32.1,158.0,1.92
San Diego Chargers,191.0,5.5,27.8,31.3,156.0,1.6
Cleveland Browns,191.0,5.3,26.2,30.5,151.0,1.7
St. Louis Rams,189.0,5.6,29.4,32.0,156.0,1.6
Atlanta Falcons,189.0,5.7,29.3,32.9,169.0,2.03
New York Giants,189.0,5.8,30.5,30.2,161.0,1.63
Arizona Cardinals,188.0,5.4,24.1,30.3,149.0,1.28
Tampa Bay Buccaneers,187.0,5.7,26.7,32.4,165.0,1.6
Baltimore Ravens,185.0,5.3,24.9,30.4,144.0,1.48
New England Patriots,185.0,5.7,27.3,33.8,152.0,1.84
Buffalo Bills,184.0,5.9,30.3,29.7,163.0,1.97
Cincinnati Bengals,183.0,5.9,28.4,28.1,152.0,1.39
Indianapolis Colts,183.0,5.9,30.7,33.1,163.0,1.87
Tennessee Titans,182.0,5.8,28.8,32.2,175.0,1.87
Denver Broncos,181.0,6.0,33.5,30.9,165.0,2.06
Seattle Seahawks,179.0,6.0,32.4,29.0,158.0,1.79
Kansas City Chiefs,178.0,5.6,33.7,32.2,157.0,2.47
Jacksonville Jaguars,178.0,5.5,27.3,32.9,154.0,1.78
San Francisco 49ers,173.0,6.5,32.9,31.2,181.0,2.03
Oakland Raiders,171.0,6.4,36.4,31.2,178.0,2.38
New York Jets,169.0,5.6,29.8,32.0,164.0,1.96
Avg Team,188.4375,5.571875,27.937499999999993,31.531250000000004,154.8125,1.7196875000000003
