Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Denver Broncos,204.0,5.1,24.8,26.7,140.0,1.34
New York Jets,203.0,5.2,24.4,30.9,146.0,1.69
New York Giants,200.0,5.3,30.7,26.4,142.0,1.9
Chicago Bears,199.0,5.1,25.2,27.0,147.0,1.44
Arizona Cardinals,199.0,5.1,26.0,25.6,138.0,1.45
Seattle Seahawks,198.0,5.2,24.4,31.3,138.0,1.44
Cincinnati Bengals,197.0,5.3,26.0,30.1,148.0,1.6
Detroit Lions,197.0,5.5,32.2,28.7,147.0,2.14
St. Louis Rams,196.0,5.3,23.0,26.4,138.0,0.89
Miami Dolphins,195.0,5.3,25.9,29.5,151.0,1.62
Jacksonville Jaguars,194.0,5.3,20.8,28.8,149.0,1.11
Oakland Raiders,193.0,5.4,31.4,27.2,149.0,1.79
San Francisco 49ers,192.0,5.4,25.9,33.5,161.0,1.85
Houston Texans,191.0,5.7,31.1,30.3,164.0,1.93
Philadelphia Eagles,190.0,5.6,33.7,28.7,158.0,1.93
Kansas City Chiefs,189.0,5.6,26.3,24.6,150.0,1.05
Buffalo Bills,189.0,5.4,29.8,26.2,153.0,1.7
Minnesota Vikings,189.0,5.5,27.9,29.1,146.0,1.76
Tennessee Titans,188.0,5.4,28.5,27.4,142.0,1.58
Washington Redskins,188.0,5.7,28.6,29.1,155.0,1.5
Atlanta Falcons,187.0,5.9,32.2,28.5,166.0,2.04
Baltimore Ravens,186.0,5.8,29.1,28.9,158.0,1.84
Indianapolis Colts,186.0,5.3,24.6,23.5,135.0,1.2
Dallas Cowboys,185.0,5.7,32.4,29.0,163.0,1.96
Tampa Bay Buccaneers,181.0,5.5,28.0,27.0,154.0,1.44
Green Bay Packers,180.0,5.6,36.0,30.8,162.0,2.85
Cleveland Browns,180.0,5.9,25.6,27.1,156.0,1.18
New England Patriots,180.0,6.2,37.9,29.3,153.0,2.68
Carolina Panthers,179.0,5.7,34.8,27.9,162.0,2.21
New Orleans Saints,175.0,6.6,42.6,28.2,175.0,2.96
San Diego Chargers,172.0,6.3,36.6,27.9,181.0,2.24
Pittsburgh Steelers,168.0,6.2,35.4,26.8,186.0,1.83
Avg Team,189.0625,5.565624999999999,29.431250000000002,28.2,153.53125,1.7543750000000002
