Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Indianapolis Colts,205.0,5.5,31.6,28.7,149.0,2.18
Philadelphia Eagles,203.0,5.7,31.1,30.0,126.0,1.96
Oakland Raiders,198.0,5.1,22.6,24.2,137.0,1.21
Denver Broncos,198.0,5.5,32.6,28.9,149.0,2.31
Buffalo Bills,197.0,5.4,25.8,30.2,145.0,1.58
Jacksonville Jaguars,195.0,5.2,23.7,25.7,134.0,1.17
Houston Texans,194.0,5.7,28.2,27.7,154.0,1.69
Cleveland Browns,193.0,5.4,26.8,26.8,140.0,1.44
New York Giants,193.0,5.8,30.3,28.2,153.0,1.93
Washington Redskins,192.0,5.4,29.9,25.1,154.0,1.58
Tennessee Titans,191.0,4.9,25.3,25.8,138.0,1.25
Cincinnati Bengals,191.0,5.5,29.1,30.3,153.0,1.84
New York Jets,186.0,5.9,28.0,27.8,160.0,1.53
St. Louis Rams,186.0,5.3,26.9,28.0,151.0,1.55
Baltimore Ravens,182.0,5.8,32.0,28.7,156.0,2.13
New England Patriots,181.0,6.1,32.3,30.6,157.0,2.4
Miami Dolphins,181.0,6.0,30.9,31.1,160.0,1.99
Arizona Cardinals,181.0,5.7,28.3,26.9,158.0,1.52
Chicago Bears,180.0,5.7,29.0,25.9,161.0,1.68
Tampa Bay Buccaneers,180.0,5.3,25.8,26.6,146.0,1.42
Detroit Lions,179.0,6.1,30.4,29.9,170.0,1.71
Dallas Cowboys,179.0,5.8,34.1,28.9,176.0,2.49
San Francisco 49ers,178.0,5.8,29.4,27.8,171.0,1.6
Carolina Panthers,178.0,6.2,31.0,27.7,174.0,1.79
Minnesota Vikings,176.0,5.8,28.5,27.3,157.0,1.64
Seattle Seahawks,175.0,6.0,34.2,30.5,178.0,2.13
Atlanta Falcons,175.0,6.1,34.6,26.5,162.0,2.06
Pittsburgh Steelers,174.0,6.3,37.5,25.7,179.0,2.23
New Orleans Saints,174.0,6.4,37.7,25.5,169.0,2.3
San Diego Chargers,174.0,5.9,31.3,26.4,171.0,1.87
Kansas City Chiefs,173.0,5.7,29.4,29.3,166.0,1.93
Green Bay Packers,169.0,6.1,36.5,28.5,173.0,2.63
Avg Team,184.71875,5.721875,30.15,27.849999999999998,157.09375,1.835625
