Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Chicago Bears,203.0,5.0,23.3,33.4,135.0,1.63
Philadelphia Eagles,200.0,5.5,28.0,31.2,151.0,1.83
Baltimore Ravens,194.0,5.6,26.6,32.3,165.0,1.73
Carolina Panthers,192.0,5.0,29.2,31.8,147.0,2.08
Tennessee Titans,191.0,5.3,26.1,32.4,147.0,1.81
Minnesota Vikings,190.0,5.5,27.7,29.3,158.0,1.82
Pittsburgh Steelers,190.0,5.5,26.1,31.1,160.0,1.72
Dallas Cowboys,190.0,5.3,28.9,29.5,152.0,1.83
St. Louis Rams,190.0,5.4,24.2,27.2,149.0,1.19
Tampa Bay Buccaneers,189.0,5.7,28.8,32.4,163.0,1.66
Oakland Raiders,187.0,5.1,23.0,30.3,146.0,1.21
Detroit Lions,187.0,5.0,22.9,27.9,139.0,1.39
Cincinnati Bengals,186.0,5.4,21.0,30.1,151.0,0.99
San Francisco 49ers,185.0,5.4,26.7,29.2,153.0,1.68
Green Bay Packers,179.0,5.8,31.2,28.2,170.0,1.98
New York Giants,178.0,6.0,32.0,32.3,180.0,2.26
New Orleans Saints,178.0,6.0,36.7,29.9,164.0,2.49
Washington Redskins,178.0,6.0,28.7,31.8,170.0,1.46
Kansas City Chiefs,178.0,5.5,27.6,27.8,151.0,1.53
Arizona Cardinals,178.0,5.8,32.9,30.8,163.0,2.19
New York Jets,177.0,5.7,29.8,31.4,169.0,2.07
Buffalo Bills,176.0,5.6,27.7,32.1,164.0,1.7
Seattle Seahawks,176.0,5.4,25.0,30.9,145.0,1.52
Atlanta Falcons,174.0,6.0,33.1,30.6,172.0,2.11
Miami Dolphins,174.0,5.7,31.6,29.2,171.0,1.89
New England Patriots,174.0,6.5,33.5,33.3,179.0,2.31
Houston Texans,173.0,6.1,35.3,29.8,178.0,2.0
Jacksonville Jaguars,172.0,6.0,29.7,27.3,176.0,1.63
Cleveland Browns,172.0,5.6,23.1,29.8,154.0,1.22
San Diego Chargers,170.0,5.6,32.8,30.6,163.0,2.41
Denver Broncos,167.0,6.3,37.9,26.0,165.0,2.13
Indianapolis Colts,150.0,6.6,35.8,28.2,183.0,2.31
Avg Team,181.1875,5.653124999999999,28.965624999999996,30.253124999999994,160.40625,1.8056250000000007
