Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
New England Patriots,219.0,6.0,34.4,30.3,164.0,2.45
Houston Texans,215.0,5.8,26.1,29.5,159.0,1.44
Pittsburgh Steelers,213.0,5.8,33.2,27.7,164.0,2.16
Green Bay Packers,209.0,6.0,33.9,29.3,169.0,2.53
Oakland Raiders,209.0,5.5,29.4,31.4,153.0,2.02
New York Giants,206.0,5.3,27.5,27.5,139.0,1.46
Seattle Seahawks,205.0,5.7,31.2,29.2,159.0,1.94
Atlanta Falcons,204.0,5.9,38.7,29.5,170.0,2.98
Arizona Cardinals,197.0,5.6,29.5,29.7,151.0,2.03
Denver Broncos,197.0,5.3,26.2,28.7,141.0,1.54
San Francisco 49ers,197.0,5.2,25.0,27.2,131.0,1.55
Miami Dolphins,197.0,5.0,28.4,29.4,151.0,1.77
Los Angeles Rams,193.0,5.1,21.7,27.4,146.0,1.13
Carolina Panthers,193.0,5.6,28.5,30.4,153.0,1.81
Baltimore Ravens,192.0,5.8,29.0,28.8,154.0,1.69
Jacksonville Jaguars,190.0,5.7,28.2,26.2,147.0,1.61
Kansas City Chiefs,186.0,5.8,30.6,29.9,166.0,1.87
New York Jets,184.0,5.6,28.7,27.1,160.0,1.47
Tennessee Titans,184.0,5.6,31.0,28.2,159.0,2.07
Tampa Bay Buccaneers,183.0,5.9,30.2,28.3,162.0,1.78
Dallas Cowboys,182.0,6.1,35.4,28.8,178.0,2.49
San Diego Chargers,181.0,5.8,31.4,28.1,162.0,2.09
New Orleans Saints,181.0,6.3,37.8,27.4,164.0,2.59
Cleveland Browns,180.0,5.6,27.4,23.4,151.0,1.44
Indianapolis Colts,179.0,6.0,32.5,27.9,165.0,2.21
Philadelphia Eagles,178.0,6.3,30.1,30.3,175.0,1.85
Buffalo Bills,177.0,5.8,31.8,28.9,162.0,2.14
Cincinnati Bengals,176.0,6.1,32.4,26.8,165.0,1.87
Washington Redskins,175.0,6.0,36.9,27.4,165.0,2.26
Minnesota Vikings,173.0,6.0,29.1,30.8,170.0,1.64
Chicago Bears,171.0,5.8,33.2,25.1,158.0,1.5
Detroit Lions,165.0,6.4,34.3,25.4,184.0,2.0
Avg Team,190.34375,5.7625,30.740624999999994,28.312499999999986,159.28125,1.9181249999999999
