Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Baltimore Ravens,217.0,4.9,22.0,32.8,131.0,1.35
Kansas City Chiefs,210.0,5.1,25.7,29.3,139.0,1.5
Miami Dolphins,207.0,5.4,23.8,32.9,146.0,1.51
Arizona Cardinals,207.0,5.0,19.3,30.0,126.0,1.09
Tampa Bay Buccaneers,206.0,5.0,20.5,32.2,150.0,1.24
New England Patriots,206.0,5.1,24.5,33.0,136.0,1.33
Chicago Bears,205.0,5.6,26.7,32.5,139.0,1.27
Philadelphia Eagles,205.0,4.8,18.7,32.5,128.0,1.09
New Orleans Saints,202.0,5.4,24.5,29.7,147.0,1.22
Washington Redskins,202.0,5.3,29.6,30.8,142.0,2.02
Tennessee Titans,201.0,5.2,26.2,32.4,150.0,1.78
Pittsburgh Steelers,200.0,5.5,24.3,32.5,151.0,1.53
New York Giants,198.0,5.6,25.8,29.7,149.0,1.37
Dallas Cowboys,196.0,5.4,26.2,33.2,157.0,1.56
Seattle Seahawks,196.0,5.2,24.4,33.4,135.0,1.59
San Diego Chargers,196.0,5.5,23.2,32.0,147.0,1.26
Oakland Raiders,194.0,5.6,29.3,32.3,160.0,1.9
Denver Broncos,194.0,5.6,26.9,30.1,156.0,1.49
Green Bay Packers,193.0,5.5,28.0,29.1,146.0,1.69
Cincinnati Bengals,193.0,5.5,27.1,29.6,149.0,1.33
Detroit Lions,192.0,5.3,25.7,30.8,145.0,1.5
Carolina Panthers,192.0,5.3,29.6,32.7,147.0,2.14
New York Jets,191.0,5.4,24.7,33.6,154.0,1.49
Buffalo Bills,190.0,5.8,28.0,32.9,164.0,1.61
Jacksonville Jaguars,188.0,6.0,29.6,34.0,163.0,1.84
St. Louis Rams,188.0,5.4,34.1,31.5,162.0,2.37
Minnesota Vikings,186.0,5.5,31.1,31.6,152.0,2.0
Indianapolis Colts,186.0,5.5,30.7,31.0,157.0,2.13
Cleveland Browns,184.0,4.8,20.3,29.0,125.0,1.2
Atlanta Falcons,184.0,5.2,24.6,30.2,150.0,1.42
San Francisco 49ers,182.0,5.7,29.5,28.5,160.0,1.42
Avg Team,196.48387096774192,5.358064516129032,25.954838709677425,31.477419354838712,147.19354838709677,1.5561290322580648
