Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Baltimore Ravens,202.0,5.5,25.3,33.4,141.0,1.45
Philadelphia Eagles,201.0,5.0,24.2,32.3,138.0,1.54
Carolina Panthers,201.0,4.9,21.0,32.0,132.0,1.11
New York Giants,196.0,5.4,26.9,29.0,147.0,1.42
New Orleans Saints,196.0,5.4,26.3,33.2,144.0,1.66
Cleveland Browns,196.0,4.9,21.1,32.4,139.0,1.27
Indianapolis Colts,195.0,5.4,30.5,29.7,150.0,1.97
Green Bay Packers,195.0,5.0,27.8,30.3,145.0,1.85
Tennessee Titans,195.0,5.4,27.4,29.4,155.0,1.56
Denver Broncos,195.0,5.5,24.7,31.1,156.0,1.66
Chicago Bears,195.0,5.4,23.9,33.4,151.0,1.55
Cincinnati Bengals,195.0,5.6,24.5,29.4,146.0,1.09
San Diego Chargers,194.0,5.4,26.7,32.5,151.0,1.51
Jacksonville Jaguars,192.0,5.2,25.0,31.1,140.0,1.41
Washington Redskins,192.0,5.2,23.0,33.2,151.0,1.24
Kansas City Chiefs,190.0,5.5,29.9,30.9,148.0,1.64
Atlanta Falcons,188.0,5.5,27.0,31.5,162.0,1.51
Dallas Cowboys,188.0,5.2,23.2,32.0,155.0,1.17
Detroit Lions,188.0,5.6,26.4,28.4,146.0,1.3
Seattle Seahawks,187.0,5.4,25.5,30.5,154.0,1.44
Oakland Raiders,185.0,5.7,28.9,33.1,162.0,1.97
New England Patriots,185.0,5.6,26.2,32.6,161.0,1.75
Buffalo Bills,184.0,5.6,27.9,26.9,152.0,1.32
Tampa Bay Buccaneers,184.0,5.9,25.5,34.1,166.0,1.6
San Francisco 49ers,182.0,5.9,31.2,30.7,171.0,2.14
Minnesota Vikings,182.0,5.5,28.4,29.2,154.0,1.52
St. Louis Rams,182.0,5.7,36.6,32.3,169.0,2.57
Miami Dolphins,182.0,5.4,26.5,31.9,159.0,1.66
Pittsburgh Steelers,182.0,6.1,32.2,32.2,183.0,1.76
Arizona Cardinals,180.0,5.5,27.1,29.5,149.0,1.44
New York Jets,176.0,5.5,27.0,34.4,159.0,1.52
Avg Team,189.83870967741936,5.44516129032258,26.703225806451616,31.374193548387098,152.7741935483871,1.5677419354838713
