Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Arizona Cardinals,209.0,5.0,20.1,30.4,135.0,1.06
Houston Texans,202.0,5.6,29.5,27.0,160.0,1.88
Detroit Lions,197.0,6.1,33.2,25.1,156.0,1.87
Jacksonville Jaguars,196.0,5.2,24.4,26.6,137.0,1.28
Chicago Bears,195.0,5.3,25.4,31.1,157.0,1.56
Cincinnati Bengals,195.0,5.4,27.2,31.2,150.0,1.86
New York Jets,194.0,5.5,24.6,27.8,151.0,1.26
Baltimore Ravens,193.0,5.6,29.2,27.0,142.0,1.88
Tampa Bay Buccaneers,193.0,5.4,30.1,29.0,151.0,1.89
Cleveland Browns,191.0,5.4,26.2,29.0,142.0,1.48
Buffalo Bills,190.0,5.3,28.8,27.3,152.0,1.66
New Orleans Saints,190.0,5.7,34.7,24.2,146.0,2.24
Denver Broncos,188.0,6.0,33.9,29.1,160.0,2.24
Tennessee Titans,188.0,5.3,26.6,25.4,141.0,1.4
Oakland Raiders,188.0,5.7,29.0,26.0,151.0,1.54
Miami Dolphins,186.0,5.4,26.8,25.3,150.0,1.42
Kansas City Chiefs,186.0,5.6,27.4,26.4,157.0,1.09
Green Bay Packers,186.0,5.8,30.9,31.2,157.0,2.18
Pittsburgh Steelers,186.0,5.7,28.6,26.8,166.0,1.77
New England Patriots,185.0,6.6,37.0,28.4,160.0,2.74
Philadelphia Eagles,184.0,6.0,30.4,25.6,155.0,1.51
Washington Redskins,183.0,5.6,33.6,27.5,164.0,2.23
St. Louis Rams,182.0,5.7,28.9,24.4,157.0,1.42
Minnesota Vikings,182.0,5.7,29.5,27.4,152.0,1.88
Dallas Cowboys,180.0,6.0,33.2,27.2,165.0,1.92
Indianapolis Colts,180.0,6.3,32.2,24.8,164.0,1.76
San Diego Chargers,180.0,5.6,26.4,28.9,169.0,1.58
San Francisco 49ers,178.0,5.7,32.5,31.8,171.0,2.1
New York Giants,176.0,5.7,32.3,31.4,159.0,2.31
Carolina Panthers,175.0,5.8,32.9,25.8,164.0,1.91
Atlanta Falcons,175.0,6.1,33.7,29.0,169.0,2.33
Seattle Seahawks,170.0,5.9,32.9,29.4,180.0,2.19
Avg Team,186.96875,5.678124999999999,29.753124999999997,27.734374999999993,155.9375,1.795
