Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Chicago Bears,201.0,5.4,25.8,32.6,148.0,1.8
Green Bay Packers,199.0,5.6,27.3,30.4,148.0,1.34
Minnesota Vikings,197.0,5.3,25.1,29.9,155.0,1.24
Carolina Panthers,197.0,5.2,25.0,27.1,148.0,1.29
Seattle Seahawks,197.0,5.5,25.3,31.1,145.0,1.59
Baltimore Ravens,192.0,5.5,26.2,33.5,164.0,1.6
Denver Broncos,192.0,5.2,25.7,27.0,152.0,1.59
New Orleans Saints,190.0,5.8,33.0,29.2,161.0,2.09
Miami Dolphins,190.0,5.6,26.0,31.5,152.0,1.26
New York Giants,190.0,5.4,27.5,32.2,151.0,1.8
San Diego Chargers,190.0,5.5,30.6,32.1,160.0,2.47
Tampa Bay Buccaneers,190.0,5.2,22.7,29.0,144.0,1.01
New England Patriots,189.0,5.7,28.5,32.6,160.0,1.98
San Francisco 49ers,189.0,5.0,25.7,30.0,147.0,1.5
Cincinnati Bengals,188.0,5.5,29.0,31.0,146.0,1.96
Jacksonville Jaguars,188.0,5.4,28.8,33.2,165.0,1.9
Cleveland Browns,188.0,5.1,22.5,31.3,151.0,1.15
Pittsburgh Steelers,188.0,5.7,30.3,28.0,161.0,1.77
Tennessee Titans,187.0,5.2,25.6,30.0,141.0,1.4
Buffalo Bills,186.0,5.0,22.8,31.2,145.0,1.42
Detroit Lions,185.0,5.4,26.7,29.7,144.0,1.61
Atlanta Falcons,184.0,5.6,28.8,30.3,157.0,1.52
Philadelphia Eagles,183.0,5.5,33.2,30.0,152.0,1.98
St. Louis Rams,183.0,6.0,31.4,28.1,164.0,1.94
Kansas City Chiefs,182.0,5.7,28.0,31.8,161.0,1.74
Oakland Raiders,180.0,5.4,21.6,30.9,150.0,0.77
Washington Redskins,179.0,5.6,29.2,29.1,162.0,1.62
Arizona Cardinals,177.0,5.9,28.1,29.8,163.0,1.62
Dallas Cowboys,176.0,5.9,32.6,31.7,169.0,2.21
New York Jets,176.0,5.9,27.7,30.8,169.0,1.68
Houston Texans,169.0,5.8,26.4,28.0,167.0,1.46
Indianapolis Colts,156.0,6.7,38.9,28.8,182.0,2.65
Avg Team,186.1875,5.5375000000000005,27.687500000000004,30.371874999999996,155.75,1.6549999999999998
