Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Philadelphia Eagles,218.0,4.8,23.3,30.4,126.0,1.33
Miami Dolphins,202.0,5.2,25.4,31.5,130.0,1.51
New York Giants,201.0,5.5,28.7,33.8,149.0,1.95
San Francisco 49ers,196.0,4.6,18.2,27.6,135.0,1.01
Chicago Bears,195.0,5.0,21.0,33.8,142.0,1.13
St. Louis Rams,195.0,5.4,28.5,30.6,150.0,1.71
Arizona Cardinals,194.0,5.8,28.7,29.5,155.0,1.49
Dallas Cowboys,194.0,5.7,26.7,31.1,161.0,1.61
Tennessee Titans,193.0,5.4,26.5,32.4,155.0,1.37
Jacksonville Jaguars,193.0,5.4,26.7,34.3,158.0,1.77
Washington Redskins,192.0,5.5,27.5,30.0,159.0,1.72
Baltimore Ravens,191.0,5.7,24.5,30.0,154.0,1.28
Minnesota Vikings,190.0,5.2,24.3,31.6,145.0,1.43
Tampa Bay Buccaneers,190.0,5.3,24.8,29.6,158.0,1.45
Atlanta Falcons,190.0,5.5,27.5,30.3,154.0,1.71
Carolina Panthers,190.0,5.3,26.1,33.0,156.0,1.96
Green Bay Packers,189.0,5.7,26.8,28.6,157.0,1.47
Denver Broncos,186.0,5.7,30.9,31.8,169.0,2.01
Seattle Seahawks,185.0,5.6,31.9,31.6,155.0,2.34
New England Patriots,184.0,5.7,30.6,30.0,158.0,2.0
Oakland Raiders,183.0,5.6,27.0,29.3,147.0,1.55
Pittsburgh Steelers,183.0,5.4,28.1,33.2,166.0,2.0
Kansas City Chiefs,183.0,6.0,33.8,30.6,168.0,2.09
New Orleans Saints,182.0,5.8,27.6,28.5,161.0,1.3
Detroit Lions,179.0,5.5,24.2,30.5,158.0,1.3
Cincinnati Bengals,179.0,5.9,32.0,34.3,165.0,2.31
San Diego Chargers,178.0,5.9,31.3,29.9,170.0,2.28
Cleveland Browns,178.0,5.4,25.4,30.5,151.0,1.2
Buffalo Bills,177.0,5.5,23.1,33.8,157.0,1.44
Houston Texans,173.0,5.7,23.3,32.6,159.0,1.42
New York Jets,168.0,5.6,23.3,31.5,153.0,1.27
Indianapolis Colts,165.0,6.2,35.1,31.2,177.0,2.5
Avg Team,187.375,5.515625,26.9625,31.16875,154.9375,1.6534375000000001
