Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Kansas City Chiefs,202.0,5.2,23.7,28.5,133.0,1.27
Arizona Cardinals,199.0,5.0,27.6,29.9,144.0,1.78
New York Jets,198.0,5.4,25.9,32.4,156.0,1.62
San Francisco 49ers,196.0,4.9,23.8,29.1,146.0,1.54
Oakland Raiders,194.0,5.0,21.9,27.1,140.0,1.02
Tampa Bay Buccaneers,194.0,5.1,23.6,30.4,142.0,1.08
Seattle Seahawks,194.0,5.5,25.8,28.4,136.0,1.35
Detroit Lions,194.0,5.5,24.6,27.7,143.0,1.23
Carolina Panthers,193.0,5.4,27.4,28.2,150.0,1.58
Chicago Bears,193.0,5.2,25.7,32.4,142.0,1.57
Philadelphia Eagles,192.0,5.3,29.8,30.6,141.0,1.99
Green Bay Packers,191.0,5.6,31.7,32.3,166.0,2.26
Cleveland Browns,189.0,5.3,21.9,30.5,147.0,1.14
Denver Broncos,189.0,5.6,28.9,29.0,153.0,1.59
Buffalo Bills,188.0,5.0,23.3,30.3,144.0,1.3
Minnesota Vikings,188.0,5.8,32.2,32.5,168.0,2.39
Houston Texans,187.0,5.7,32.8,30.2,164.0,1.91
Tennessee Titans,187.0,5.5,29.9,27.1,147.0,1.74
New Orleans Saints,185.0,5.7,34.9,31.4,164.0,2.44
New York Giants,183.0,5.7,32.0,30.5,166.0,2.05
Pittsburgh Steelers,183.0,5.7,32.4,29.5,172.0,1.9
Baltimore Ravens,183.0,5.7,30.7,31.8,155.0,1.99
Miami Dolphins,181.0,6.2,29.7,28.4,170.0,1.85
St. Louis Rams,181.0,5.6,24.6,28.1,155.0,0.93
Dallas Cowboys,179.0,5.9,35.7,27.6,173.0,1.9
New England Patriots,178.0,6.2,35.7,30.0,178.0,2.29
Cincinnati Bengals,177.0,5.9,27.8,29.7,176.0,1.58
Jacksonville Jaguars,176.0,5.9,30.6,28.5,166.0,1.66
Indianapolis Colts,174.0,5.8,33.4,28.0,153.0,2.29
Washington Redskins,172.0,5.8,28.9,28.7,162.0,1.56
San Diego Chargers,170.0,5.9,33.9,30.8,169.0,2.46
Atlanta Falcons,170.0,6.3,32.1,30.6,169.0,2.02
Avg Team,186.25,5.571875000000002,28.840625,29.69375,155.9375,1.7275
