Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
Jacksonville Jaguars,220.0,5.2,26.3,33.0,140.0,1.88
San Francisco 49ers,219.0,5.6,33.5,31.0,154.0,2.37
Arizona Cardinals,218.0,5.5,26.0,30.9,141.0,1.63
Miami Dolphins,217.0,5.4,25.1,31.1,159.0,1.46
Denver Broncos,216.0,5.5,31.0,33.6,158.0,2.42
New York Jets,210.0,5.8,30.2,31.3,164.0,2.03
Minnesota Vikings,204.0,5.9,34.6,32.9,161.0,2.84
Oakland Raiders,202.0,4.9,22.1,30.2,128.0,1.12
Green Bay Packers,201.0,5.7,29.8,32.4,158.0,1.95
San Diego Chargers,197.0,5.2,22.1,28.9,142.0,1.11
Kansas City Chiefs,196.0,5.2,23.8,32.2,142.0,1.58
New England Patriots,193.0,5.5,26.7,31.3,146.0,1.62
Philadelphia Eagles,189.0,5.4,21.9,28.5,148.0,0.85
Seattle Seahawks,189.0,5.1,24.5,31.5,137.0,1.49
Tampa Bay Buccaneers,188.0,5.4,25.0,33.0,160.0,1.53
New Orleans Saints,186.0,5.1,23.2,27.8,141.0,1.21
Dallas Cowboys,186.0,5.5,28.3,33.3,162.0,1.77
Buffalo Bills,186.0,5.7,29.9,33.6,161.0,2.0
Chicago Bears,185.0,5.4,25.0,29.5,150.0,1.25
Detroit Lions,180.0,5.5,27.9,28.0,155.0,1.61
Cincinnati Bengals,178.0,5.6,27.1,26.4,154.0,1.38
Pittsburgh Steelers,173.0,5.5,23.8,32.3,156.0,1.12
Indianapolis Colts,172.0,5.4,27.3,30.1,146.0,1.66
Baltimore Ravens,168.0,5.1,24.5,28.5,144.0,1.21
St. Louis Rams,166.0,5.0,22.0,29.0,137.0,1.4
Carolina Panthers,164.0,5.2,24.6,32.0,142.0,1.63
Atlanta Falcons,163.0,5.3,28.5,34.4,168.0,2.09
Tennessee Oilers,157.0,6.1,30.4,26.8,177.0,1.66
New York Giants,155.0,5.5,23.8,29.6,145.0,1.34
Washington Redskins,154.0,5.0,24.0,30.3,126.0,1.49
Avg Team,187.73333333333332,5.406666666666667,26.429999999999996,30.779999999999994,150.06666666666666,1.6233333333333333
