Tm,#Dr,Plays/Drive,Yds/Drive,AvgStartingPosition,AvgDriveTime,Pts/Drive
New York Giants,207.0,5.1,29.3,31.0,151.0,1.9
Washington Redskins,205.0,5.1,26.0,28.8,135.0,1.38
Oakland Raiders,203.0,5.3,27.9,28.8,147.0,1.76
St. Louis Rams,199.0,5.5,24.3,30.9,150.0,1.45
New York Jets,199.0,5.7,28.2,32.8,157.0,1.65
Chicago Bears,198.0,4.9,23.4,33.7,143.0,1.55
Carolina Panthers,197.0,5.0,20.7,28.7,134.0,0.95
Seattle Seahawks,196.0,5.1,24.2,30.8,135.0,1.35
Philadelphia Eagles,196.0,5.5,31.8,31.6,153.0,2.13
Denver Broncos,196.0,5.3,28.4,27.5,138.0,1.69
Detroit Lions,193.0,5.7,28.1,29.3,148.0,1.73
Kansas City Chiefs,192.0,5.7,29.1,30.5,158.0,1.77
Arizona Cardinals,190.0,5.0,22.7,29.7,133.0,1.15
San Francisco 49ers,190.0,5.1,26.2,28.5,145.0,1.42
Cincinnati Bengals,190.0,5.7,27.9,31.2,158.0,1.63
Baltimore Ravens,189.0,5.5,27.2,29.8,159.0,1.75
Minnesota Vikings,189.0,5.3,26.4,30.2,154.0,1.38
San Diego Chargers,186.0,5.8,33.9,28.6,171.0,2.24
Miami Dolphins,185.0,5.8,27.7,28.6,160.0,1.43
Tennessee Titans,184.0,5.1,26.0,31.5,136.0,1.8
Green Bay Packers,183.0,5.6,31.3,29.8,168.0,1.97
Buffalo Bills,182.0,5.4,26.8,29.2,151.0,1.42
Dallas Cowboys,182.0,5.9,31.8,28.8,166.0,1.9
Houston Texans,179.0,5.9,34.5,25.6,158.0,2.17
Pittsburgh Steelers,179.0,5.8,30.8,31.5,174.0,1.93
Indianapolis Colts,179.0,6.2,34.0,27.5,160.0,2.23
Atlanta Falcons,178.0,6.3,30.7,31.1,177.0,2.12
Jacksonville Jaguars,177.0,5.9,30.7,30.2,173.0,1.95
Cleveland Browns,177.0,5.4,26.1,29.8,154.0,1.42
New Orleans Saints,174.0,6.3,34.2,29.2,177.0,2.12
Tampa Bay Buccaneers,172.0,5.7,31.2,28.9,172.0,1.83
New England Patriots,166.0,6.1,35.0,32.1,170.0,2.76
Avg Team,187.875,5.5531250000000005,28.640625,29.881250000000005,155.15625,1.7478124999999995
