Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing
New Orleans Saints,70.0,5.6,2.2,7.8,7.9,11.1,102.5,27.0,184.0,7.4,3.9,179.51
Washington Redskins,67.1,4.1,2.0,8.2,8.1,12.2,97.4,23.0,190.0,7.5,3.7,168.33
Atlanta Falcons,69.6,7.1,1.3,9.2,10.1,13.3,116.8,37.0,235.0,9.0,6.4,286.22
New England Patriots,66.9,5.8,0.4,8.1,9.1,12.1,109.5,24.0,148.0,8.5,4.2,254.97
Pittsburgh Steelers,63.9,5.5,2.5,7.3,7.3,11.5,93.9,21.0,175.0,6.8,3.4,154.88
Indianapolis Colts,63.4,5.5,2.6,7.7,7.6,12.1,94.5,44.0,289.0,6.6,7.0,107.54
Green Bay Packers,65.0,6.5,1.3,7.2,7.9,11.0,102.3,35.0,246.0,7.1,5.3,225.04
San Diego Chargers,60.2,5.7,3.6,7.6,7.1,12.6,87.6,36.0,188.0,6.4,5.8,81.34
Arizona Cardinals,59.3,4.3,2.6,6.8,6.5,11.6,83.5,41.0,289.0,5.7,6.0,73.35
Seattle Seahawks,64.9,4.1,2.1,7.8,7.7,12.0,93.4,42.0,298.0,6.6,6.9,116.8
Detroit Lions,65.3,4.0,1.7,7.3,7.3,11.2,93.3,37.0,216.0,6.6,5.9,116.81
Baltimore Ravens,64.7,2.9,2.4,6.4,5.9,9.9,82.6,33.0,243.0,5.3,4.6,-3.95
Oakland Raiders,63.6,4.9,1.2,6.9,7.4,10.9,95.3,18.0,86.0,7.0,2.9,108.92
Chicago Bears,62.1,3.4,3.4,7.4,6.6,11.9,81.8,28.0,170.0,6.0,4.8,36.06
Cincinnati Bengals,64.7,3.2,1.4,7.5,7.5,11.6,91.8,41.0,264.0,6.5,6.8,99.42
Tampa Bay Buccaneers,61.4,5.0,3.1,7.2,6.8,11.7,87.0,35.0,239.0,6.0,5.7,107.8
New York Giants,63.0,4.3,2.7,6.7,6.4,10.7,86.0,22.0,148.0,5.9,3.5,18.97
Minnesota Vikings,70.4,3.4,0.9,7.0,7.3,9.9,97.7,38.0,283.0,6.4,6.1,92.52
Kansas City Chiefs,66.8,3.5,1.5,7.2,7.2,10.7,93.2,32.0,174.0,6.5,5.5,70.4
Jacksonville Jaguars,58.9,3.8,2.6,6.3,5.9,10.6,79.5,34.0,197.0,5.3,5.2,36.21
Denver Broncos,59.5,3.5,1.9,6.9,6.7,11.5,83.9,40.0,229.0,5.9,6.6,24.92
Carolina Panthers,54.4,3.7,3.4,7.0,6.3,12.9,75.1,36.0,277.0,5.4,6.0,21.25
Dallas Cowboys,67.3,5.2,1.2,7.9,8.3,11.7,103.0,28.0,168.0,7.6,5.5,148.72
Philadelphia Eagles,62.4,2.6,2.3,6.2,5.7,10.0,79.2,33.0,213.0,5.1,5.1,36.74
Tennessee Titans,60.9,5.8,2.2,7.4,7.5,12.1,93.7,28.0,179.0,6.8,5.3,81.97
Miami Dolphins,66.2,5.7,3.1,7.8,7.5,11.8,95.5,30.0,216.0,6.6,5.9,59.8
New York Jets,56.5,2.9,4.5,6.6,5.2,11.7,67.6,35.0,179.0,4.5,6.0,-25.88
Cleveland Browns,59.6,2.6,2.5,6.5,5.9,10.9,77.4,66.0,429.0,4.6,10.4,22.11
Houston Texans,59.5,2.6,2.7,5.9,5.1,9.9,73.3,32.0,242.0,4.5,5.2,-26.81
Buffalo Bills,60.3,3.6,1.5,6.9,6.9,11.4,86.7,46.0,214.0,5.9,8.8,50.53
Los Angeles Rams,58.2,2.6,3.7,6.2,5.0,10.6,69.5,49.0,362.0,4.0,8.4,-102.82
San Francisco 49ers,58.5,4.3,2.0,6.4,6.4,11.0,83.4,47.0,255.0,5.4,8.7,-17.0
Avg Team,63.0,4.3,2.3,7.2,7.0,11.4,87.6,34.9,225.8,6.2,5.8,81.39593749999999
