Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing
New Orleans Saints,71.3,6.9,2.1,8.3,8.8,11.7,110.5,24.0,158.0,8.2,3.5,294.47
New England Patriots,65.7,6.4,2.0,8.6,9.0,13.1,105.7,32.0,173.0,8.3,5.0,263.82
Green Bay Packers,68.1,9.2,1.4,9.3,10.5,13.7,122.6,41.0,237.0,9.4,6.9,273.77
Detroit Lions,63.5,6.2,2.4,7.6,7.8,12.0,97.2,36.0,257.0,7.0,5.1,137.29
New York Giants,61.0,4.9,2.7,8.4,8.1,13.7,92.9,28.0,199.0,7.4,4.5,174.08
San Diego Chargers,62.9,4.6,3.4,7.9,7.3,12.6,88.7,30.0,198.0,6.6,4.9,121.12
Dallas Cowboys,66.0,5.8,2.1,7.8,8.0,11.8,100.1,39.0,252.0,7.1,6.4,126.31
Atlanta Falcons,61.4,4.9,2.2,7.3,7.3,12.0,91.1,26.0,173.0,6.8,4.2,113.03
Philadelphia Eagles,59.6,4.0,4.5,7.7,6.5,13.0,78.3,32.0,166.0,5.8,5.5,43.86
Pittsburgh Steelers,63.3,3.9,2.8,8.0,7.6,12.7,89.7,42.0,279.0,6.5,7.2,95.51
Oakland Raiders,60.1,3.8,4.4,7.9,6.6,13.1,79.4,25.0,157.0,6.1,4.6,52.12
Tennessee Titans,60.4,3.8,2.4,7.0,6.7,11.7,84.4,24.0,190.0,6.1,3.9,51.28
Carolina Panthers,60.1,4.0,3.3,7.9,7.2,13.1,84.8,35.0,260.0,6.3,6.3,71.12
Washington Redskins,58.5,3.2,4.1,6.9,5.7,11.7,73.3,41.0,285.0,4.9,6.5,-14.58
Buffalo Bills,61.6,4.2,4.3,6.7,5.6,10.8,77.0,23.0,154.0,5.1,3.8,9.49
Tampa Bay Buccaneers,62.1,2.9,4.1,6.5,5.3,10.5,73.6,32.0,188.0,4.7,5.2,-58.95
Arizona Cardinals,55.8,3.8,4.2,7.2,6.1,12.9,73.9,54.0,387.0,4.9,8.9,-29.51
Houston Texans,61.7,4.3,1.9,7.9,7.9,12.8,92.7,33.0,190.0,7.0,6.6,69.3
Baltimore Ravens,57.7,3.9,2.2,6.7,6.5,11.6,81.7,33.0,206.0,5.7,5.7,69.52
Cincinnati Bengals,57.6,3.9,2.6,6.6,6.2,11.4,79.6,25.0,167.0,5.6,4.5,13.03
New York Jets,56.7,4.8,3.3,6.5,5.9,11.4,78.4,40.0,245.0,5.1,6.8,-33.0
Seattle Seahawks,58.7,2.9,2.8,6.8,6.1,11.5,77.6,50.0,339.0,5.0,8.9,-12.21
Miami Dolphins,59.7,4.3,2.8,7.3,6.9,12.2,84.9,52.0,334.0,5.6,10.0,4.5
Cleveland Browns,56.1,2.8,2.3,5.8,5.3,10.3,72.8,39.0,210.0,4.6,6.4,-35.92
Kansas City Chiefs,59.8,2.6,3.6,6.6,5.5,11.0,73.0,34.0,208.0,4.7,6.4,-24.13
Chicago Bears,56.7,3.8,4.2,7.1,5.9,12.5,73.8,49.0,335.0,4.7,9.4,-53.11
Indianapolis Colts,56.6,2.6,2.6,6.0,5.4,10.7,72.2,35.0,228.0,4.6,6.2,-46.34
Minnesota Vikings,56.1,3.9,3.3,6.4,5.7,11.4,74.6,49.0,298.0,4.6,8.8,-64.13
San Francisco 49ers,61.4,4.0,1.1,7.1,7.4,11.5,91.4,44.0,263.0,6.2,8.9,35.66
St. Louis Rams,53.2,1.6,1.8,5.9,5.4,11.2,69.0,55.0,388.0,4.3,9.1,-101.65
Denver Broncos,50.6,4.7,3.0,6.3,5.9,12.5,73.5,42.0,274.0,4.8,8.9,-68.25
Jacksonville Jaguars,51.2,2.6,3.2,5.4,4.4,10.5,62.2,44.0,331.0,3.4,8.6,-107.82
Avg Team,60.1,4.3,2.9,7.2,6.7,12.0,82.5,37.1,241.5,5.9,6.4,42.80249999999998
