Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing
Arizona Cardinals,62.5,3.1,3.1,7.0,6.3,11.3,81.0,45.0,286.0,5.5,6.3,20.17
New England Patriots,62.4,5.0,2.7,7.7,7.5,12.3,91.5,28.0,202.0,6.8,4.7,118.13
Indianapolis Colts,67.4,6.0,2.1,8.1,8.4,12.1,103.3,20.0,95.0,7.9,3.7,200.41
St. Louis Rams,65.4,3.8,4.0,7.3,6.2,11.1,83.0,46.0,315.0,5.3,7.1,72.85
Cincinnati Bengals,67.3,5.9,2.6,7.3,7.3,10.9,97.6,21.0,115.0,6.9,3.8,111.15
Kansas City Chiefs,62.5,3.4,2.0,7.9,7.7,12.7,90.1,32.0,204.0,6.9,5.9,81.85
Green Bay Packers,61.2,3.2,4.8,6.3,4.8,10.3,70.1,27.0,198.0,4.3,4.1,-6.38
Philadelphia Eagles,54.4,3.4,3.2,6.3,5.5,11.6,71.5,42.0,226.0,4.8,6.3,-60.11
Tennessee Titans,60.3,3.4,2.4,6.4,6.0,10.6,80.3,31.0,200.0,5.4,5.0,-52.09
Oakland Raiders,53.5,3.6,2.4,6.6,6.2,12.3,76.0,45.0,301.0,5.3,7.1,7.16
New York Giants,52.7,4.3,3.0,6.7,6.2,12.8,75.7,28.0,184.0,5.6,4.8,34.22
San Diego Chargers,64.3,5.1,3.0,7.1,6.8,11.1,89.7,31.0,243.0,6.0,5.6,61.92
Seattle Seahawks,64.8,5.3,2.1,7.7,7.8,11.8,96.8,27.0,174.0,7.0,5.4,123.84
New Orleans Saints,55.7,2.7,4.3,6.5,5.1,11.7,66.6,41.0,261.0,4.3,6.9,-34.77
Dallas Cowboys,60.0,4.6,3.4,7.3,6.7,12.1,83.6,50.0,298.0,5.5,9.1,39.71
Miami Dolphins,52.3,4.0,2.9,6.2,5.7,11.9,72.8,26.0,158.0,5.2,4.5,-6.74
Carolina Panthers,59.9,5.6,3.6,7.8,7.3,13.0,88.1,28.0,214.0,6.4,5.9,76.88
Denver Broncos,60.0,3.9,1.5,7.3,7.4,12.1,88.9,23.0,146.0,6.7,4.7,53.7
Jacksonville Jaguars,58.1,4.3,1.2,6.9,7.2,11.8,88.4,32.0,162.0,6.4,6.2,41.39
Minnesota Vikings,63.3,3.5,3.1,6.8,6.1,10.7,81.7,54.0,303.0,4.9,9.6,-7.19
Washington Redskins,57.8,5.2,2.3,7.0,7.0,12.0,87.0,31.0,240.0,6.1,6.1,31.38
Baltimore Ravens,59.6,3.0,3.7,6.0,4.9,10.1,71.3,42.0,293.0,4.1,7.0,-48.16
Cleveland Browns,59.8,3.0,3.4,6.7,5.8,11.2,75.5,46.0,276.0,4.8,8.5,-49.74
Pittsburgh Steelers,60.2,5.5,3.7,8.2,7.6,13.6,89.4,32.0,178.0,6.6,7.8,130.53
Tampa Bay Buccaneers,62.2,3.5,2.9,6.5,5.9,10.5,80.7,41.0,281.0,4.9,7.8,-44.87
Detroit Lions,57.1,2.9,3.5,5.8,4.8,10.2,69.1,31.0,173.0,4.2,5.6,-59.13
Atlanta Falcons,54.8,4.2,2.9,6.4,6.0,11.8,76.6,39.0,228.0,5.0,8.0,-16.09
New York Jets,57.0,2.3,3.2,6.4,5.4,11.2,70.6,53.0,347.0,4.2,10.1,-43.37
Buffalo Bills,58.6,3.9,3.5,6.2,5.4,10.6,75.4,43.0,337.0,4.3,8.6,-38.29
Houston Texans,60.1,3.3,2.9,5.9,5.3,9.9,76.0,68.0,424.0,3.8,13.2,-82.36
Chicago Bears,52.4,2.6,3.6,5.3,4.2,10.1,61.5,31.0,199.0,3.4,6.9,-76.7
San Francisco 49ers,52.4,2.1,5.4,5.6,3.6,10.7,53.6,48.0,292.0,2.5,11.0,-128.51
Avg Team,59.5,3.9,3.1,6.8,6.2,11.4,78.2,36.9,236.0,5.3,6.7,14.087187499999999
