Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing
New England Patriots,68.8,8.5,1.5,8.3,9.3,12.1,116.0,21.0,128.0,8.8,3.5,290.16
Green Bay Packers,66.3,5.2,2.6,7.7,7.6,11.6,95.9,19.0,127.0,7.1,3.2,151.93
New Orleans Saints,67.5,4.3,2.8,6.8,6.4,10.1,89.4,16.0,109.0,6.1,2.4,83.29
Dallas Cowboys,64.4,6.8,3.6,8.1,7.8,12.5,97.1,25.0,185.0,7.1,4.5,144.81
Arizona Cardinals,60.3,5.4,4.1,7.2,6.4,11.9,83.4,24.0,163.0,5.9,3.9,42.86
Indianapolis Colts,64.4,5.8,2.5,7.6,7.6,11.8,96.1,23.0,139.0,7.0,4.0,167.7
Cincinnati Bengals,64.9,4.5,3.5,7.2,6.5,11.1,86.7,17.0,119.0,6.1,2.9,80.79
Seattle Seahawks,62.9,5.1,2.2,7.1,7.1,11.3,91.8,36.0,217.0,6.4,5.8,75.61
Detroit Lions,62.7,3.2,3.7,7.2,6.1,11.5,79.4,54.0,338.0,5.1,8.4,0.43
Philadelphia Eagles,60.7,4.2,2.6,6.9,6.6,11.4,84.6,49.0,250.0,5.7,7.8,36.73
Houston Texans,65.4,4.5,4.0,7.4,6.5,11.3,86.1,22.0,174.0,6.0,4.0,15.54
Cleveland Browns,56.0,5.3,3.7,7.1,6.5,12.7,80.7,19.0,140.0,6.0,3.4,21.73
Denver Broncos,63.3,4.1,2.9,7.3,6.8,11.5,86.7,32.0,175.0,6.1,5.9,36.56
Washington Redskins,60.8,3.4,2.1,6.9,6.6,11.4,84.2,29.0,159.0,6.0,5.2,48.38
Chicago Bears,57.5,3.2,3.7,6.5,5.5,11.3,72.2,43.0,339.0,4.5,7.0,-54.66
Tampa Bay Buccaneers,64.5,3.7,1.6,7.3,7.3,11.3,91.7,36.0,222.0,6.4,6.8,18.21
Jacksonville Jaguars,61.4,6.0,1.7,7.5,7.9,12.1,97.1,31.0,167.0,7.1,6.2,107.68
Atlanta Falcons,60.5,3.2,2.7,6.4,5.9,10.6,78.9,47.0,280.0,4.9,7.8,-55.7
St. Louis Rams,58.0,3.3,4.9,6.2,4.7,10.7,67.0,48.0,328.0,3.8,7.7,-69.2
Kansas City Chiefs,59.5,3.0,3.6,6.3,5.3,10.5,73.0,55.0,344.0,4.2,8.9,-60.38
New York Giants,55.5,4.2,3.7,6.2,5.4,11.2,73.0,28.0,222.0,4.7,4.9,-6.56
Pittsburgh Steelers,63.8,7.7,3.2,7.7,7.8,12.1,99.9,47.0,347.0,6.4,9.6,99.53
Baltimore Ravens,61.2,2.3,2.5,5.9,5.3,9.7,75.2,39.0,273.0,4.5,6.5,-53.83
Miami Dolphins,57.0,2.2,2.9,5.9,5.1,10.4,69.6,42.0,288.0,4.3,7.0,-56.09
New York Jets,60.5,2.9,3.7,6.5,5.4,10.7,73.9,53.0,316.0,4.4,9.4,-42.96
San Diego Chargers,59.7,4.7,3.4,6.7,6.1,11.3,81.3,24.0,170.0,5.5,4.8,51.64
Tennessee Titans,62.1,1.9,3.7,6.6,5.4,10.7,72.6,30.0,199.0,4.6,6.1,-0.78
Minnesota Vikings,57.6,2.8,3.2,6.8,5.9,11.8,74.2,38.0,193.0,5.0,8.1,-18.07
Carolina Panthers,56.4,3.8,3.4,5.8,5.1,10.3,71.9,33.0,206.0,4.4,6.1,-36.54
Buffalo Bills,59.1,2.7,3.1,6.4,5.5,10.8,73.8,26.0,208.0,4.8,5.5,-50.72
Oakland Raiders,57.6,3.8,4.4,6.4,5.2,11.1,70.9,41.0,262.0,4.2,8.3,-29.12
San Francisco 49ers,53.4,2.9,3.3,5.2,4.3,9.8,64.3,55.0,365.0,3.3,9.7,-169.61
Avg Team,61.2,4.2,3.1,6.9,6.3,11.2,80.9,34.4,223.5,5.5,6.1,24.042500000000004
