Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
Miami Dolphins,58.9,4.6,3.1,7.9,7.4,13.3,86.4,30.0,211.0,6.7,4.9
San Francisco 49ers,67.6,5.5,3.2,8.5,8.2,12.7,98.9,35.0,178.0,7.4,6.3
Houston Oilers,58.1,3.7,4.1,6.8,5.7,11.6,74.2,43.0,279.0,4.9,6.5
Denver Broncos,63.3,4.9,1.8,7.3,7.5,11.6,94.2,39.0,293.0,6.5,6.6
Los Angeles Raiders,56.8,3.4,2.8,7.8,7.3,13.8,81.7,50.0,293.0,6.1,9.2
Atlanta Falcons,58.3,4.9,4.4,6.6,5.6,11.3,76.3,40.0,267.0,4.8,6.5
Dallas Cowboys,66.7,3.8,1.3,7.6,7.8,11.4,96.8,29.0,163.0,7.0,5.8
Indianapolis Colts,55.9,1.7,2.5,6.1,5.3,10.9,69.2,29.0,206.0,4.7,4.7
Phoenix Cardinals,59.4,4.0,3.8,7.0,6.0,11.7,78.0,33.0,231.0,5.3,5.9
New York Jets,60.1,3.3,2.5,7.1,6.7,11.9,82.6,21.0,160.0,6.1,4.1
Buffalo Bills,61.2,4.0,3.6,7.1,6.3,11.6,81.0,31.0,218.0,5.5,5.9
New England Patriots,51.1,3.0,4.2,6.0,4.7,11.8,62.1,23.0,127.0,4.3,3.9
Pittsburgh Steelers,55.4,3.0,2.2,6.7,6.3,12.1,76.7,48.0,374.0,5.1,8.2
Minnesota Vikings,59.9,3.4,2.7,6.4,5.9,10.7,79.1,35.0,181.0,5.2,6.2
Kansas City Chiefs,58.6,4.1,2.0,6.9,6.8,11.8,84.8,35.0,204.0,6.0,6.7
Philadelphia Eagles,59.0,4.1,2.3,6.2,6.0,10.6,81.2,42.0,302.0,5.1,7.0
San Diego Chargers,53.5,3.2,2.5,6.0,5.5,11.2,72.0,32.0,240.0,4.8,5.4
Green Bay Packers,61.0,3.6,4.5,6.3,5.0,10.3,72.2,30.0,199.0,4.4,5.4
Cleveland Browns,54.8,4.8,4.0,7.0,6.1,12.7,76.2,45.0,289.0,5.1,8.6
Tampa Bay Buccaneers,51.6,3.7,4.9,6.5,5.0,12.6,64.1,39.0,274.0,4.2,7.1
New Orleans Saints,57.0,3.7,4.4,6.6,5.4,11.6,71.4,40.0,242.0,4.5,7.7
New York Giants,60.6,4.0,2.1,7.5,7.3,12.4,88.4,40.0,245.0,6.2,8.6
Los Angeles Rams,52.2,3.4,4.0,6.4,5.3,12.2,66.8,31.0,231.0,4.5,6.2
Detroit Lions,60.7,3.4,4.4,6.8,5.5,11.1,74.1,46.0,229.0,4.5,9.6
Seattle Seahawks,56.2,2.6,3.6,5.8,4.7,10.3,66.8,48.0,242.0,3.9,8.8
Washington Redskins,53.8,2.1,3.9,5.2,3.8,9.6,59.0,40.0,219.0,3.2,7.0
Cincinnati Bengals,53.3,2.2,2.2,5.5,5.0,10.4,67.9,53.0,289.0,4.0,9.4
Chicago Bears,59.3,1.8,4.1,5.9,4.4,9.9,64.7,48.0,230.0,3.3,11.0
Avg Team,57.9,3.6,3.3,6.7,5.9,11.6,74.7,37.7,236.3,5.1,6.8
