Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing
Houston Texans,67.3,4.9,2.9,8.1,7.8,12.0,96.3,25.0,149.0,7.2,4.0,140.88
Indianapolis Colts,66.9,5.7,3.2,7.7,7.4,11.5,95.4,13.0,90.0,7.1,2.1,219.9
New England Patriots,65.9,4.7,2.2,7.7,7.6,11.6,95.6,18.0,104.0,7.2,3.0,127.39
New Orleans Saints,69.5,6.3,2.2,8.3,8.5,11.9,106.0,20.0,135.0,8.0,3.5,188.33
San Diego Chargers,65.1,5.6,1.9,8.7,8.9,13.3,103.1,26.0,168.0,8.2,4.8,221.49
Dallas Cowboys,63.1,4.7,1.6,8.2,8.4,12.9,97.6,34.0,196.0,7.5,5.8,118.92
Green Bay Packers,64.6,5.4,1.4,8.1,8.6,12.6,101.8,51.0,312.0,7.3,8.4,155.69
Minnesota Vikings,68.2,6.1,1.3,8.0,8.6,11.7,107.3,34.0,247.0,7.7,5.8,214.74
Pittsburgh Steelers,65.5,5.2,2.6,8.4,8.3,12.8,98.1,50.0,348.0,7.0,8.5,99.35
Philadelphia Eagles,60.6,4.9,2.4,7.9,7.8,13.1,92.0,38.0,291.0,6.8,6.4,56.49
New York Giants,62.4,5.2,2.6,7.8,7.7,12.6,93.2,32.0,227.0,6.9,5.6,110.92
Arizona Cardinals,66.0,4.5,3.0,7.1,6.6,10.7,89.1,26.0,184.0,6.0,4.2,66.48
Denver Broncos,61.1,3.8,2.3,6.9,6.6,11.2,84.4,34.0,198.0,5.8,5.7,24.63
Atlanta Falcons,58.2,4.6,3.0,6.5,6.1,11.1,80.4,27.0,126.0,5.6,4.5,79.8
Seattle Seahawks,61.1,3.3,3.1,6.2,5.4,10.1,76.7,41.0,268.0,4.7,6.3,-31.13
Washington Redskins,63.8,3.9,3.0,7.1,6.6,11.2,85.5,46.0,307.0,5.5,7.9,6.25
Chicago Bears,60.4,4.8,4.8,6.5,5.3,10.8,75.6,35.0,204.0,4.7,5.9,-23.87
Baltimore Ravens,62.9,4.1,2.5,7.1,6.8,11.3,87.4,36.0,218.0,6.0,6.6,52.3
Jacksonville Jaguars,60.7,2.9,1.9,6.9,6.6,11.4,83.2,44.0,243.0,5.7,7.8,-4.19
Miami Dolphins,60.7,2.8,3.5,6.2,5.2,10.3,73.3,34.0,226.0,4.5,5.9,1.17
Detroit Lions,54.0,2.7,5.5,5.9,4.0,11.0,58.1,43.0,303.0,3.3,6.8,-105.84
San Francisco 49ers,59.1,4.4,2.7,6.2,5.9,10.6,80.8,40.0,241.0,5.1,7.0,-23.9
Tennessee Titans,56.9,3.4,3.2,6.5,5.8,11.5,74.8,15.0,73.0,5.5,3.1,20.14
Tampa Bay Buccaneers,53.2,3.4,5.5,6.0,4.2,11.2,59.8,33.0,161.0,3.6,5.9,-88.21
Kansas City Chiefs,55.2,3.4,3.2,5.9,5.2,10.8,70.8,45.0,261.0,4.3,7.7,-65.42
Cincinnati Bengals,60.0,4.4,2.7,6.6,6.2,11.0,82.7,29.0,244.0,5.4,5.7,11.94
Carolina Panthers,56.8,3.4,4.3,6.6,5.4,11.6,70.5,33.0,271.0,4.5,6.6,-34.35
St. Louis Rams,57.5,2.2,3.9,5.5,4.2,9.5,64.0,44.0,284.0,3.4,7.5,-129.88
Oakland Raiders,52.6,2.1,3.7,5.9,4.7,11.3,62.0,49.0,318.0,3.6,9.2,-140.21
Buffalo Bills,58.0,3.9,4.3,6.3,5.2,10.9,71.7,46.0,274.0,4.1,9.4,-70.98
New York Jets,53.4,3.1,5.3,6.6,4.8,12.4,62.0,30.0,216.0,4.0,7.1,-38.37
Cleveland Browns,49.4,2.5,4.1,5.1,3.8,10.3,55.8,30.0,179.0,3.1,6.3,-116.53
Avg Team,60.9,4.2,3.1,7.0,6.4,11.5,81.2,34.4,220.8,5.6,6.1,32.6228125
