Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
Washington Redskins,58.0,4.1,2.9,7.7,7.2,13.3,84.1,21.0,127.0,6.8,3.5
San Francisco 49ers,70.2,7.2,2.3,9.5,9.9,13.5,114.8,45.0,282.0,8.5,8.5
Miami Dolphins,55.1,4.3,4.2,7.2,6.2,13.0,74.9,10.0,86.0,5.9,1.6
Los Angeles Rams,58.9,5.5,3.4,8.4,7.9,14.2,90.1,32.0,236.0,7.0,5.8
Green Bay Packers,59.0,4.5,3.3,7.2,6.6,12.2,82.4,48.0,277.0,5.7,7.4
New England Patriots,49.5,2.8,4.4,6.5,5.1,13.2,61.3,34.0,265.0,4.4,5.3
Cincinnati Bengals,56.1,6.2,2.5,7.7,7.8,13.7,91.2,41.0,332.0,6.6,7.4
Buffalo Bills,58.8,6.7,4.2,8.0,7.5,13.6,89.3,35.0,242.0,6.5,6.8
Atlanta Falcons,54.0,2.9,2.1,6.8,6.4,12.5,76.4,51.0,389.0,5.3,8.1
Houston Oilers,59.5,4.6,3.2,7.6,7.1,12.8,85.5,37.0,287.0,6.1,6.9
Cleveland Browns,58.4,3.8,2.8,6.9,6.3,11.7,80.1,34.0,192.0,5.6,6.0
New York Jets,59.3,2.5,4.2,6.8,5.4,11.5,70.6,62.0,477.0,4.1,9.8
New Orleans Saints,61.6,5.0,4.1,7.9,7.1,12.9,85.9,36.0,271.0,6.0,7.2
Tampa Bay Buccaneers,53.0,4.0,4.9,6.4,5.0,12.1,66.0,43.0,331.0,4.1,7.0
Phoenix Cardinals,53.3,3.3,5.7,7.0,5.1,13.1,62.6,56.0,379.0,3.9,9.7
Seattle Seahawks,56.5,3.8,4.1,6.4,5.3,11.3,71.3,46.0,379.0,4.3,7.6
Minnesota Vikings,54.5,3.4,3.8,6.9,5.9,12.8,72.0,40.0,279.0,5.0,7.4
Philadelphia Eagles,54.6,4.3,3.0,6.4,5.9,11.8,76.2,45.0,343.0,4.9,7.7
Chicago Bears,55.2,4.3,5.2,6.7,5.3,12.2,69.1,28.0,174.0,4.7,5.5
New York Giants,55.9,3.8,3.6,7.6,6.7,13.5,77.9,46.0,281.0,5.5,9.4
Kansas City Chiefs,59.5,3.2,5.3,7.4,5.7,12.4,71.2,23.0,182.0,5.0,5.0
San Diego Chargers,52.4,2.9,3.7,6.4,5.3,12.2,66.7,39.0,254.0,4.5,7.0
Denver Broncos,54.0,4.4,4.2,7.1,6.1,13.1,73.7,43.0,351.0,4.9,8.3
Indianapolis Colts,51.3,3.7,3.4,6.4,5.5,12.4,69.1,28.0,174.0,4.9,5.4
Los Angeles Raiders,48.6,5.1,5.3,7.9,6.5,16.3,70.3,44.0,326.0,5.2,9.6
Detroit Lions,50.9,2.4,5.3,7.3,5.4,14.3,60.8,57.0,343.0,4.1,11.2
Dallas Cowboys,51.9,2.7,5.3,6.1,4.3,11.7,57.8,30.0,239.0,3.6,5.5
Pittsburgh Steelers,52.0,2.5,3.2,6.6,5.6,12.7,67.7,51.0,484.0,3.9,11.2
Avg Team,55.8,4.1,3.9,7.1,6.2,12.8,73.3,39.5,285.1,5.2,7.2
