Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing
Denver Broncos,68.3,8.1,1.5,8.3,9.2,12.1,114.4,20.0,128.0,8.8,2.9,291.3
New Orleans Saints,68.5,6.0,1.8,7.9,8.3,11.6,104.5,37.0,244.0,7.5,5.4,177.27
Detroit Lions,58.5,4.6,3.0,7.3,6.9,12.5,84.2,23.0,168.0,6.4,3.5,76.44
San Diego Chargers,69.5,5.9,2.0,8.2,8.5,11.8,105.5,30.0,150.0,7.8,5.2,203.42
Chicago Bears,64.4,5.5,2.2,7.7,7.8,11.9,96.9,30.0,169.0,7.1,4.9,101.74
Green Bay Packers,64.2,4.4,2.8,8.0,7.6,12.4,91.7,45.0,270.0,6.6,7.3,95.35
Atlanta Falcons,67.5,3.9,2.6,6.9,6.5,10.2,89.5,44.0,298.0,5.7,6.3,81.36
Cincinnati Bengals,62.0,5.6,3.4,7.4,6.9,11.9,89.0,29.0,182.0,6.3,4.7,64.92
Philadelphia Eagles,61.0,6.3,1.8,8.7,9.1,14.2,102.7,46.0,296.0,7.8,8.3,117.53
New England Patriots,60.5,4.0,1.8,6.9,6.9,11.4,87.3,40.0,256.0,6.1,6.0,124.17
Cleveland Browns,55.7,3.8,2.9,6.4,5.9,11.5,75.7,49.0,332.0,5.0,6.7,-52.64
Pittsburgh Steelers,64.3,4.8,2.4,7.3,7.2,11.4,92.3,43.0,289.0,6.3,6.8,68.54
Arizona Cardinals,63.2,4.2,3.8,7.5,6.6,11.8,83.9,41.0,289.0,5.7,6.7,48.42
Dallas Cowboys,64.0,5.6,2.0,7.2,7.4,11.3,95.7,35.0,272.0,6.6,5.6,77.73
Houston Texans,58.6,3.0,3.5,6.6,5.6,11.3,74.0,42.0,370.0,4.7,6.2,-65.73
Washington Redskins,58.1,3.3,3.1,6.6,5.9,11.4,76.1,43.0,306.0,5.0,6.6,-27.01
Indianapolis Colts,60.1,4.0,1.7,6.8,6.8,11.3,86.5,32.0,227.0,6.1,5.2,80.97
Baltimore Ravens,58.6,3.1,3.7,6.3,5.3,10.8,72.0,48.0,324.0,4.4,7.2,-4.61
New York Giants,57.3,3.2,5.1,6.8,5.2,11.9,67.6,40.0,287.0,4.4,6.6,-38.6
Miami Dolphins,60.1,4.0,3.2,6.7,6.0,11.1,80.1,58.0,399.0,4.9,8.9,1.12
Tennessee Titans,61.5,4.1,3.0,7.0,6.4,11.3,83.6,37.0,214.0,5.6,6.5,55.4
Jacksonville Jaguars,59.0,2.7,3.5,6.3,5.3,10.7,71.8,50.0,310.0,4.4,7.8,-77.39
Minnesota Vikings,59.5,3.3,3.5,6.7,5.8,11.2,76.0,44.0,218.0,5.0,7.5,-4.7
Kansas City Chiefs,61.0,4.4,1.5,6.5,6.7,10.7,88.6,41.0,221.0,5.9,7.0,53.99
Oakland Raiders,57.4,3.3,3.9,7.0,5.9,12.2,73.9,44.0,289.0,4.9,7.8,-33.55
Seattle Seahawks,63.6,6.4,2.1,8.4,8.7,13.1,102.4,44.0,272.0,7.3,9.5,111.62
St. Louis Rams,59.5,4.3,2.2,6.6,6.5,11.2,84.8,36.0,235.0,5.7,6.6,7.71
Buffalo Bills,57.3,3.1,2.9,6.5,5.8,11.3,75.0,48.0,270.0,4.8,8.4,-54.97
Carolina Panthers,61.7,5.1,2.7,7.1,6.9,11.6,88.8,43.0,336.0,5.7,8.3,54.85
San Francisco 49ers,58.5,5.0,1.9,7.7,7.8,13.2,91.7,39.0,231.0,6.7,8.6,85.58
New York Jets,55.4,2.7,4.6,6.8,5.3,12.3,66.6,47.0,338.0,4.2,8.9,-68.88
Tampa Bay Buccaneers,56.6,4.3,2.3,6.2,6.0,10.9,79.6,47.0,361.0,4.8,8.4,-18.49
Avg Team,61.2,4.4,2.8,7.1,6.8,11.6,84.1,40.5,267.2,5.9,6.7,47.901875
