Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
San Francisco 49ers,67.1,4.5,2.5,7.4,7.2,11.1,93.6,33.0,171.0,6.6,4.9
Detroit Lions,59.8,5.5,2.0,7.5,7.7,12.5,92.9,32.0,150.0,7.0,5.0
Green Bay Packers,62.7,6.6,2.5,7.7,7.8,12.2,97.6,33.0,217.0,7.1,5.3
Miami Dolphins,64.9,4.7,3.4,7.4,6.9,11.5,88.8,29.0,188.0,6.2,4.7
Minnesota Vikings,62.6,5.1,2.5,7.0,6.9,11.2,90.2,40.0,295.0,6.1,5.9
Atlanta Falcons,60.4,4.3,2.0,7.4,7.4,12.2,89.3,43.0,270.0,6.4,6.7
Denver Broncos,58.9,4.5,2.4,7.2,7.0,12.2,86.4,26.0,215.0,6.4,4.2
Pittsburgh Steelers,58.8,3.5,3.5,6.9,6.0,11.8,76.9,24.0,176.0,5.5,3.9
St. Louis Rams,57.9,4.3,3.6,6.5,5.7,11.2,76.5,43.0,308.0,4.9,6.4
New Orleans Saints,60.9,4.5,2.4,7.0,6.8,11.5,86.9,28.0,214.0,6.1,4.7
Cincinnati Bengals,57.0,4.9,3.1,6.7,6.3,11.7,81.1,25.0,162.0,5.8,4.1
Chicago Bears,60.2,5.5,1.9,7.3,7.6,12.2,93.4,15.0,95.0,7.2,2.8
Dallas Cowboys,65.2,3.6,2.0,7.6,7.4,11.6,91.7,18.0,118.0,6.9,3.5
Cleveland Browns,58.4,3.8,3.6,6.8,5.9,11.6,76.6,32.0,178.0,5.3,5.5
New England Patriots,51.2,2.0,2.3,5.5,4.9,10.8,64.8,27.0,198.0,4.4,3.8
Oakland Raiders,58.4,4.6,3.9,7.0,6.2,11.9,79.0,36.0,214.0,5.4,6.2
Arizona Cardinals,58.4,3.0,4.3,7.0,5.6,11.9,72.0,55.0,390.0,4.5,8.9
San Diego Chargers,58.9,3.1,3.3,6.9,6.0,11.7,76.4,32.0,240.0,5.2,5.6
Houston Oilers,58.6,4.1,3.4,6.6,5.9,11.2,77.9,32.0,271.0,5.1,5.6
Washington Redskins,50.9,3.1,3.8,6.7,5.6,13.2,66.7,36.0,268.0,4.8,6.5
Buffalo Bills,55.1,4.7,2.8,6.6,6.3,12.0,79.9,32.0,224.0,5.5,5.9
Seattle Seahawks,53.4,3.7,4.5,6.6,5.3,12.3,67.6,45.0,267.0,4.4,8.1
Indianapolis Colts,62.2,4.6,2.5,7.8,7.6,12.5,91.1,49.0,309.0,6.1,10.1
Carolina Panthers,49.0,3.0,4.7,6.2,4.7,12.6,59.1,38.0,258.0,3.9,6.6
Kansas City Chiefs,56.5,4.0,1.9,6.0,5.9,10.6,79.4,21.0,158.0,5.4,3.8
Tampa Bay Buccaneers,52.7,1.0,3.9,6.6,5.0,12.5,60.3,56.0,386.0,3.8,9.9
Jacksonville Jaguars,55.6,3.8,3.0,6.4,5.8,11.4,75.0,57.0,354.0,4.5,10.3
New York Jets,56.0,3.4,4.1,5.3,4.2,9.5,65.2,47.0,341.0,3.3,7.4
Philadelphia Eagles,57.3,2.2,3.8,5.9,4.6,10.3,65.9,46.0,245.0,3.8,8.5
New York Giants,54.3,2.3,2.7,6.0,5.2,11.0,68.6,46.0,213.0,4.4,8.8
Avg Team,58.2,4.0,3.1,6.8,6.2,11.6,77.5,35.9,236.4,5.4,6.1
