Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing
Indianapolis Colts,66.3,4.9,2.5,6.9,6.8,10.4,91.9,16.0,91.0,6.5,2.3,164.23
San Diego Chargers,66.0,5.5,2.4,8.7,8.8,13.2,101.9,38.0,227.0,7.8,6.5,163.92
New Orleans Saints,68.1,5.0,3.3,7.0,6.5,10.3,90.8,26.0,195.0,6.0,3.8,137.35
Houston Texans,63.6,4.2,2.1,7.6,7.5,12.0,92.0,32.0,226.0,6.7,5.3,107.12
Green Bay Packers,65.1,5.7,2.4,8.0,8.1,12.4,98.9,38.0,231.0,7.2,6.6,177.59
Dallas Cowboys,65.8,5.0,3.3,7.3,6.8,11.1,90.4,31.0,166.0,6.2,5.1,50.85
Denver Broncos,57.6,4.3,2.1,7.4,7.4,12.9,86.8,40.0,269.0,6.4,6.5,58.91
Washington Redskins,57.7,3.5,3.1,7.1,6.4,12.3,78.1,46.0,348.0,5.4,7.1,-14.25
Philadelphia Eagles,62.0,5.0,2.3,7.5,7.5,12.1,92.1,49.0,309.0,6.4,8.0,45.25
New York Giants,62.9,5.8,4.6,7.4,6.5,11.8,85.3,16.0,117.0,6.1,2.9,66.22
New England Patriots,65.3,7.3,1.0,7.9,8.9,12.2,109.8,25.0,175.0,8.2,4.7,147.73
Detroit Lions,60.5,4.1,2.5,6.3,6.0,10.4,82.0,27.0,191.0,5.5,4.1,24.52
Cincinnati Bengals,61.9,4.4,3.4,6.8,6.1,10.9,82.4,28.0,221.0,5.5,4.5,49.8
Pittsburgh Steelers,62.2,4.6,1.9,8.1,8.2,13.1,95.2,43.0,289.0,7.0,8.2,96.31
Atlanta Falcons,62.6,4.9,1.6,6.5,6.7,10.3,90.8,23.0,158.0,6.2,3.8,118.37
Miami Dolphins,60.1,3.1,3.8,6.7,5.7,11.2,74.8,38.0,228.0,4.9,6.4,7.64
Tampa Bay Buccaneers,61.9,5.3,1.2,7.2,7.7,11.6,96.2,30.0,203.0,6.9,5.7,72.77
San Francisco 49ers,56.4,3.8,3.0,7.2,6.6,12.8,79.4,44.0,257.0,5.6,8.1,-5.7
Seattle Seahawks,59.6,2.6,3.7,6.5,5.4,10.9,72.1,35.0,195.0,4.7,6.0,-23.61
Baltimore Ravens,62.7,5.1,2.0,7.4,7.5,11.8,93.6,40.0,294.0,6.4,7.5,89.23
St. Louis Rams,60.0,3.1,2.5,6.0,5.4,9.9,76.5,34.0,244.0,4.7,5.4,-22.88
New York Jets,54.9,3.8,2.7,6.5,6.1,11.9,76.5,28.0,178.0,5.4,5.1,39.6
Oakland Raiders,56.8,3.7,3.3,7.1,6.3,12.4,77.5,44.0,291.0,5.3,8.2,16.19
Buffalo Bills,57.0,4.6,4.0,6.5,5.6,11.4,75.2,34.0,213.0,4.9,6.1,-43.29
Tennessee Titans,57.6,5.1,3.2,6.9,6.5,12.0,82.6,27.0,171.0,5.8,5.4,65.02
Minnesota Vikings,60.4,2.8,5.1,6.6,4.8,10.9,67.7,36.0,230.0,4.1,6.7,-50.2
Jacksonville Jaguars,62.0,5.5,4.5,7.2,6.2,11.5,83.4,38.0,291.0,5.2,7.5,20.91
Chicago Bears,59.2,4.9,4.5,7.3,6.2,12.3,79.5,56.0,382.0,4.8,10.7,-35.91
Cleveland Browns,61.9,2.7,3.8,6.7,5.6,10.8,75.0,36.0,214.0,4.7,7.0,-22.4
Kansas City Chiefs,57.7,5.7,1.7,6.7,7.1,11.6,90.1,32.0,221.0,6.2,6.3,44.29
Arizona Cardinals,50.8,1.8,3.4,5.8,4.7,11.5,60.5,50.0,343.0,3.7,8.2,-140.71
Carolina Panthers,52.9,1.9,4.3,5.4,3.9,10.3,57.0,50.0,346.0,2.9,9.4,-143.05
Avg Team,60.8,4.3,3.0,7.0,6.5,11.5,82.2,35.3,234.8,5.7,6.1,39.431875
