Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
Miami Dolphins,64.2,8.6,3.1,9.0,9.3,14.0,108.5,14.0,128.0,8.9,2.4
San Diego Chargers,60.6,3.8,3.2,7.4,6.8,12.3,82.9,36.0,285.0,6.0,5.2
St. Louis Cardinals,61.3,4.9,2.8,8.2,7.9,13.4,92.0,49.0,377.0,6.7,8.0
San Francisco 49ers,62.9,6.5,2.0,8.2,8.6,13.1,101.9,27.0,178.0,7.8,5.2
New York Giants,53.8,4.1,3.4,7.6,6.9,14.1,78.3,55.0,434.0,5.5,9.3
Dallas Cowboys,53.3,3.1,4.3,6.6,5.3,12.4,66.6,48.0,389.0,4.3,7.4
Kansas City Chiefs,51.4,3.5,3.7,6.5,5.6,12.7,68.5,33.0,301.0,4.8,5.3
Tampa Bay Buccaneers,59.3,3.9,4.1,6.9,5.9,11.7,76.4,45.0,362.0,4.9,7.4
Green Bay Packers,55.5,5.9,5.9,7.4,5.9,13.3,74.2,42.0,310.0,4.9,7.7
Seattle Seahawks,56.9,6.4,5.2,7.5,6.5,13.3,80.6,42.0,328.0,5.4,7.8
Philadelphia Eagles,54.6,3.1,2.8,6.3,5.7,11.5,72.6,60.0,463.0,4.5,9.0
Los Angeles Raiders,54.2,4.3,5.7,7.6,5.9,14.0,69.3,54.0,360.0,4.6,9.9
Detroit Lions,56.1,3.6,4.1,7.1,6.0,12.7,73.2,61.0,486.0,4.5,10.3
Cincinnati Bengals,61.7,3.4,4.4,7.4,6.1,12.0,77.2,45.0,358.0,4.9,8.3
Pittsburgh Steelers,54.2,5.6,5.6,7.9,6.5,14.7,75.6,35.0,278.0,5.5,7.3
New England Patriots,58.4,5.2,2.8,7.4,7.2,12.6,87.1,66.0,454.0,5.5,11.7
Houston Oilers,57.9,2.9,3.1,7.4,6.6,12.8,78.0,49.0,382.0,5.3,9.1
Cleveland Browns,55.2,2.8,4.6,7.1,5.5,12.8,67.5,55.0,358.0,4.3,10.0
Washington Redskins,59.0,4.9,2.7,7.0,6.8,11.9,85.9,48.0,341.0,5.6,9.0
Atlanta Falcons,61.5,2.9,4.2,7.4,6.1,12.1,76.6,67.0,496.0,4.5,12.3
New York Jets,55.7,4.1,4.3,6.8,5.7,12.3,72.8,52.0,382.0,4.5,9.6
Minnesota Vikings,52.7,3.4,4.7,6.3,4.8,11.9,63.8,64.0,465.0,3.5,10.7
Denver Broncos,55.4,4.6,3.6,6.6,5.9,11.8,76.1,35.0,257.0,5.0,6.9
New Orleans Saints,51.7,4.4,5.9,6.7,5.0,13.0,63.3,45.0,361.0,3.8,8.6
Buffalo Bills,50.7,3.1,5.1,5.5,3.8,10.9,56.3,60.0,554.0,2.6,9.3
Chicago Bears,57.9,3.6,3.8,6.9,5.9,11.9,75.1,36.0,232.0,4.9,8.5
Los Angeles Rams,49.2,4.5,4.7,6.7,5.4,13.5,65.9,32.0,240.0,4.4,8.2
Indianapolis Colts,50.1,3.2,5.4,6.2,4.4,12.3,57.9,58.0,436.0,2.9,12.4
Avg Team,56.4,4.3,4.1,7.1,6.2,12.7,73.2,46.9,357.0,5.0,8.4
