Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
Minnesota Vikings,61.4,7.7,3.0,8.4,8.6,13.7,101.5,25.0,164.0,7.9,4.5
San Francisco 49ers,62.4,7.4,2.7,8.1,8.4,13.0,101.2,53.0,254.0,7.2,8.7
Green Bay Packers,62.8,5.7,4.0,7.5,6.9,12.0,88.3,39.0,230.0,6.1,6.4
New York Jets,59.8,6.2,2.4,7.6,7.7,12.7,94.0,25.0,196.0,7.0,4.5
New England Patriots,53.1,4.1,3.1,7.2,6.7,13.6,77.4,40.0,344.0,5.6,6.7
Indianapolis Colts,56.6,4.5,4.9,6.5,5.2,11.5,71.1,22.0,109.0,4.8,3.7
Denver Broncos,59.1,6.5,2.9,7.8,7.8,13.1,93.5,25.0,184.0,7.0,4.8
Arizona Cardinals,59.1,3.1,3.6,6.8,5.8,11.6,74.9,50.0,286.0,4.9,8.3
Dallas Cowboys,58.9,3.6,1.7,7.5,7.4,12.7,87.2,19.0,110.0,6.9,3.9
Miami Dolphins,57.9,4.2,2.9,6.6,6.1,11.3,79.5,24.0,187.0,5.5,4.2
Atlanta Falcons,55.9,6.6,3.5,8.8,8.6,15.8,92.7,53.0,358.0,6.9,11.1
Buffalo Bills,58.4,6.1,3.0,7.9,7.7,13.5,91.0,41.0,241.0,6.6,8.2
Washington Redskins,53.8,4.2,2.5,6.6,6.3,12.3,78.2,61.0,399.0,5.1,9.7
Carolina Panthers,57.6,4.9,3.6,7.1,6.5,12.4,81.5,54.0,302.0,5.4,9.6
Tennessee Oilers,58.8,3.1,1.9,6.7,6.5,11.4,81.3,35.0,191.0,5.7,6.3
Kansas City Chiefs,56.2,2.8,3.3,6.4,5.5,11.4,70.9,36.0,212.0,4.7,6.2
Cincinnati Bengals,58.9,3.8,2.3,6.8,6.5,11.5,82.7,53.0,360.0,5.3,9.2
New Orleans Saints,52.0,3.6,3.6,6.6,5.7,12.6,69.8,57.0,376.0,4.5,9.6
Detroit Lions,56.0,3.5,2.7,6.9,6.4,12.4,78.2,45.0,268.0,5.4,8.4
Jacksonville Jaguars,58.1,5.2,2.6,7.2,7.1,12.4,87.1,39.0,231.0,6.1,7.8
Oakland Raiders,54.3,4.0,4.8,6.8,5.5,12.5,69.2,67.0,446.0,4.1,11.4
St. Louis Rams,56.5,2.2,3.2,6.1,5.1,10.8,68.2,47.0,294.0,4.2,7.8
Chicago Bears,57.5,3.2,2.6,6.6,6.1,11.5,77.5,31.0,224.0,5.3,5.9
Seattle Seahawks,56.9,4.4,3.8,6.7,5.9,11.8,76.4,34.0,219.0,5.1,6.6
Baltimore Ravens,57.0,3.4,3.1,6.6,5.9,11.6,75.2,41.0,283.0,4.9,7.9
San Diego Chargers,46.1,1.9,6.0,5.5,3.2,11.9,44.9,37.0,251.0,2.6,6.1
Tampa Bay Buccaneers,52.1,4.7,4.0,6.2,5.3,11.9,70.3,28.0,181.0,4.6,5.9
New York Giants,52.3,3.6,3.0,5.6,4.9,10.6,68.3,35.0,256.0,4.2,6.5
Pittsburgh Steelers,56.0,2.7,4.1,5.7,4.4,10.1,64.3,35.0,229.0,3.6,6.7
Philadelphia Eagles,52.8,1.3,3.4,5.1,3.9,9.7,57.7,56.0,317.0,3.0,9.5
Avg Team,56.6,4.2,3.3,6.8,6.2,12.1,76.2,40.2,256.7,5.3,7.2
