Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
Miami Dolphins,60.8,7.1,3.6,7.6,7.4,12.5,93.3,17.0,119.0,7.0,2.6
San Francisco 49ers,60.7,3.6,3.4,7.4,6.6,12.2,81.1,26.0,203.0,5.9,4.3
Cincinnati Bengals,57.7,5.0,4.0,8.4,7.6,14.5,85.1,28.0,203.0,6.8,5.3
New England Patriots,61.0,5.2,2.3,7.8,7.7,12.7,92.9,47.0,367.0,6.5,7.8
Minnesota Vikings,55.9,6.0,2.9,8.1,8.0,14.4,90.1,44.0,272.0,6.9,7.8
Washington Redskins,50.9,4.1,4.1,7.6,6.6,14.9,72.7,28.0,240.0,5.8,4.9
San Diego Chargers,56.1,3.5,5.5,6.7,4.9,11.9,65.6,32.0,265.0,4.3,5.0
Cleveland Browns,58.6,3.3,2.0,7.5,7.2,12.8,84.6,39.0,274.0,6.3,6.8
New York Jets,62.2,5.0,3.9,7.5,6.8,12.1,85.7,45.0,386.0,5.6,7.7
Denver Broncos,55.7,4.0,2.9,6.9,6.4,12.5,78.7,38.0,273.0,5.6,6.5
Los Angeles Raiders,53.0,5.1,4.7,7.5,6.4,14.1,74.8,64.0,464.0,4.9,10.8
Dallas Cowboys,58.3,3.8,4.4,7.3,6.1,12.5,75.7,60.0,498.0,4.7,9.9
Houston Oilers,52.3,2.5,5.6,7.0,5.0,13.3,59.7,48.0,394.0,3.9,8.0
Green Bay Packers,54.0,3.2,4.8,6.6,5.0,12.2,65.1,37.0,261.0,4.3,6.1
Buffalo Bills,58.9,4.4,3.8,7.4,6.6,12.6,80.9,45.0,334.0,5.4,8.3
Indianapolis Colts,51.2,2.7,4.1,6.2,4.9,12.1,62.5,53.0,406.0,3.8,8.3
New York Giants,55.1,4.7,4.7,7.4,6.3,13.5,75.0,46.0,367.0,5.0,8.9
Seattle Seahawks,59.2,5.3,3.1,7.6,7.2,12.8,87.7,39.0,315.0,6.0,7.9
Detroit Lions,57.2,3.6,4.0,6.2,5.1,10.9,71.0,39.0,323.0,4.2,7.2
Chicago Bears,50.1,2.9,6.0,7.0,4.9,14.0,57.6,24.0,153.0,4.3,5.5
Kansas City Chiefs,49.3,4.4,3.5,6.0,5.3,12.1,68.5,50.0,372.0,4.2,8.8
St. Louis Cardinals,56.8,3.3,3.7,6.1,5.1,10.7,70.4,59.0,424.0,3.8,10.3
New Orleans Saints,54.6,3.1,5.9,6.8,4.8,12.5,61.6,27.0,225.0,4.0,6.0
Pittsburgh Steelers,48.5,3.3,4.1,5.6,4.4,11.5,59.7,20.0,159.0,3.9,3.9
Atlanta Falcons,54.4,3.1,3.8,6.7,5.7,12.4,70.2,56.0,464.0,4.1,11.0
Philadelphia Eagles,52.1,3.7,3.3,6.3,5.6,12.1,70.4,104.0,708.0,3.5,16.8
Tampa Bay Buccaneers,53.4,2.8,5.4,6.3,4.4,11.8,59.6,56.0,394.0,3.2,10.9
Los Angeles Rams,48.1,3.7,3.7,5.9,5.0,12.3,63.7,27.0,184.0,4.2,6.3
Avg Team,55.4,4.1,4.0,7.0,6.0,12.6,71.5,42.8,323.1,5.0,7.6
