Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
New England Patriots,57.9,3.6,3.9,6.6,5.5,11.3,73.5,22.0,139.0,5.2,3.1
Miami Dolphins,62.5,4.9,2.9,7.2,6.9,11.6,88.8,18.0,113.0,6.6,2.8
Minnesota Vikings,60.8,2.7,3.0,6.8,6.0,11.2,77.6,31.0,246.0,5.4,4.4
San Francisco 49ers,70.3,7.2,2.2,8.5,9.0,12.2,111.4,35.0,199.0,8.1,6.4
Atlanta Falcons,59.5,4.0,4.0,6.9,5.9,11.6,77.1,37.0,232.0,5.2,5.6
Denver Broncos,62.0,2.9,2.1,7.0,6.6,11.3,83.8,55.0,366.0,5.6,8.1
Kansas City Chiefs,59.5,3.3,2.3,6.7,6.3,11.2,80.8,19.0,132.0,5.9,3.0
New Orleans Saints,64.3,3.9,3.2,7.1,6.4,11.0,84.9,24.0,181.0,5.9,4.0
Green Bay Packers,61.6,5.4,2.3,6.5,6.6,10.6,89.1,33.0,204.0,5.9,5.1
Buffalo Bills,63.1,4.2,3.9,6.9,6.0,10.9,81.2,41.0,301.0,5.0,7.0
Washington Redskins,49.6,4.6,4.9,6.5,5.1,13.0,65.0,21.0,146.0,4.7,3.7
San Diego Chargers,58.4,3.8,2.7,6.9,6.5,11.9,81.3,29.0,251.0,5.7,5.3
Dallas Cowboys,62.9,4.2,3.1,7.7,7.2,12.3,87.8,20.0,93.0,6.7,4.3
Philadelphia Eagles,55.8,3.2,2.5,6.6,6.1,11.8,76.4,48.0,372.0,5.0,7.8
Los Angeles Rams,56.8,4.5,3.5,7.0,6.3,12.4,79.0,35.0,239.0,5.5,6.4
Los Angeles Raiders,57.6,4.5,3.3,7.3,6.7,12.7,81.8,50.0,289.0,5.6,9.3
Tampa Bay Buccaneers,55.2,3.5,3.3,7.0,6.2,12.7,75.2,30.0,171.0,5.5,5.8
Cincinnati Bengals,53.3,3.9,3.5,6.5,5.7,12.3,72.0,44.0,305.0,4.8,7.5
Cleveland Browns,52.5,3.9,4.1,6.4,5.4,12.3,68.6,14.0,94.0,5.0,2.7
New York Jets,57.5,3.3,3.3,6.2,5.3,10.7,72.9,28.0,186.0,4.7,4.9
Chicago Bears,61.4,3.8,3.2,6.4,5.8,10.5,79.4,25.0,139.0,5.2,4.7
Arizona Cardinals,53.3,2.0,3.5,6.1,4.9,11.4,64.1,34.0,237.0,4.2,5.9
Pittsburgh Steelers,57.5,3.7,1.9,7.0,6.9,12.2,83.3,39.0,283.0,5.8,7.8
Detroit Lions,54.5,5.2,3.1,6.7,6.4,12.3,80.2,26.0,163.0,5.7,5.4
Houston Oilers,49.5,2.3,3.1,5.8,4.9,11.7,62.5,65.0,417.0,3.7,10.5
Seattle Seahawks,50.8,2.6,1.8,5.6,5.3,11.1,69.1,40.0,241.0,4.5,7.4
New York Giants,55.8,4.0,4.4,7.0,5.8,12.6,72.5,46.0,285.0,4.6,10.2
Indianapolis Colts,57.7,4.0,3.7,6.7,5.8,11.6,75.9,28.0,166.0,5.0,6.9
Avg Team,58.0,3.9,3.1,6.8,6.1,11.7,76.7,33.5,221.1,5.4,5.9
