Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
San Diego Chargers,61.1,5.9,4.7,8.2,7.2,13.4,86.8,39.0,305.0,6.3,5.8
Miami Dolphins,59.5,5.4,3.6,7.4,6.9,12.5,85.4,19.0,164.0,6.4,3.2
Dallas Cowboys,58.6,4.6,4.3,7.2,6.2,12.3,78.6,44.0,375.0,5.2,7.0
Cincinnati Bengals,58.3,6.0,2.5,7.9,7.9,13.5,93.0,41.0,365.0,6.7,7.3
San Francisco 49ers,60.2,5.1,2.5,7.2,7.1,12.0,88.8,42.0,299.0,6.1,7.1
Denver Broncos,53.3,3.7,3.7,6.4,5.5,12.0,70.1,38.0,307.0,4.7,5.8
Minnesota Vikings,54.0,3.8,5.0,6.8,5.3,12.6,67.3,45.0,296.0,4.5,7.2
Philadelphia Eagles,51.1,3.4,4.9,7.1,5.6,13.9,65.0,55.0,450.0,4.4,8.8
New York Jets,61.0,5.0,1.6,8.0,8.3,13.1,96.3,62.0,399.0,6.7,11.1
New York Giants,55.3,4.4,4.0,7.7,6.8,13.9,78.3,52.0,396.0,5.4,9.5
Kansas City Chiefs,52.3,4.5,4.5,7.3,6.2,14.0,72.3,43.0,335.0,5.1,7.8
Seattle Seahawks,52.9,4.9,4.0,6.6,5.8,12.6,73.4,53.0,457.0,4.6,8.4
Pittsburgh Steelers,49.6,4.5,5.3,6.6,5.2,13.4,64.1,33.0,224.0,4.4,6.1
New England Patriots,55.8,4.4,4.8,7.6,6.3,13.7,74.9,39.0,315.0,5.2,7.9
Green Bay Packers,52.0,4.1,5.3,6.9,5.4,13.3,66.0,50.0,389.0,4.2,8.9
Los Angeles Raiders,53.2,4.0,4.7,6.9,5.5,12.9,68.5,43.0,335.0,4.5,7.8
Tampa Bay Buccaneers,53.0,4.3,5.1,6.7,5.3,12.7,67.4,40.0,301.0,4.4,7.3
St. Louis Cardinals,55.4,3.6,3.4,6.7,5.9,12.1,74.0,65.0,469.0,4.5,10.9
Houston Oilers,54.1,3.5,4.3,6.9,5.7,12.7,69.7,58.0,441.0,4.3,10.2
Chicago Bears,54.9,3.9,3.7,7.6,6.8,13.9,77.3,43.0,227.0,5.7,9.1
Buffalo Bills,50.9,1.7,6.0,6.4,4.1,12.7,52.1,42.0,347.0,3.2,7.5
Detroit Lions,55.0,4.1,4.5,7.2,6.0,13.1,72.6,53.0,378.0,4.6,10.3
Washington Redskins,54.7,2.5,4.1,6.3,5.0,11.6,65.4,52.0,428.0,3.8,9.2
New Orleans Saints,51.2,3.9,4.5,6.4,5.2,12.5,65.7,58.0,461.0,3.8,10.2
Cleveland Browns,53.6,4.1,3.1,7.0,6.4,13.0,76.4,36.0,249.0,5.3,8.0
Indianapolis Colts,50.2,3.2,4.3,6.0,4.7,12.0,61.8,35.0,244.0,3.9,7.0
Atlanta Falcons,55.0,2.8,4.3,6.5,5.2,11.9,66.5,69.0,531.0,3.5,13.0
Los Angeles Rams,58.1,4.0,3.5,7.1,6.4,12.3,78.9,57.0,409.0,4.7,12.4
Avg Team,54.8,4.1,4.2,7.0,6.0,12.8,70.7,46.6,353.4,4.9,8.3
