Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
Miami Dolphins,57.9,5.0,3.4,6.8,6.3,11.8,81.0,13.0,101.0,6.0,2.2
San Francisco 49ers,64.3,8.8,2.8,7.9,8.4,12.3,106.2,29.0,205.0,7.5,5.5
Denver Broncos,53.8,4.5,3.6,7.3,6.6,13.6,77.5,30.0,220.0,5.9,5.4
Washington Redskins,51.7,5.6,3.8,7.8,7.2,15.1,80.7,27.0,223.0,6.4,5.3
Cleveland Browns,60.4,5.6,2.5,7.5,7.5,12.5,92.0,29.0,170.0,6.8,5.7
St. Louis Cardinals,57.7,4.7,2.8,7.3,6.9,12.6,84.4,54.0,397.0,5.6,9.3
Houston Oilers,49.8,5.0,4.8,7.3,6.2,14.7,70.8,30.0,234.0,5.4,5.9
San Diego Chargers,58.7,2.5,4.5,7.0,5.5,11.9,69.9,39.0,322.0,4.5,7.0
Cincinnati Bengals,53.7,3.6,4.2,7.3,6.1,13.6,71.6,32.0,255.0,5.2,6.3
New York Giants,53.1,5.2,4.4,7.3,6.4,13.8,75.8,61.0,443.0,4.9,10.9
Dallas Cowboys,57.6,3.8,4.0,7.2,6.1,12.5,76.0,52.0,403.0,4.8,9.4
Chicago Bears,55.2,4.7,4.9,6.9,5.7,12.6,72.2,48.0,330.0,4.6,8.9
Los Angeles Raiders,54.0,4.2,3.9,7.5,6.6,13.9,75.8,53.0,359.0,5.2,10.4
Philadelphia Eagles,54.4,5.0,3.1,6.8,6.5,12.6,79.8,72.0,511.0,4.8,12.2
Tampa Bay Buccaneers,51.1,4.3,3.3,6.5,5.9,12.8,72.3,43.0,361.0,4.8,7.7
New York Jets,58.4,3.5,2.9,6.6,6.0,11.3,77.7,66.0,443.0,4.5,11.3
Detroit Lions,54.0,3.1,5.1,6.2,4.5,11.5,62.1,26.0,194.0,3.9,4.9
Buffalo Bills,56.6,4.1,3.7,6.3,5.4,11.1,73.7,37.0,345.0,4.5,6.7
Indianapolis Colts,57.0,3.6,3.6,6.8,5.9,11.9,75.0,24.0,190.0,5.2,5.1
Minnesota Vikings,52.0,4.7,5.2,7.1,5.8,13.7,69.4,52.0,359.0,4.4,10.4
New Orleans Saints,55.2,5.6,2.9,7.3,7.1,13.2,84.9,29.0,213.0,6.1,6.6
Atlanta Falcons,49.3,3.4,6.4,6.2,4.0,12.6,53.7,46.0,340.0,3.0,8.4
Seattle Seahawks,58.5,7.7,5.2,7.5,6.7,12.8,85.9,36.0,316.0,5.4,8.2
New England Patriots,53.6,5.0,4.1,6.7,5.8,12.4,74.1,33.0,246.0,4.9,7.0
Green Bay Packers,51.4,3.3,3.7,6.5,5.5,12.7,67.6,45.0,296.0,4.4,9.0
Kansas City Chiefs,54.6,3.9,3.9,6.9,5.9,12.6,73.1,48.0,366.0,4.6,10.0
Los Angeles Rams,52.4,3.8,4.3,6.5,5.4,12.5,67.9,25.0,196.0,4.6,5.6
Pittsburgh Steelers,46.2,3.0,5.8,5.7,3.7,12.4,50.3,27.0,198.0,3.1,5.9
Avg Team,54.8,4.5,4.0,7.0,6.1,12.7,72.6,39.5,294.1,5.0,7.6
