Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
San Diego Chargers,61.5,5.6,3.6,8.9,8.5,14.5,94.6,12.0,94.0,7.9,3.4
San Francisco 49ers,61.8,4.9,3.2,7.7,7.2,12.4,88.6,20.0,166.0,6.4,5.4
Cincinnati Bengals,70.6,3.9,2.9,8.1,7.5,11.4,95.4,27.0,162.0,6.5,8.0
Los Angeles Rams,55.9,3.7,4.7,7.2,5.8,12.9,71.3,15.0,137.0,5.1,4.8
Minnesota Vikings,56.0,4.5,3.6,6.3,5.6,11.3,75.0,22.0,138.0,4.9,6.2
Tampa Bay Buccaneers,53.2,2.9,3.6,6.7,5.7,12.6,69.3,11.0,128.0,5.1,3.4
New York Jets,59.1,5.7,3.2,7.6,7.2,12.8,88.5,23.0,206.0,6.0,7.6
New York Giants,54.0,3.4,3.0,6.8,6.1,12.5,73.9,17.0,130.0,5.3,5.4
Dallas Cowboys,62.0,6.2,5.4,8.3,7.1,13.4,86.5,25.0,264.0,5.6,8.8
Los Angeles Raiders,57.7,5.2,5.6,7.8,6.3,13.5,76.8,23.0,211.0,5.1,7.9
Philadelphia Eagles,58.3,4.2,4.5,7.3,6.1,12.5,76.2,31.0,244.0,4.7,9.7
Washington Redskins,64.0,5.1,3.6,8.2,7.6,12.8,91.8,30.0,223.0,6.0,10.6
Cleveland Browns,52.1,2.7,4.8,6.2,4.5,11.8,60.2,26.0,212.0,3.6,7.2
Green Bay Packers,53.6,4.5,5.6,7.7,6.1,14.5,70.6,32.0,239.0,4.7,10.7
Denver Broncos,58.2,2.6,6.1,6.5,4.3,11.2,60.8,24.0,200.0,3.4,7.2
Seattle Seahawks,54.0,2.8,4.0,6.3,5.1,11.8,66.1,36.0,269.0,3.9,9.9
Pittsburgh Steelers,51.3,6.2,5.8,7.0,5.6,13.6,70.3,19.0,139.0,4.8,6.5
Atlanta Falcons,64.0,3.3,4.0,7.2,6.1,11.3,79.8,25.0,210.0,4.9,8.3
Houston Oilers,53.3,4.2,5.2,6.6,5.0,12.3,66.0,39.0,308.0,3.5,12.0
Buffalo Bills,54.6,2.9,6.2,6.1,3.9,11.2,56.9,12.0,115.0,3.3,4.2
Kansas City Chiefs,54.9,3.8,3.0,7.1,6.5,12.9,77.3,40.0,309.0,4.6,13.2
Detroit Lions,47.7,4.2,6.3,6.2,4.2,12.9,55.2,30.0,242.0,3.0,9.5
Chicago Bears,53.8,3.8,4.2,6.7,5.5,12.4,70.0,33.0,244.0,4.1,11.2
Baltimore Colts,50.2,2.1,3.5,5.7,4.5,11.4,60.0,20.0,174.0,3.7,6.6
New Orleans Saints,55.2,3.2,5.6,6.3,4.4,11.5,61.7,23.0,173.0,3.4,8.5
St. Louis Cardinals,53.8,2.5,2.5,6.6,5.9,12.2,72.2,32.0,243.0,4.3,11.8
Miami Dolphins,54.2,3.4,5.5,5.9,4.1,10.9,60.2,11.0,87.0,3.6,4.4
New England Patriots,49.7,6.4,4.8,7.6,6.7,15.3,76.5,15.0,134.0,5.5,7.4
Avg Team,56.4,4.0,4.4,7.0,5.8,12.4,70.6,24.0,192.9,4.8,7.8
