Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing
New Orleans Saints,63.0,6.4,2.8,7.7,7.7,12.3,96.4,26.0,190.0,7.2,3.7,157.98
Detroit Lions,60.1,3.0,2.3,6.9,6.5,11.5,81.5,29.0,212.0,6.0,3.8,77.79
Dallas Cowboys,66.0,4.4,2.9,7.6,7.2,11.5,91.3,36.0,263.0,6.4,5.2,129.09
New England Patriots,62.7,5.3,1.4,7.6,8.0,12.0,97.7,27.0,182.0,7.4,4.0,235.67
Denver Broncos,68.4,6.3,1.9,7.9,8.4,11.6,105.3,21.0,137.0,7.8,3.4,197.32
Atlanta Falcons,68.6,5.2,2.3,7.7,7.7,11.2,99.1,28.0,210.0,7.0,4.4,211.97
Indianapolis Colts,54.0,3.7,2.9,7.0,6.4,12.9,76.4,41.0,246.0,5.6,6.1,64.2
Oakland Raiders,59.8,3.8,2.5,6.8,6.4,11.4,82.4,27.0,208.0,5.9,4.1,33.99
Green Bay Packers,67.0,7.2,1.4,7.8,8.6,11.6,108.3,51.0,293.0,7.4,8.4,176.46
Tampa Bay Buccaneers,54.9,4.8,3.0,7.3,6.9,13.3,81.8,26.0,161.0,6.3,4.4,47.58
Houston Texans,63.9,4.0,2.3,7.3,7.0,11.4,89.2,28.0,216.0,6.3,4.8,121.0
New York Giants,59.9,4.8,2.8,7.4,7.1,12.3,87.2,20.0,142.0,6.6,3.6,101.32
Philadelphia Eagles,59.4,2.9,2.4,6.6,6.1,11.1,78.6,48.0,284.0,5.2,7.2,-0.36
Pittsburgh Steelers,61.7,4.7,2.4,7.0,6.8,11.3,88.1,37.0,225.0,6.1,6.1,65.43
Baltimore Ravens,59.6,3.9,2.0,7.1,7.0,12.0,86.4,38.0,257.0,6.2,6.4,112.02
Carolina Panthers,58.0,3.9,2.4,8.0,7.7,13.8,86.5,36.0,244.0,6.7,6.8,86.83
Cincinnati Bengals,62.0,5.2,3.0,7.1,6.8,11.4,88.1,46.0,229.0,5.8,7.8,5.27
St. Louis Rams,59.6,3.9,2.5,6.8,6.5,11.4,82.7,35.0,233.0,5.7,5.9,19.1
Cleveland Browns,58.0,2.8,3.2,6.5,5.6,11.2,73.5,36.0,233.0,4.9,6.0,-33.56
Washington Redskins,65.8,5.4,1.8,8.3,8.6,12.6,102.1,33.0,244.0,7.5,6.9,94.01
Jacksonville Jaguars,56.0,3.4,2.9,6.4,5.8,11.4,74.7,50.0,327.0,4.8,7.9,-79.92
Tennessee Titans,58.9,3.1,3.0,6.6,5.9,11.2,76.9,39.0,254.0,5.1,6.7,-34.38
San Francisco 49ers,66.3,5.3,1.8,8.1,8.4,12.3,101.2,41.0,253.0,7.1,8.6,100.46
San Diego Chargers,64.0,4.9,2.8,6.8,6.5,10.7,88.5,49.0,311.0,5.4,8.5,20.85
Buffalo Bills,60.5,4.7,3.3,6.7,6.2,11.1,82.2,30.0,161.0,5.5,5.5,20.72
Miami Dolphins,58.1,2.6,2.6,6.8,6.2,11.7,76.7,37.0,243.0,5.3,6.8,2.0
Seattle Seahawks,64.0,6.7,2.5,8.0,8.2,12.5,100.6,33.0,203.0,7.1,7.5,129.26
Arizona Cardinals,55.4,1.8,3.5,5.6,4.4,10.0,63.1,58.0,378.0,3.4,8.7,-155.0
Chicago Bears,59.2,4.3,3.3,6.8,6.2,11.5,80.4,44.0,299.0,5.1,8.3,2.87
New York Jets,55.2,2.8,3.9,6.4,5.3,11.7,68.3,47.0,287.0,4.3,8.7,-65.56
Minnesota Vikings,62.1,3.7,2.5,6.1,5.7,9.8,81.2,32.0,184.0,5.0,6.2,24.46
Kansas City Chiefs,57.5,1.7,4.2,6.2,4.6,10.8,63.8,40.0,224.0,3.8,7.8,-95.42
Avg Team,60.9,4.3,2.6,7.1,6.7,11.6,83.8,36.5,235.4,5.9,6.2,55.42031249999998
