Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing
St. Louis Rams,68.8,6.7,4.0,8.9,8.4,12.9,102.2,40.0,240.0,7.5,6.8,164.42
Indianapolis Colts,62.7,4.8,4.1,7.6,6.7,12.1,84.9,30.0,238.0,6.0,5.1,29.72
Green Bay Packers,61.6,6.3,2.9,7.7,7.6,12.5,94.1,22.0,151.0,7.0,4.1,84.21
Oakland Raiders,65.8,4.9,1.6,7.0,7.2,10.6,95.5,27.0,155.0,6.6,4.7,110.7
Kansas City Chiefs,56.8,3.2,4.5,7.3,5.9,12.9,71.7,39.0,198.0,5.2,6.9,-9.95
Detroit Lions,56.3,3.0,3.9,6.5,5.3,11.6,69.6,66.0,373.0,4.3,9.8,-42.39
Minnesota Vikings,60.4,4.1,4.1,6.9,5.9,11.5,77.9,47.0,278.0,5.0,7.8,-19.57
Tennessee Titans,59.6,4.5,3.3,7.5,6.9,12.6,84.2,43.0,309.0,5.8,7.7,49.42
New York Giants,57.6,3.3,2.8,6.6,6.0,11.5,77.1,36.0,206.0,5.3,6.0,-7.77
New Orleans Saints,55.7,4.8,3.9,6.8,6.0,12.3,76.7,50.0,330.0,5.0,8.2,2.37
San Diego Chargers,56.4,2.9,3.3,6.7,5.8,11.9,73.1,27.0,180.0,5.2,4.7,25.8
Buffalo Bills,58.7,3.2,3.6,6.7,5.7,11.4,74.7,46.0,271.0,4.8,7.6,-23.38
Arizona Cardinals,57.8,3.4,2.7,6.9,6.4,12.0,79.5,29.0,204.0,5.7,5.2,19.6
San Francisco 49ers,62.8,6.3,2.4,7.0,7.2,11.2,95.0,26.0,114.0,6.7,4.9,93.83
Tampa Bay Buccaneers,61.1,2.2,2.0,6.1,5.6,10.0,77.4,47.0,298.0,4.8,7.4,0.6
Baltimore Ravens,57.5,3.2,3.6,6.5,5.5,11.2,72.7,40.0,281.0,4.6,6.7,-41.41
Atlanta Falcons,57.3,3.9,3.5,7.6,6.8,13.3,80.0,64.0,387.0,5.3,11.7,-14.85
Jacksonville Jaguars,60.1,3.7,2.6,6.9,6.4,11.4,82.4,63.0,430.0,5.0,10.6,-27.33
Miami Dolphins,60.7,4.4,4.2,7.4,6.4,12.1,80.6,27.0,178.0,5.6,5.6,-4.37
Philadelphia Eagles,57.5,5.2,2.7,6.6,6.4,11.4,83.4,40.0,282.0,5.4,7.1,-6.48
Pittsburgh Steelers,60.4,3.5,2.6,7.3,6.8,12.0,83.4,31.0,182.0,6.0,6.4,66.89
New England Patriots,63.5,4.4,3.1,6.9,6.4,10.9,85.3,46.0,237.0,5.4,8.7,27.23
Cincinnati Bengals,53.5,2.0,4.3,5.5,3.9,10.2,58.1,28.0,203.0,3.4,4.4,-75.08
Chicago Bears,59.7,3.8,3.0,5.8,5.2,9.8,76.0,17.0,120.0,4.8,3.1,-33.09
Denver Broncos,61.1,5.1,3.7,6.3,5.6,10.3,80.6,42.0,268.0,4.7,7.6,-28.23
Carolina Panthers,54.2,2.1,3.8,5.4,4.1,9.9,60.6,32.0,216.0,3.5,5.2,-129.67
Seattle Seahawks,55.8,3.2,2.6,6.8,6.3,12.3,77.2,49.0,328.0,5.1,9.6,-4.26
Cleveland Browns,59.9,3.9,4.5,6.8,5.5,11.3,74.3,51.0,353.0,4.3,9.9,-45.63
New York Jets,58.6,3.7,3.0,6.2,5.6,10.6,76.4,19.0,130.0,5.1,3.9,6.05
Washington Redskins,54.4,3.0,3.0,6.3,5.5,11.6,71.1,38.0,229.0,4.6,8.1,-58.1
Dallas Cowboys,50.8,3.4,4.8,5.8,4.3,11.5,59.9,34.0,190.0,3.6,7.6,-72.12
Avg Team,59.0,3.9,3.4,6.8,6.0,11.5,76.6,38.6,243.8,5.2,6.9,1.1987096774193557
