Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
Houston Oilers,62.4,5.8,2.3,7.9,8.0,12.7,96.7,39.0,267.0,7.2,5.8
San Francisco 49ers,61.7,4.8,2.7,7.5,7.2,12.1,89.4,37.0,194.0,6.5,6.0
Los Angeles Rams,55.3,4.3,3.0,7.2,6.7,13.0,79.6,30.0,198.0,6.0,5.1
Miami Dolphins,57.5,3.9,2.2,6.7,6.5,11.6,81.6,16.0,99.0,6.1,2.9
Washington Redskins,56.2,4.1,4.1,6.7,5.7,12.0,73.5,22.0,132.0,5.2,3.9
Atlanta Falcons,55.5,4.0,3.4,7.1,6.3,12.7,76.8,46.0,265.0,5.4,8.0
Denver Broncos,57.9,2.8,3.4,7.0,6.0,12.0,74.6,46.0,330.0,4.9,8.0
Green Bay Packers,55.8,3.7,3.9,6.8,5.8,12.2,73.2,62.0,390.0,4.6,10.3
Kansas City Chiefs,57.9,5.1,1.1,7.7,8.2,13.3,94.9,22.0,191.0,7.4,4.7
Buffalo Bills,61.9,6.6,2.6,8.0,8.2,12.9,98.2,27.0,208.0,7.2,6.0
Minnesota Vikings,53.3,5.0,4.8,6.9,5.8,13.0,72.0,49.0,278.0,4.7,9.0
Cleveland Browns,52.5,2.3,4.0,5.9,4.6,11.3,61.5,42.0,260.0,3.9,6.8
Philadelphia Eagles,58.7,7.1,2.7,7.5,7.7,12.7,94.5,50.0,438.0,6.1,9.5
Detroit Lions,52.6,5.2,4.3,7.2,6.3,13.8,75.3,44.0,278.0,5.2,8.7
Cincinnati Bengals,55.8,5.9,5.4,7.4,6.2,13.3,76.5,34.0,209.0,5.2,7.4
Indianapolis Colts,55.1,4.5,4.3,6.8,5.7,12.3,73.3,51.0,424.0,4.4,9.5
Tampa Bay Buccaneers,54.7,4.0,5.4,7.3,5.7,13.4,69.3,53.0,433.0,4.2,10.6
Seattle Seahawks,59.2,3.3,4.5,7.1,5.8,12.1,73.6,40.0,360.0,4.6,8.2
Phoenix Cardinals,54.2,3.6,4.1,7.1,6.0,13.1,71.9,43.0,285.0,4.9,8.9
New England Patriots,53.3,2.7,3.9,6.2,5.0,11.7,65.4,58.0,443.0,3.8,10.1
New York Jets,54.5,3.1,2.4,6.8,6.3,12.4,76.0,40.0,300.0,5.2,8.1
New York Giants,58.0,4.5,1.3,7.3,7.6,12.5,90.6,29.0,142.0,6.8,6.8
Los Angeles Raiders,54.5,5.7,3.0,8.6,8.4,15.8,89.7,29.0,197.0,7.2,7.9
San Diego Chargers,52.1,3.8,4.0,6.0,5.0,11.5,66.5,20.0,157.0,4.4,4.1
Pittsburgh Steelers,58.1,4.9,3.7,7.1,6.4,12.2,81.0,33.0,242.0,5.4,7.5
New Orleans Saints,50.6,3.4,5.1,6.2,4.5,12.2,59.7,20.0,131.0,4.0,4.3
Dallas Cowboys,53.5,2.5,5.1,6.1,4.3,11.4,59.4,43.0,317.0,3.4,8.3
Chicago Bears,53.3,3.3,2.8,6.6,6.0,12.3,73.1,43.0,283.0,4.8,9.1
Avg Team,56.0,4.3,3.6,7.0,6.3,12.5,75.0,38.1,266.1,5.3,7.3
