Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing
Indianapolis Colts,62.0,6.4,2.4,7.7,7.8,12.3,96.8,29.0,168.0,7.3,4.2,150.92
Pittsburgh Steelers,67.2,5.4,1.6,8.2,8.5,12.2,103.2,33.0,172.0,7.8,5.1,189.59
New Orleans Saints,69.2,5.0,2.6,7.5,7.4,10.9,97.0,30.0,188.0,6.8,4.4,143.71
Denver Broncos,65.7,6.6,2.5,7.9,8.1,12.0,101.3,17.0,118.0,7.7,2.7,161.99
Atlanta Falcons,66.1,4.4,2.4,7.5,7.3,11.4,93.4,31.0,205.0,6.7,4.7,105.81
Philadelphia Eagles,61.8,4.3,3.4,7.4,6.7,11.9,84.8,32.0,225.0,6.1,4.9,89.05
New York Giants,63.1,4.9,2.3,7.4,7.3,11.7,92.2,30.0,198.0,6.7,4.7,82.92
Green Bay Packers,65.1,7.1,1.1,8.3,9.2,12.7,109.9,30.0,186.0,8.4,5.3,231.61
New England Patriots,64.4,5.6,1.5,7.0,7.5,10.9,97.5,26.0,170.0,6.9,4.1,190.36
San Diego Chargers,66.2,5.4,3.1,7.5,7.2,11.3,93.4,37.0,198.0,6.4,6.1,111.54
Washington Redskins,66.5,3.3,3.3,8.2,7.3,12.3,88.8,58.0,414.0,5.9,9.6,22.45
Detroit Lions,60.4,3.6,2.0,7.1,6.9,11.7,85.9,45.0,254.0,6.1,6.9,83.34
Baltimore Ravens,62.1,4.9,2.2,7.2,7.2,11.6,91.0,19.0,167.0,6.7,3.3,153.58
Arizona Cardinals,56.3,3.7,2.1,7.0,6.8,12.5,81.8,28.0,182.0,6.2,4.7,55.43
Chicago Bears,65.0,4.9,3.1,6.6,6.2,10.2,87.3,41.0,243.0,5.4,6.3,-2.52
Dallas Cowboys,68.9,7.8,2.3,8.4,8.9,12.2,110.9,30.0,224.0,8.0,5.9,196.41
Miami Dolphins,66.2,4.5,2.0,6.8,6.8,10.3,92.5,46.0,337.0,5.8,7.2,83.74
Buffalo Bills,62.7,4.0,2.2,6.7,6.4,10.6,86.0,39.0,242.0,5.6,6.3,21.36
Carolina Panthers,60.0,4.2,2.2,7.0,6.9,11.7,86.2,42.0,317.0,5.8,7.2,56.09
Cleveland Browns,54.6,2.4,3.2,7.3,6.4,13.4,72.8,31.0,213.0,5.6,5.8,23.61
Cincinnati Bengals,64.2,4.0,3.4,7.1,6.3,11.0,84.2,23.0,130.0,5.8,4.4,9.94
Tennessee Titans,58.3,3.9,3.1,7.3,6.7,12.5,81.0,50.0,326.0,5.5,8.9,-41.89
St. Louis Rams,63.5,3.9,3.1,7.2,6.6,11.3,84.9,47.0,295.0,5.5,8.4,5.26
Houston Texans,60.8,4.5,2.7,7.1,6.8,11.7,86.4,26.0,108.0,6.3,5.1,41.25
Tampa Bay Buccaneers,56.7,4.0,3.8,6.8,5.9,12.0,75.2,52.0,326.0,4.8,8.9,-17.44
Oakland Raiders,58.0,3.5,2.5,5.5,5.0,9.5,74.4,28.0,181.0,4.6,4.3,-60.61
Seattle Seahawks,63.2,4.4,1.5,7.7,7.9,12.2,95.1,42.0,242.0,6.7,8.5,88.28
Minnesota Vikings,62.3,3.3,3.5,6.9,6.0,11.1,79.2,51.0,322.0,4.9,9.0,1.79
Kansas City Chiefs,64.9,3.7,1.2,7.0,7.1,10.7,92.2,49.0,246.0,6.0,9.0,58.31
San Francisco 49ers,60.0,4.1,2.1,7.0,6.9,11.7,86.3,52.0,344.0,5.6,9.6,46.81
Jacksonville Jaguars,58.3,2.7,3.2,6.2,5.3,10.6,72.0,71.0,450.0,4.0,11.3,-103.83
New York Jets,57.6,3.2,3.0,6.4,5.7,11.2,75.1,47.0,260.0,4.8,8.6,-10.34
Avg Team,62.6,4.5,2.5,7.2,7.0,11.5,87.1,37.9,239.1,6.1,6.3,67.76625000000001
