Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
Seattle Seahawks,58.9,4.3,3.4,6.9,6.2,11.7,79.7,36.0,228.0,5.5,5.6
Miami Dolphins,57.6,2.8,2.1,6.8,6.5,11.9,79.2,22.0,153.0,6.0,3.7
Green Bay Packers,59.1,6.7,3.1,7.4,7.4,12.6,91.9,26.0,191.0,6.7,4.7
Jacksonville Jaguars,62.1,4.0,1.8,7.8,7.8,12.5,92.0,40.0,218.0,6.8,7.4
Baltimore Ravens,57.7,4.3,2.7,6.7,6.3,11.6,80.9,37.0,227.0,5.6,5.9
Philadelphia Eagles,56.2,3.7,2.7,6.8,6.4,12.1,78.5,64.0,362.0,5.2,9.8
New England Patriots,60.3,5.8,2.8,7.2,7.1,11.9,89.9,30.0,258.0,6.2,5.3
Oakland Raiders,55.6,5.5,1.9,7.5,7.7,13.4,89.9,58.0,430.0,6.2,9.9
Denver Broncos,55.9,5.3,2.1,7.2,7.3,12.9,87.4,35.0,210.0,6.5,6.4
Arizona Cardinals,52.7,3.2,3.7,6.6,5.6,12.5,68.6,78.0,495.0,4.2,11.5
Washington Redskins,51.7,4.0,4.0,6.5,5.5,12.7,69.1,33.0,198.0,4.9,5.7
Detroit Lions,56.3,3.5,3.1,6.7,6.0,11.9,75.4,41.0,271.0,5.1,7.1
Cincinnati Bengals,59.9,4.2,1.8,7.1,7.2,11.9,88.3,46.0,287.0,6.1,8.4
Minnesota Vikings,59.1,4.8,3.0,6.6,6.2,11.1,82.3,33.0,224.0,5.4,5.8
Chicago Bears,56.5,2.4,3.7,5.9,4.7,10.4,66.1,43.0,257.0,4.0,6.7
New York Jets,56.6,3.5,1.8,6.3,6.2,11.1,79.9,48.0,313.0,5.2,7.8
St. Louis Rams,51.5,2.7,2.9,6.7,5.9,13.0,69.9,44.0,326.0,4.9,7.7
San Francisco 49ers,64.4,4.6,2.5,7.9,7.7,12.3,93.6,44.0,289.0,6.4,9.2
Indianapolis Colts,60.6,3.1,3.3,6.8,6.0,11.2,77.6,62.0,418.0,4.6,10.6
Dallas Cowboys,56.8,3.4,2.2,6.2,6.0,11.0,77.8,39.0,313.0,5.0,6.6
San Diego Chargers,51.5,2.1,3.7,6.2,4.9,11.9,62.2,51.0,386.0,3.9,8.3
Atlanta Falcons,56.4,5.4,2.3,7.1,7.2,12.6,87.2,54.0,372.0,5.8,10.0
Pittsburgh Steelers,54.3,4.7,4.1,6.9,6.0,12.7,74.8,20.0,152.0,5.4,4.1
Kansas City Chiefs,57.0,4.1,2.0,6.3,6.2,11.1,81.1,32.0,236.0,5.4,6.1
Buffalo Bills,53.7,2.6,4.6,5.9,4.3,11.0,60.8,46.0,338.0,3.4,7.8
Carolina Panthers,54.1,3.2,4.5,5.9,4.5,10.9,63.7,44.0,311.0,3.6,7.6
New Orleans Saints,49.8,2.8,7.2,6.3,3.7,12.7,49.4,50.0,317.0,2.7,9.8
New York Giants,52.5,3.4,2.5,5.8,5.4,11.1,70.9,32.0,238.0,4.6,6.3
Tennessee Oilers,52.4,3.6,3.1,6.4,5.8,12.3,71.6,32.0,199.0,4.9,7.1
Tampa Bay Buccaneers,55.4,5.2,3.0,6.5,6.2,11.8,80.4,32.0,196.0,5.3,7.3
Avg Team,56.2,3.9,3.0,6.7,6.1,11.9,75.0,41.7,280.4,5.2,7.4
