Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
Houston Oilers,61.6,3.6,3.1,7.2,6.5,11.7,82.3,24.0,183.0,6.0,3.5
San Francisco 49ers,62.3,5.6,2.3,8.0,8.1,12.8,96.2,24.0,170.0,7.4,4.4
Miami Dolphins,58.1,4.6,2.5,7.2,7.0,12.5,85.7,28.0,188.0,6.4,4.7
Buffalo Bills,64.3,7.6,3.7,8.0,7.9,12.5,99.0,35.0,269.0,6.9,6.4
Washington Redskins,58.4,6.7,2.5,8.4,8.7,14.4,98.0,9.0,79.0,8.3,2.0
Atlanta Falcons,52.1,6.0,4.4,7.3,6.5,14.0,77.5,31.0,185.0,5.8,5.8
Los Angeles Rams,55.8,2.5,3.9,7.0,5.7,12.5,69.9,30.0,200.0,5.1,5.5
Dallas Cowboys,61.0,3.2,2.4,7.3,6.9,12.0,84.1,38.0,273.0,5.9,7.1
Cleveland Browns,62.0,3.8,2.0,7.1,6.9,11.4,87.5,42.0,243.0,5.9,7.7
New Orleans Saints,57.7,4.0,3.0,6.8,6.2,11.7,79.2,19.0,160.0,5.7,3.6
Cincinnati Bengals,56.8,2.7,4.3,6.7,5.3,11.8,68.4,33.0,255.0,4.5,6.1
New York Jets,58.6,2.4,2.4,6.8,6.2,11.6,77.4,33.0,273.0,5.3,6.2
Chicago Bears,57.5,3.2,3.4,6.6,5.7,11.5,74.1,26.0,172.0,5.1,5.0
Seattle Seahawks,59.4,3.1,5.3,6.9,5.1,11.6,68.4,42.0,263.0,4.2,7.9
Kansas City Chiefs,59.3,4.0,2.9,6.8,6.3,11.6,81.1,21.0,177.0,5.7,4.2
New England Patriots,59.0,2.3,4.6,7.2,5.6,12.1,69.7,63.0,436.0,4.1,11.6
Denver Broncos,53.6,2.8,2.6,7.2,6.6,13.5,75.3,46.0,313.0,5.4,9.1
Pittsburgh Steelers,54.4,4.2,3.4,7.0,6.3,12.8,76.4,45.0,359.0,5.1,8.6
Green Bay Packers,52.9,3.3,3.7,6.3,5.2,11.8,67.9,45.0,270.0,4.3,8.1
Philadelphia Eagles,55.6,3.3,5.3,6.2,4.5,11.1,63.2,45.0,263.0,3.6,8.1
Minnesota Vikings,59.5,3.4,3.4,6.3,5.5,10.6,75.2,28.0,133.0,4.9,5.5
Detroit Lions,54.9,3.5,3.7,6.5,5.5,11.8,71.0,25.0,116.0,5.0,5.2
New York Giants,61.0,3.0,1.9,7.1,6.8,11.6,84.7,36.0,181.0,5.9,7.8
San Diego Chargers,53.2,2.5,3.1,5.8,4.9,11.0,66.2,35.0,236.0,4.2,6.4
Los Angeles Raiders,53.1,4.8,4.3,7.2,6.2,13.5,74.3,33.0,258.0,5.2,7.4
Phoenix Cardinals,51.6,2.0,5.1,6.2,4.3,12.0,56.4,43.0,372.0,3.3,8.0
Indianapolis Colts,59.6,2.0,3.1,6.0,5.0,10.1,70.2,57.0,487.0,3.6,10.0
Tampa Bay Buccaneers,50.5,2.6,5.9,6.0,3.9,11.8,53.4,56.0,383.0,2.8,10.2
Avg Team,57.4,3.7,3.5,6.9,6.0,12.0,74.2,35.4,246.3,5.2,6.6
