Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing
Oakland Raiders,67.5,4.2,1.6,7.6,7.7,11.2,97.2,36.0,214.0,6.9,5.5,130.66
St. Louis Rams,64.3,3.8,4.3,7.1,5.9,11.0,79.9,46.0,326.0,5.0,6.8,-14.81
Seattle Seahawks,61.5,3.2,2.7,7.3,6.7,11.8,83.0,33.0,179.0,6.0,5.3,80.49
Indianapolis Colts,66.3,4.6,3.2,7.1,6.6,10.7,88.8,23.0,145.0,6.1,3.7,65.73
Buffalo Bills,61.6,3.9,2.5,7.1,6.8,11.6,86.0,54.0,369.0,5.7,8.1,68.93
New York Giants,61.6,3.5,2.6,7.5,7.0,12.1,85.4,24.0,152.0,6.5,4.2,122.09
Pittsburgh Steelers,63.5,4.7,4.0,7.3,6.5,11.5,84.6,34.0,204.0,5.7,5.8,70.06
Denver Broncos,64.8,3.8,3.6,7.5,6.6,11.5,84.8,46.0,315.0,5.6,7.7,52.37
Minnesota Vikings,60.4,3.4,4.1,7.1,5.9,11.7,76.1,49.0,266.0,5.0,8.1,11.14
Green Bay Packers,62.2,5.0,2.8,6.6,6.4,10.6,86.6,27.0,196.0,5.7,4.4,43.52
Kansas City Chiefs,61.2,5.7,2.7,7.9,7.8,12.9,93.5,26.0,141.0,7.1,5.2,113.53
New England Patriots,61.8,4.6,2.3,6.2,6.1,10.1,85.3,31.0,190.0,5.5,4.9,19.75
Cincinnati Bengals,59.2,2.9,3.7,6.3,5.2,10.7,71.8,37.0,256.0,4.5,5.9,-51.77
San Francisco 49ers,62.0,4.0,1.8,6.3,6.3,10.1,86.0,22.0,119.0,5.8,3.7,79.36
Tampa Bay Buccaneers,61.4,4.1,1.8,6.5,6.5,10.5,86.3,41.0,220.0,5.7,6.7,49.78
New Orleans Saints,54.1,5.0,2.8,6.8,6.6,12.7,80.8,37.0,244.0,5.7,6.4,12.17
New York Jets,67.8,5.2,2.1,7.5,7.6,11.0,98.3,32.0,201.0,6.7,6.2,88.61
Cleveland Browns,61.2,4.9,4.0,6.6,5.8,10.8,80.5,35.0,253.0,5.0,6.0,44.39
Philadelphia Eagles,58.0,4.9,2.0,6.6,6.7,11.3,85.9,36.0,222.0,5.9,6.2,2.94
Tennessee Titans,61.2,4.4,3.0,6.9,6.4,11.2,83.9,21.0,121.0,5.9,4.0,88.05
Washington Redskins,53.7,4.3,3.6,6.3,5.6,11.7,72.5,38.0,269.0,4.7,6.4,-30.27
San Diego Chargers,60.2,3.2,3.0,6.3,5.6,10.4,76.5,24.0,180.0,5.0,4.3,13.51
Atlanta Falcons,55.9,3.8,2.5,7.1,6.7,12.6,80.2,36.0,217.0,5.8,7.0,45.66
Chicago Bears,57.1,4.1,3.3,6.1,5.4,10.7,74.8,44.0,265.0,4.6,7.5,-62.87
Detroit Lions,48.0,3.3,4.3,5.5,4.2,11.4,57.9,20.0,174.0,3.8,3.4,-98.44
Miami Dolphins,59.6,4.0,3.3,6.7,6.1,11.3,79.3,25.0,179.0,5.4,5.2,15.83
Baltimore Ravens,54.7,4.2,2.9,6.5,6.0,11.9,76.5,41.0,271.0,5.0,7.9,-20.68
Jacksonville Jaguars,58.0,3.9,1.9,6.5,6.4,11.3,82.5,42.0,257.0,5.4,8.3,17.3
Arizona Cardinals,53.1,3.3,4.0,5.5,4.4,10.4,63.7,41.0,298.0,3.6,7.0,-71.48
Carolina Panthers,55.0,3.2,4.7,6.4,4.9,11.7,65.7,44.0,287.0,3.9,8.7,-71.78
Dallas Cowboys,53.5,3.0,3.4,6.4,5.5,12.0,69.1,54.0,399.0,4.2,10.3,-113.17
Houston Texans,52.6,2.5,3.4,5.9,4.9,11.2,64.7,76.0,411.0,3.4,14.5,-110.37
Avg Team,59.6,4.0,3.1,6.7,6.1,11.3,78.6,36.7,235.6,5.3,6.4,18.444687500000008
