Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
San Diego Chargers,58.5,5.4,2.9,7.7,7.5,13.2,89.2,19.0,134.0,7.1,2.9
Minnesota Vikings,53.9,3.8,4.1,6.4,5.4,12.0,69.5,29.0,234.0,4.8,3.9
Cincinnati Bengals,60.4,5.5,2.2,7.6,7.7,12.7,93.3,35.0,205.0,6.9,6.0
Cleveland Browns,55.8,3.4,4.3,7.0,5.7,12.5,70.7,40.0,353.0,4.8,6.0
Atlanta Falcons,55.2,5.3,4.3,7.1,6.2,12.8,77.6,37.0,287.0,5.4,6.2
New England Patriots,52.7,3.5,7.1,8.1,5.6,15.4,62.1,45.0,321.0,4.5,8.5
San Francisco 49ers,63.4,3.9,2.5,7.3,6.9,11.5,87.7,29.0,223.0,6.2,5.3
Denver Broncos,59.6,5.6,4.3,8.2,7.4,13.8,86.6,61.0,461.0,5.7,11.2
Buffalo Bills,50.3,5.0,4.0,7.3,6.5,14.5,74.3,16.0,146.0,6.0,3.1
Washington Redskins,58.5,3.6,4.2,7.1,6.0,12.2,75.1,30.0,277.0,5.1,5.4
Tampa Bay Buccaneers,50.5,4.2,3.0,7.5,7.1,14.9,77.4,19.0,136.0,6.5,3.9
Seattle Seahawks,58.6,4.0,2.9,7.1,6.6,12.1,82.0,37.0,300.0,5.7,6.6
Pittsburgh Steelers,53.6,5.4,4.1,7.5,6.7,14.0,78.9,27.0,231.0,5.9,5.5
Green Bay Packers,55.6,4.7,4.7,7.0,5.8,12.5,73.5,52.0,387.0,4.6,9.2
Dallas Cowboys,54.9,5.5,3.4,7.8,7.3,14.2,84.2,31.0,245.0,6.3,6.6
Miami Dolphins,54.4,3.6,4.2,6.8,5.6,12.5,70.2,30.0,236.0,4.9,5.7
Detroit Lions,52.3,4.1,5.3,8.0,6.4,15.2,70.7,44.0,337.0,5.1,9.2
Baltimore Colts,55.3,4.4,4.8,7.1,5.8,12.8,72.2,37.0,321.0,4.7,7.2
New York Jets,55.8,5.1,2.8,6.5,6.3,11.6,81.1,30.0,224.0,5.5,5.6
Philadelphia Eagles,54.2,5.3,4.6,6.8,5.8,12.6,73.9,22.0,205.0,5.1,4.4
Oakland Raiders,49.0,3.3,5.1,6.2,4.5,12.6,58.2,53.0,437.0,3.4,8.9
St. Louis Cardinals,53.0,3.1,5.0,6.9,5.2,12.9,64.4,48.0,405.0,4.0,9.1
Houston Oilers,58.5,4.8,5.2,7.1,5.7,12.1,74.4,40.0,342.0,4.5,8.3
New York Giants,49.6,3.2,4.0,5.9,4.8,12.0,62.3,47.0,368.0,3.7,8.5
Kansas City Chiefs,54.6,2.9,5.4,7.1,5.3,13.0,64.7,37.0,277.0,4.2,8.3
Los Angeles Rams,49.3,3.1,6.7,6.3,3.9,12.8,51.9,50.0,451.0,2.7,9.5
Chicago Bears,45.4,2.9,4.7,5.6,4.0,12.3,53.1,35.0,266.0,3.3,6.7
New Orleans Saints,54.0,1.8,6.1,6.3,3.9,11.7,53.8,41.0,359.0,2.8,8.5
Avg Team,54.6,4.2,4.3,7.0,5.9,12.9,70.5,36.5,291.7,5.0,6.7
