Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,ExpectedPointsPassing
New Orleans Saints,64.9,5.3,2.8,8.0,7.8,12.3,95.4,13.0,92.0,7.5,2.0,174.21
Arizona Cardinals,66.3,4.9,2.4,7.7,7.7,11.7,96.1,28.0,201.0,7.0,4.3,169.46
Denver Broncos,62.3,4.0,2.9,7.3,6.8,11.8,85.9,12.0,74.0,6.6,1.9,123.98
Houston Texans,66.1,3.8,3.6,8.1,7.2,12.2,88.4,32.0,207.0,6.5,5.5,71.31
Indianapolis Colts,67.2,4.6,2.1,7.1,7.1,10.6,94.7,14.0,86.0,6.8,2.3,168.16
Philadelphia Eagles,59.7,3.8,2.6,6.7,6.3,11.2,81.4,23.0,149.0,5.8,3.7,59.11
San Diego Chargers,65.3,7.1,2.3,8.4,8.8,12.8,105.5,25.0,151.0,8.0,5.0,142.09
Green Bay Packers,63.4,5.2,2.4,7.5,7.4,11.8,93.3,34.0,231.0,6.6,5.9,82.1
Dallas Cowboys,60.0,5.3,3.7,7.3,6.7,12.2,84.9,31.0,199.0,6.0,5.4,21.04
Miami Dolphins,67.2,4.1,1.4,7.7,7.8,11.4,97.6,26.0,129.0,7.2,5.0,95.66
Tampa Bay Buccaneers,63.2,3.2,2.3,6.7,6.3,10.7,83.8,32.0,169.0,5.7,5.4,11.21
New England Patriots,63.5,3.9,2.1,7.1,7.0,11.2,89.1,48.0,221.0,6.0,8.2,70.3
San Francisco 49ers,60.7,4.1,3.7,7.3,6.5,12.1,81.4,55.0,345.0,5.2,9.8,-7.21
Atlanta Falcons,61.1,3.7,2.5,7.9,7.5,13.0,87.7,17.0,104.0,7.0,3.8,100.79
Jacksonville Jaguars,62.4,2.8,2.4,6.7,6.2,10.8,81.4,42.0,288.0,5.3,7.3,6.62
New York Jets,65.6,4.2,4.3,6.6,5.5,10.1,80.2,30.0,213.0,4.8,5.4,29.53
Pittsburgh Steelers,59.9,3.8,3.0,7.1,6.5,11.9,81.9,49.0,306.0,5.4,8.8,45.99
New York Giants,60.7,4.7,2.0,6.8,6.8,11.3,88.2,28.0,176.0,6.1,5.4,64.69
Carolina Panthers,59.4,3.6,2.9,7.9,7.4,13.4,84.7,20.0,130.0,6.7,4.6,39.47
Kansas City Chiefs,57.3,4.3,3.0,6.2,5.7,10.8,77.5,37.0,229.0,5.0,6.4,-17.45
Chicago Bears,57.6,3.8,2.7,6.1,5.7,10.6,77.1,29.0,168.0,5.1,5.2,-29.38
Buffalo Bills,64.5,2.9,3.1,6.9,6.1,10.7,81.3,38.0,262.0,5.1,7.4,-31.9
Washington Redskins,62.4,2.7,1.2,6.5,6.5,10.3,85.2,38.0,266.0,5.5,6.9,2.55
Detroit Lions,55.2,3.5,3.7,6.5,5.5,11.7,71.3,52.0,339.0,4.4,9.3,-95.3
Minnesota Vikings,59.1,4.9,3.8,7.1,6.4,12.0,81.5,43.0,261.0,5.3,8.7,0.43
St. Louis Rams,56.2,2.1,3.7,6.3,5.1,11.2,66.9,45.0,321.0,4.1,8.0,-118.3
Tennessee Titans,58.5,2.9,2.0,6.4,6.1,11.0,78.8,12.0,83.0,5.8,2.6,46.24
Baltimore Ravens,60.3,3.7,2.8,7.1,6.6,11.8,82.8,33.0,277.0,5.6,7.1,-7.52
Seattle Seahawks,55.3,3.8,3.2,6.0,5.3,10.8,72.5,36.0,214.0,4.5,7.1,-23.06
Cincinnati Bengals,59.1,2.1,2.9,5.2,4.3,8.8,68.0,51.0,271.0,3.5,9.0,-89.66
Cleveland Browns,48.8,2.3,4.1,5.2,3.8,10.7,54.8,24.0,157.0,3.3,4.7,-113.59
Oakland Raiders,52.7,3.1,2.6,6.3,5.7,11.9,71.6,39.0,270.0,4.6,8.5,-75.25
Avg Team,61.0,3.9,2.8,6.9,6.5,11.4,81.5,32.4,205.9,5.7,5.9,28.634999999999994
