Tm,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%
Houston Oilers,65.1,4.7,4.0,7.4,6.5,11.3,86.1,32.0,202.0,5.8,5.3
Miami Dolphins,59.0,4.3,3.0,7.4,6.9,12.5,83.6,28.0,173.0,6.2,4.7
San Francisco 49ers,66.5,6.0,1.9,8.4,8.8,12.7,105.0,32.0,174.0,7.9,6.3
Atlanta Falcons,61.3,6.0,2.7,7.1,7.1,11.6,91.4,40.0,259.0,6.2,6.8
Dallas Cowboys,64.0,4.7,3.1,7.3,6.9,11.5,88.8,23.0,112.0,6.4,4.5
Buffalo Bills,57.6,4.5,4.1,7.2,6.3,12.6,78.0,29.0,221.0,5.5,5.4
San Diego Chargers,56.9,3.2,4.2,7.3,6.0,12.8,72.9,33.0,268.0,5.1,6.2
Indianapolis Colts,55.9,2.4,4.8,6.6,4.9,11.8,64.1,44.0,318.0,4.0,7.5
Green Bay Packers,64.5,3.8,2.8,6.6,6.1,10.3,84.3,43.0,268.0,5.2,7.5
Los Angeles Rams,58.4,4.6,4.0,6.9,6.0,11.8,78.2,26.0,204.0,5.3,5.0
New Orleans Saints,58.9,4.5,3.8,7.7,6.9,13.1,82.6,15.0,119.0,6.4,3.4
Washington Redskins,56.1,3.1,3.5,6.9,5.9,12.3,73.2,23.0,176.0,5.3,4.5
Phoenix Cardinals,57.6,2.9,4.6,6.5,5.0,11.2,67.4,36.0,258.0,4.2,6.5
Chicago Bears,55.5,3.5,5.0,7.0,5.4,12.5,68.3,45.0,264.0,4.4,8.6
Tampa Bay Buccaneers,58.5,3.3,3.9,6.7,5.6,11.4,73.3,45.0,334.0,4.5,8.1
Denver Broncos,54.5,3.4,6.1,7.0,4.9,12.8,62.4,52.0,382.0,3.7,9.9
Cleveland Browns,59.8,4.5,4.0,7.8,6.9,13.0,82.7,34.0,217.0,5.8,7.9
Minnesota Vikings,56.3,3.9,3.3,6.9,6.2,12.3,77.2,40.0,293.0,5.1,8.0
Detroit Lions,56.9,3.9,5.2,7.8,6.2,13.6,73.4,59.0,354.0,4.7,12.7
Kansas City Chiefs,55.7,3.6,2.9,7.5,7.0,13.5,79.9,48.0,323.0,5.5,10.4
Pittsburgh Steelers,57.8,3.5,3.2,7.1,6.3,12.2,77.7,40.0,296.0,5.1,8.5
New York Jets,50.7,2.4,4.8,6.0,4.3,11.8,57.2,39.0,283.0,3.4,7.3
Philadelphia Eagles,59.4,4.7,3.0,7.1,6.7,12.0,84.2,64.0,462.0,4.9,13.0
Los Angeles Raiders,49.5,4.2,4.9,6.3,4.9,12.7,63.2,48.0,360.0,3.8,9.2
New York Giants,53.6,3.2,2.3,6.1,5.7,11.3,73.2,45.0,283.0,4.6,9.4
New England Patriots,55.0,2.9,4.3,5.6,4.3,10.2,63.2,65.0,458.0,2.8,12.8
Cincinnati Bengals,52.2,3.7,3.9,5.3,4.2,10.1,63.4,45.0,341.0,3.1,9.4
Seattle Seahawks,48.3,1.9,4.8,4.9,3.1,10.1,48.9,67.0,545.0,1.7,12.3
Avg Team,57.5,3.8,3.9,6.9,5.9,11.9,72.8,40.7,283.8,4.9,7.8
