Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,Cmp%,PassTD%,Int%,Y/Apass,AY/A,Y/C,QbRating,Sk,SkYds,ANY/A,Sk%,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd,FGA019,FGM019,FGA2029,FGM2029,FGA3039,FGM3039,FGA4049,FGM4049,FGA50Plus,FGM50Plus,TFGA,TFGM,FG%,XPA,XPM,XP%,Pnt,PntYds,PntBlck,Y/Pnt,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,PntRet_Defense,PrYds_Defense,PrTD_Defense,Y/PR_Defense,KickRet_Defense,KrYds_Defense,KrTD_Defense,Y/KR_Defense,TFGA_Defense,TFGM_Defense,FG%_Defense,XPA_Defense,XPM_Defense,XP%_Defense,Pnt_Defense,PntYds_Defense,PntBlck_Defense,Y/Pnt_Defense,Fmb,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty,FmbTD_Defense,IntTD_Defense,OthTD_Defense,2PM_Defense,2PA_Defense,Sfty_Defense,RawPassYds,TO_Differential,PF_Differential,Yds_Differential,PassPercent,RunPercent,PassYdPercent,RunYdPercent,PassTdPercent,RunTdPercent,PassRun1dRatio,RunPass1dRatio,Penalty1dPercent,YppYprRatio,PassPercent_Defense,RunPercent_Defense,PassYdPercent_Defense,RunYdPercent_Defense,PassTdPercent_Defense,RunTdPercent_Defense,Penalty1dPercent_Defense,YppYprRatio_Defense,FumbleLostPercent,DefensivePtsScored
Green Bay Packers,456.0,5535.0,1053.0,5.3,24.0,11.0,338.0,328.0,548.0,3697.0,39.0,13.0,6.3,197.0,465.0,1838.0,9.0,4.0,118.0,92.0,714.0,23.0,0.0,0.0,59.9,7.1,2.4,7.2,7.5,12.0,95.7,40.0,241.0,6.6,6.8,58.0,875.0,3.0,15.1,47.0,1038.0,1.0,22.1,7707.0,0.0,0.0,6.0,6.0,11.0,9.0,9.0,5.0,1.0,1.0,27.0,21.0,77.8,53.0,51.0,96.2,68.0,2886.0,0.0,42.4,210.0,4156.0,981.0,4.2,39.0,13.0,248.0,283.0,544.0,2740.0,12.0,26.0,4.7,151.0,400.0,1416.0,7.0,3.5,74.0,107.0,797.0,23.0,0.0,0.0,52.0,2.2,4.8,5.4,3.7,10.4,55.4,37.0,202.0,3.1,6.4,29.0,237.0,0.0,8.2,76.0,1649.0,0.0,21.7,27.0,25.0,92.6,17.0,17.0,100.0,90.0,3879.0,0.0,43.1,33.0,1.0,3.0,0.0,56.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3938.0,15.0,246.0,1379.0,0.5584045584045584,0.4415954415954416,0.6679313459801265,0.3320686540198735,0.8125,0.1875,1.6694915254237288,0.5989847715736041,0.06804733727810651,1.8,0.5922528032619776,0.4077471967380224,0.6592877767083735,0.34071222329162654,0.631578947368421,0.368421052631579,0.09274193548387097,1.542857142857143,0.3333333333333333,26.0
New England Patriots,418.0,5369.0,1085.0,4.9,27.0,12.0,339.0,374.0,628.0,3901.0,27.0,15.0,5.9,206.0,427.0,1468.0,15.0,3.4,103.0,97.0,716.0,30.0,0.0,0.0,59.6,4.3,2.4,6.5,6.3,10.9,83.2,30.0,190.0,5.7,4.6,52.0,588.0,1.0,11.3,64.0,1424.0,0.0,22.3,7664.0,1.0,1.0,10.0,9.0,8.0,8.0,14.0,8.0,2.0,1.0,35.0,27.0,77.1,42.0,39.0,92.9,64.0,2766.0,0.0,43.2,313.0,5305.0,1063.0,5.0,34.0,11.0,305.0,322.0,596.0,3803.0,17.0,23.0,6.0,178.0,434.0,1502.0,14.0,3.5,102.0,139.0,1189.0,25.0,0.0,0.0,54.0,2.9,3.9,6.8,5.6,12.6,68.9,33.0,252.0,4.9,5.2,34.0,334.0,0.0,9.8,81.0,1683.0,0.0,20.8,29.0,23.0,79.3,28.0,28.0,100.0,82.0,3485.0,0.0,42.5,25.0,2.0,2.0,1.0,48.0,4.0,6.0,1.0,2.0,1.0,0.0,5.0,0.0,1.0,4091.0,7.0,105.0,64.0,0.6064516129032258,0.3935483870967742,0.7265785062395231,0.27342149376047686,0.6428571428571429,0.3571428571428571,2.0,0.5,0.08849557522123894,1.911764705882353,0.5917215428033866,0.4082784571966134,0.716870876531574,0.283129123468426,0.5483870967741935,0.4516129032258065,0.08196721311475409,1.9428571428571428,0.48,32.0
San Francisco 49ers,398.0,5506.0,1046.0,5.3,24.0,8.0,315.0,358.0,550.0,3659.0,24.0,16.0,6.2,188.0,454.0,1847.0,17.0,4.1,108.0,119.0,925.0,19.0,0.0,0.0,65.1,4.4,2.9,7.0,6.6,10.8,88.0,42.0,200.0,5.8,7.1,39.0,352.0,0.0,9.0,59.0,1258.0,0.0,21.3,7405.0,0.0,0.0,16.0,16.0,8.0,7.0,10.0,7.0,0.0,0.0,34.0,30.0,88.2,40.0,40.0,100.0,75.0,3305.0,2.0,44.1,257.0,4661.0,1021.0,4.6,34.0,14.0,269.0,287.0,558.0,3164.0,21.0,20.0,5.2,164.0,418.0,1497.0,4.0,3.6,76.0,97.0,819.0,29.0,0.0,0.0,51.4,3.8,3.6,6.2,5.3,12.1,68.4,45.0,297.0,4.5,7.5,36.0,235.0,0.0,6.5,77.0,1414.0,0.0,18.4,29.0,26.0,89.7,21.0,21.0,100.0,88.0,3696.0,0.0,42.0,16.0,1.0,1.0,0.0,43.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,3859.0,10.0,141.0,845.0,0.5659655831739961,0.43403441682600385,0.6645477660733745,0.3354522339266255,0.5853658536585366,0.41463414634146345,1.7407407407407407,0.574468085106383,0.06031746031746032,1.707317073170732,0.5905974534769833,0.40940254652301666,0.6788242866337696,0.3211757133662304,0.84,0.16000000000000003,0.10780669144981413,1.7222222222222223,0.5,20.0
Denver Broncos,391.0,5791.0,1092.0,5.3,32.0,15.0,336.0,327.0,536.0,3429.0,26.0,17.0,6.0,180.0,525.0,2362.0,20.0,4.5,134.0,109.0,949.0,22.0,0.0,0.0,61.0,4.9,3.2,6.8,6.4,11.2,84.3,31.0,233.0,5.6,5.5,49.0,583.0,0.0,11.9,50.0,1195.0,0.0,23.9,7829.0,2.0,2.0,8.0,8.0,5.0,4.0,10.0,6.0,3.0,1.0,28.0,21.0,75.0,46.0,46.0,100.0,65.0,2714.0,0.0,41.8,275.0,4470.0,951.0,4.7,32.0,9.0,261.0,302.0,566.0,3139.0,22.0,23.0,5.2,165.0,345.0,1331.0,5.0,3.9,67.0,119.0,834.0,29.0,0.0,0.0,53.4,3.9,4.1,6.0,5.0,11.3,67.7,40.0,274.0,4.2,6.6,23.0,261.0,1.0,11.3,76.0,1602.0,1.0,21.1,23.0,20.0,87.0,25.0,25.0,100.0,83.0,3826.0,0.0,46.1,27.0,0.0,1.0,0.0,47.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3662.0,0.0,116.0,1321.0,0.5192307692307693,0.4807692307692307,0.5921257123122086,0.40787428768779144,0.5652173913043478,0.4347826086956522,1.3432835820895523,0.7444444444444445,0.06547619047619048,1.511111111111111,0.637223974763407,0.362776025236593,0.7022371364653244,0.2977628635346756,0.8148148148148148,0.18518518518518523,0.1111111111111111,1.5384615384615385,0.5555555555555556,6.0
Cincinnati Bengals,372.0,5225.0,1088.0,4.8,25.0,9.0,332.0,316.0,563.0,3432.0,25.0,16.0,5.6,190.0,478.0,1793.0,14.0,3.8,114.0,90.0,678.0,28.0,0.0,0.0,56.1,4.4,2.8,6.6,6.2,11.8,79.4,47.0,294.0,5.3,7.7,33.0,217.0,0.0,6.6,70.0,1459.0,1.0,20.8,7241.0,1.0,1.0,7.0,7.0,11.0,10.0,9.0,5.0,0.0,0.0,28.0,23.0,82.1,41.0,41.0,100.0,82.0,3679.0,1.0,44.9,369.0,5469.0,1047.0,5.2,44.0,10.0,317.0,319.0,571.0,3826.0,22.0,34.0,6.3,196.0,444.0,1643.0,15.0,3.7,109.0,102.0,768.0,12.0,0.0,0.0,55.9,3.9,6.0,7.1,5.1,12.6,66.1,32.0,202.0,4.5,5.3,38.0,502.0,0.0,13.2,69.0,1642.0,1.0,23.8,30.0,25.0,83.3,40.0,40.0,100.0,61.0,2708.0,0.0,44.4,19.0,1.0,2.0,0.0,43.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,3726.0,19.0,3.0,-244.0,0.5606617647058824,0.43933823529411764,0.6568421052631579,0.3431578947368421,0.6410256410256411,0.3589743589743589,1.6666666666666667,0.6,0.08433734939759036,1.736842105263158,0.5759312320916905,0.4240687679083095,0.6995794477966721,0.30042055220332786,0.5945945945945946,0.4054054054054054,0.03785488958990536,1.9189189189189186,0.47368421052631576,18.0
Baltimore Ravens,371.0,5723.0,1024.0,5.6,33.0,13.0,338.0,335.0,570.0,3978.0,34.0,20.0,6.5,208.0,416.0,1745.0,10.0,4.2,108.0,94.0,818.0,22.0,0.0,0.0,58.8,6.0,3.5,7.5,7.1,12.8,87.6,38.0,296.0,6.2,6.3,38.0,357.0,0.0,9.4,86.0,1734.0,0.0,20.2,8128.0,0.0,0.0,8.0,8.0,6.0,5.0,10.0,5.0,1.0,1.0,25.0,19.0,76.0,35.0,34.0,97.1,69.0,3024.0,1.0,43.8,441.0,5889.0,1075.0,5.5,22.0,7.0,351.0,350.0,537.0,3969.0,27.0,15.0,7.0,213.0,508.0,1920.0,18.0,3.8,115.0,104.0,744.0,23.0,0.0,0.0,65.2,5.0,2.8,7.7,7.4,11.8,93.4,30.0,146.0,6.8,5.3,27.0,273.0,0.0,10.1,70.0,1402.0,0.0,20.0,31.0,28.0,90.3,41.0,41.0,100.0,68.0,2883.0,0.0,42.4,23.0,0.0,1.0,0.0,45.0,5.0,9.0,0.0,1.0,3.0,1.0,7.0,0.0,1.0,4274.0,-11.0,-70.0,-166.0,0.59375,0.40625,0.6950899877686528,0.30491001223134717,0.7727272727272727,0.2272727272727273,1.9259259259259258,0.5192307692307693,0.0650887573964497,1.7857142857142856,0.5274418604651163,0.4725581395348837,0.67396841569027,0.32603158430973,0.6,0.4,0.06552706552706553,2.0263157894736845,0.5652173913043478,6.0
Carolina Panthers,367.0,4812.0,1025.0,4.7,25.0,14.0,292.0,273.0,487.0,3083.0,22.0,11.0,5.9,160.0,502.0,1729.0,9.0,3.4,93.0,94.0,638.0,39.0,0.0,0.0,56.1,4.5,2.3,6.8,6.7,12.2,83.0,36.0,250.0,5.8,6.9,55.0,624.0,1.0,11.3,50.0,1310.0,1.0,26.2,7147.0,2.0,2.0,14.0,14.0,12.0,11.0,10.0,7.0,7.0,3.0,45.0,37.0,82.2,35.0,34.0,97.1,78.0,3158.0,0.0,40.5,218.0,4776.0,990.0,4.8,38.0,16.0,251.0,307.0,556.0,3214.0,17.0,22.0,5.2,167.0,374.0,1562.0,6.0,4.2,69.0,133.0,1155.0,15.0,0.0,0.0,55.2,3.1,4.0,6.4,5.3,11.7,68.7,60.0,371.0,4.2,9.7,32.0,175.0,0.0,5.5,71.0,1429.0,0.0,20.1,20.0,17.0,85.0,24.0,23.0,95.8,95.0,4161.0,0.0,43.8,25.0,3.0,0.0,0.0,36.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3333.0,13.0,149.0,36.0,0.5102439024390244,0.4897560975609756,0.6406899418121363,0.35931005818786366,0.7096774193548387,0.29032258064516125,1.7204301075268817,0.58125,0.13356164383561644,2.0,0.6222222222222222,0.37777777777777777,0.6729480737018425,0.3270519262981575,0.7391304347826086,0.26086956521739135,0.05976095617529881,1.5238095238095237,0.56,22.0
Washington Redskins,364.0,5229.0,960.0,5.4,18.0,7.0,307.0,270.0,471.0,3319.0,12.0,11.0,6.7,174.0,467.0,1910.0,27.0,4.1,106.0,95.0,740.0,27.0,0.0,0.0,57.3,2.5,2.3,7.3,6.8,12.8,79.2,22.0,134.0,6.2,4.5,23.0,258.0,0.0,11.2,65.0,1401.0,0.0,21.6,7020.0,2.0,2.0,13.0,13.0,7.0,7.0,7.0,2.0,3.0,2.0,32.0,26.0,81.3,40.0,40.0,100.0,77.0,3470.0,0.0,45.1,312.0,5723.0,1114.0,5.1,30.0,9.0,358.0,325.0,560.0,3448.0,12.0,21.0,5.8,191.0,520.0,2275.0,20.0,4.4,146.0,102.0,867.0,21.0,0.0,0.0,58.0,2.1,3.8,6.5,5.3,11.2,69.2,34.0,207.0,4.6,5.7,35.0,235.0,0.0,6.7,76.0,1610.0,0.0,21.2,38.0,27.0,71.1,31.0,31.0,100.0,68.0,2992.0,0.0,44.0,21.0,1.0,1.0,0.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3453.0,12.0,52.0,-494.0,0.5135416666666667,0.4864583333333333,0.6347293937655384,0.3652706062344616,0.3076923076923077,0.6923076923076923,1.6415094339622642,0.6091954022988506,0.08794788273615635,1.7804878048780488,0.533213644524237,0.46678635547576297,0.6024812161453783,0.3975187838546217,0.375,0.625,0.05865921787709497,1.477272727272727,0.3333333333333333,12.0
Philadelphia Eagles,363.0,5627.0,1076.0,5.2,32.0,14.0,319.0,328.0,548.0,3745.0,19.0,18.0,6.4,196.0,489.0,1882.0,16.0,3.8,107.0,117.0,963.0,16.0,0.0,0.0,59.9,3.5,3.3,7.3,6.5,12.1,80.1,39.0,234.0,5.6,6.6,40.0,330.0,0.0,8.3,64.0,1439.0,2.0,22.5,7731.0,0.0,0.0,11.0,10.0,9.0,8.0,9.0,7.0,0.0,0.0,29.0,25.0,86.2,40.0,40.0,100.0,74.0,3150.0,1.0,42.6,341.0,4562.0,961.0,4.7,31.0,12.0,264.0,271.0,500.0,2979.0,18.0,19.0,5.5,150.0,421.0,1583.0,12.0,3.8,87.0,99.0,710.0,27.0,0.0,0.0,54.2,3.6,3.8,6.5,5.5,12.0,70.4,40.0,264.0,4.6,7.4,36.0,330.0,1.0,9.2,73.0,1715.0,0.0,23.5,36.0,31.0,86.1,32.0,30.0,93.8,74.0,3286.0,0.0,44.4,24.0,3.0,1.0,0.0,41.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,3979.0,-1.0,22.0,1065.0,0.5455390334572491,0.4544609665427509,0.6655411409276701,0.33445885907232986,0.5428571428571428,0.4571428571428572,1.8317757009345794,0.5459183673469388,0.050156739811912224,1.9210526315789473,0.5619146722164412,0.4380853277835588,0.6530030688294608,0.3469969311705392,0.6,0.4,0.10227272727272728,1.7105263157894737,0.5833333333333334,26.0
Houston Oilers,345.0,5048.0,972.0,5.2,30.0,15.0,287.0,272.0,463.0,3098.0,22.0,15.0,6.2,157.0,475.0,1950.0,12.0,4.1,110.0,91.0,812.0,20.0,0.0,0.0,58.7,4.8,3.2,7.1,6.6,12.1,83.0,34.0,198.0,5.8,6.8,29.0,279.0,0.0,9.6,66.0,1421.0,0.0,21.5,6960.0,0.0,0.0,7.0,7.0,16.0,14.0,12.0,10.0,3.0,1.0,38.0,32.0,84.2,35.0,35.0,100.0,68.0,3017.0,1.0,44.4,319.0,4610.0,956.0,4.8,26.0,14.0,271.0,312.0,524.0,3225.0,24.0,12.0,5.8,169.0,397.0,1385.0,5.0,3.5,78.0,88.0,672.0,24.0,0.0,0.0,59.5,4.6,2.3,6.6,6.5,11.1,85.0,35.0,242.0,5.7,6.3,31.0,251.0,0.0,8.1,78.0,1675.0,0.0,21.5,33.0,25.0,75.8,32.0,32.0,100.0,75.0,3075.0,0.0,41.0,26.0,0.0,1.0,0.0,35.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,3296.0,-4.0,26.0,438.0,0.5113168724279835,0.4886831275720165,0.6137083993660856,0.38629160063391443,0.6470588235294118,0.3529411764705882,1.4272727272727272,0.7006369426751592,0.06968641114982578,1.7317073170731707,0.5847280334728033,0.41527196652719667,0.6995661605206074,0.3004338394793926,0.8275862068965517,0.1724137931034483,0.08856088560885608,1.8857142857142857,0.5769230769230769,10.0
